codigo,nome,categoria,unidade,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,19.8894,25.085,17.2598,23.4534,23.4534
P_VPA,P/VPA,Valuation,x,3.2182,4.562,2.9033,4.554,4.554
DY,Dividend Yield,Valuation,%,4.7684,4.0456,6.2053,3.3688,3.3688
PAYOUT,Payout,Valuation,%,94.8403,101.4843,107.1021,79.0085,79.0085
ROE,ROE,Rentabilidade,%,16.1805,19.3568,18.126,20.9117,20.9117
ROA,ROA,Rentabilidade,%,1.7662,2.1607,1.9366,2.2691,2.2691
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,35.5906,41.6567,31.969,38.4108,38.4108
NIM,NIM,Rentabilidade,%,4.4917,5.3537,2.705,3.1997,3.1997
INDICE_COBERTURA,Índice de Cobertura,Qualidade Ativos,%,5.7223,1.1445,4.7985,2.5449,2.5449
INDICE_EFICIENCIA,Índice de Eficiência,Eficiência,%,46.3028,47.7829,4.8302,4.4688,4.4688
LOAN_DEPOSIT,Loan-to-Deposit,Estrutura,%,127.5635,123.4178,136.48,137.7081,137.7081
PL_ATIVOS,PL/Ativos,Estrutura,%,10.9155,11.3889,10.1464,11.0467,11.0467
