cd_conta,ds_conta,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,40294.000,48261.000,55015.000,60542.000,52292.000,54026.000,61399.000,68785.000,76096.000,84326.000,79884.000,86931.000,82880.000,92456.000,85388.000,87888.000,71122.000,48186.000,54827.000,68078.000,78441.000,111524.000,123583.000,119593.000,129288.000,183942.000,254439.000,245825.000,241262.000,253934.000,268957.000,282258.000,216431.000,205260.000,259199.000,419693.000,368845.000,361894.000,359134.000
3.02,Custo dos Bens e/ou Serviços Vendidos,-30324.000,-37813.000,-40666.000,-48164.000,-39486.000,-44543.000,-57243.000,-61827.000,-65521.000,-77319.000,-70948.000,-68426.000,-72350.000,-79769.000,-74646.000,-72820.000,-61707.000,-52435.000,-45380.000,-55542.000,-67030.000,-90054.000,-102421.000,-103182.000,-103765.000,-144536.000,-176368.000,-190243.000,-191671.000,-199081.000,-217445.000,-222643.000,-172916.000,-166271.000,-197444.000,-317453.000,-295005.000,-290091.000,-285065.000
3.03,Resultado Bruto,9970.000,10448.000,14349.000,12378.000,12806.000,9483.000,4156.000,6958.000,10575.000,7007.000,8936.000,18505.000,10530.000,12687.000,10742.000,15068.000,9415.000,-4249.000,9447.000,12536.000,11411.000,21470.000,21162.000,16411.000,25523.000,39406.000,78071.000,55582.000,49591.000,54853.000,51512.000,59615.000,43515.000,38989.000,61755.000,102240.000,73840.000,71803.000,74069.000
3.04,Despesas/Receitas Operacionais,-8559.000,-6269.000,-8514.000,-12217.000,-8840.000,-10391.000,-8137.000,-13562.000,-7742.000,-3685.000,-5728.000,-12772.000,-9603.000,-10612.000,-11480.000,-9572.000,1361.000,-10798.000,-12461.000,-9883.000,-11007.000,-12675.000,-14047.000,-12233.000,-14971.000,-19973.000,-27577.000,-31603.000,-25536.000,-30564.000,-30896.000,-41176.000,-29528.000,-32401.000,-38334.000,-56390.000,-52195.000,-50265.000,-50130.000
3.04.02,Despesas Gerais e Administrativas,-8554.000,-6263.000,-8514.000,-12188.000,-9041.000,-10452.000,-8349.000,-13274.000,-8349.000,-4123.000,-5844.000,-12059.000,-9440.000,-10900.000,-11224.000,-10500.000,-6616.000,-10798.000,-12461.000,-2123.000,-11007.000,-12675.000,-14047.000,-12233.000,-14971.000,-19973.000,-27577.000,-31603.000,-25536.000,-30564.000,-30896.000,-41176.000,-29528.000,-32401.000,-38334.000,-56390.000,-52195.000,-50265.000,-50130.000
3.04.05,Outras Despesas Operacionais,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.04.06,Resultado de Equivalência Patrimonial,-5.000,-6.000,0.000,-29.000,201.000,61.000,212.000,-288.000,607.000,438.000,116.000,-713.000,-163.000,288.000,-256.000,928.000,217.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,1411.000,4179.000,5835.000,161.000,3966.000,-908.000,-3981.000,-6604.000,2833.000,3322.000,3208.000,5733.000,927.000,2075.000,-738.000,5496.000,10776.000,-15047.000,-3014.000,2653.000,404.000,8795.000,7115.000,4178.000,10552.000,19433.000,50494.000,23979.000,24055.000,24289.000,20616.000,18439.000,13987.000,6588.000,23421.000,45850.000,21645.000,21538.000,23939.000
3.06,Resultado Financeiro,-1328.000,-1069.000,-748.000,-40.000,-868.000,-1397.000,-2506.000,-1364.000,-2428.000,-2741.000,-2071.000,-1891.000,-2503.000,-3963.000,-3653.000,-3466.000,-2572.000,-884.000,-1240.000,-1814.000,-861.000,-556.000,-1358.000,-1538.000,-1423.000,-3802.000,-6468.000,-8585.000,-7507.000,-9261.000,-12423.000,-15797.000,-11289.000,-10315.000,-15543.000,-14821.000,-15798.000,-20796.000,-20577.000
3.06.01,Receitas Financeiras,848.000,1096.000,809.000,1565.000,544.000,555.000,776.000,508.000,895.000,1644.000,2601.000,1191.000,1566.000,693.000,1089.000,1117.000,1939.000,2932.000,-120.000,149.000,997.000,1126.000,853.000,1235.000,2039.000,1808.000,2867.000,3051.000,4301.000,3404.000,2376.000,3962.000,4503.000,4554.000,6063.000,7896.000,7978.000,13196.000,18987.000
3.06.02,Despesas Financeiras,-2176.000,-2165.000,-1557.000,-1605.000,-1412.000,-1952.000,-3282.000,-1872.000,-3323.000,-4385.000,-4672.000,-3082.000,-4069.000,-4656.000,-4742.000,-4583.000,-4511.000,-3816.000,-1120.000,-1963.000,-1858.000,-1682.000,-2211.000,-2773.000,-3462.000,-5610.000,-9335.000,-11636.000,-11808.000,-12665.000,-14799.000,-19759.000,-15792.000,-14869.000,-21606.000,-22717.000,-23776.000,-33992.000,-39564.000
3.07,Resultado Antes dos Tributos sobre o Lucro,83.000,3110.000,5087.000,121.000,3098.000,-2305.000,-6487.000,-7968.000,405.000,581.000,1137.000,3842.000,-1576.000,-1888.000,-4391.000,2030.000,8204.000,-15931.000,-4254.000,839.000,-457.000,8239.000,5757.000,2640.000,9129.000,15631.000,44026.000,15394.000,16548.000,15028.000,8193.000,2642.000,2698.000,-3727.000,7878.000,31029.000,5847.000,742.000,3362.000
