codigo,nome,categoria,unidade,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,LTM
VALOR_MERCADO,Valor de Mercado,Valuation,R$ mil,1504274.19,1504274.19,1674827.59,607575.47,316600.01,258350.83,258350.83,541960.78,624656.52,790048.0,746130.49
P_L,P/L,Valuation,x,239.9544,-203.6105,325.8419,-56.2674,-102.261,17.8185,3.9787,21.6093,22.4559,27.3052,25.7873
P_VPA,P/VPA,Valuation,x,26.9632,27.4633,25.3267,8.1435,1.4035,1.1278,1.165,2.2704,1.7613,1.5339,1.4486
EV_EBITDA,EV/EBITDA,Valuation,x,69.9305,335.0956,58.4,23.6338,15.8907,6.0083,2.2919,6.1603,4.9458,4.8332,4.6197
EV_EBIT,EV/EBIT,Valuation,x,130.2339,-208.216,115.1985,83.644,-58.3586,12.1392,2.8689,8.9135,9.6768,8.7966,8.4078
EV_RECEITA,EV/Receita,Valuation,x,7.3925,6.6268,5.3143,1.8619,1.116,0.5743,0.3684,0.7445,0.79,0.6583,0.6292
DY,Dividend Yield,Valuation,%,0.3231,0.3231,0.3231,0.3231,0.6331,0.777,0.777,0.4448,0.3859,0.3051,0.3231
PAYOUT,Payout,Valuation,%,77.5232,-65.7814,105.2712,-18.1786,-64.7381,13.8456,3.0916,9.6115,8.6658,8.3312,8.3312
ROE,ROE,Rentabilidade,%,11.2368,-13.3642,8.5027,-15.3448,-2.0627,6.3779,28.8057,10.8933,9.3762,6.7078,6.7078
ROA,ROA,Rentabilidade,%,5.1569,-4.861,2.6333,-4.8256,-1.0747,4.0784,13.061,3.4428,2.6926,2.1053,2.1053
ROIC,ROIC,Rentabilidade,%,12.6589,-4.2192,7.6442,4.411,-1.705,6.162,26.205,12.1242,9.8926,10.3733,10.3733
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,10.5712,1.9776,9.0998,7.8781,7.0232,9.5586,16.0734,12.0851,15.9724,13.6205,13.6205
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,3.0714,-3.1239,1.5707,-3.0974,-1.2782,3.3474,7.9821,2.3968,2.5275,1.9167,1.9167
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,0.2139,13.4633,2.1563,1.5111,-2.7208,-0.2318,0.3161,1.8746,1.3924,0.9908,0.9908
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.0827,1.1496,0.971,0.5563,-0.2052,-0.0419,0.1864,0.9931,0.6902,0.3955,0.3955
ICJ,ICJ,Endividamento,x,1.5442,-0.8837,0.9763,0.4299,-0.406,2.404,3.4769,1.4806,1.1982,0.941,0.941
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,88.4406,66.855,79.4462,25.5353,42.7571,52.5054,25.5755,21.966,55.9203,16.7795,16.7795
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.1553,1.0115,0.9173,1.3434,3.0754,1.9942,1.3657,1.6069,1.1151,2.4192,2.4192
LIQ_SECA,Liquidez Seca,Liquidez,x,1.155,0.9929,0.9081,1.3361,3.0562,1.9601,1.345,1.5903,1.1046,2.404,2.404
LIQ_GERAL,Liquidez Geral,Liquidez,x,1.2049,0.8382,0.9301,0.9473,2.2627,1.8357,1.0401,0.8721,0.7963,1.0037,1.0037
GIRO_ATIVO,Giro do Ativo,Eficiência,x,1.679,1.2966,1.5734,1.4553,0.7195,1.157,1.3122,1.2502,0.8954,0.9704,0.9704
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,87.3064,88.141,61.2499,43.4277,76.6853,76.9159,74.4351,80.4854,88.1694,84.2,84.2
PME,PME,Eficiência,dias,0.0344,2.946,1.342,0.8316,2.146,3.6011,3.1386,1.9971,2.4355,1.7818,1.7818
NCG_RECEITA,NCG/Receita,Eficiência,%,6.1251,17.8831,12.472,2.9035,22.8068,14.8453,2.3463,10.8369,8.395,11.4717,11.4717
