codigo,nome,categoria,unidade,2017,2018,2019,2020,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,-252.32,218.0586,-52.0634,-140.7113,17.7897,12.3267,31.4184,59.107,91.2919,85.1374
P_VPA,P/VPA,Valuation,x,,,,1.4035,1.1278,1.165,2.2704,1.7613,3.0926,2.8841
EV_EBITDA,EV/EBITDA,Valuation,x,,,,15.8907,6.0083,2.2919,6.1603,4.9458,8.738,8.2157
EV_EBIT,EV/EBIT,Valuation,x,,,,-58.3586,12.1392,2.8689,8.9135,9.6768,15.9032,14.9527
EV_RECEITA,EV/Receita,Valuation,x,,,,1.116,0.5743,0.3684,0.7445,0.79,1.1902,1.119
DY,Dividend Yield,Valuation,%,,,,,1.9762,10.8583,,1.0918,0.3051,0.3272
PAYOUT,Payout,Valuation,%,,78.2546,6.0194,,35.2133,43.2014,,24.5173,20.6467,20.6467
ROE,ROE,Rentabilidade,%,13.4882,8.5027,15.3448,2.0627,6.3779,28.8057,10.8933,9.3762,5.4578,5.4578
ROA,ROA,Rentabilidade,%,4.0503,2.6333,4.8256,1.0747,4.0784,13.061,3.4428,2.6926,1.713,1.713
ROIC,ROIC,Rentabilidade,%,-4.23,7.6442,4.411,-1.705,6.162,26.205,12.1242,9.8926,10.3733,10.3733
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,1.9776,9.0998,7.8781,7.0232,9.5586,16.0734,12.0851,15.9724,13.6205,13.6205
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,3.1239,1.5707,3.0974,1.2782,3.3474,7.9821,2.3968,2.5275,1.5595,1.5595
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,13.3992,2.1563,1.5111,-2.7208,-0.2318,0.3161,1.8746,1.3924,0.9908,0.9908
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,1.1441,0.971,0.5563,-0.2052,-0.0419,0.1864,0.9931,0.6902,0.3955,0.3955
ICJ,ICJ,Endividamento,x,-0.8837,0.9763,0.4299,-0.406,2.404,3.4769,1.4806,1.1982,0.941,0.941
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,66.7025,79.4462,25.5353,42.7571,52.5054,25.5755,21.966,55.9203,16.7795,16.7795
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.0115,0.9173,1.3434,3.0754,1.9942,1.3657,1.6069,1.1151,2.4192,2.4192
LIQ_SECA,Liquidez Seca,Liquidez,x,0.9929,0.9081,1.3361,3.0562,1.9601,1.345,1.5903,1.1046,2.404,2.404
LIQ_GERAL,Liquidez Geral,Liquidez,x,0.8382,0.9301,0.9473,2.2627,1.8357,1.0401,0.8721,0.7963,1.0037,1.0037
GIRO_ATIVO,Giro do Ativo,Eficiência,x,1.2966,1.5734,1.4553,0.7195,1.157,1.3122,1.2502,0.8954,0.9704,0.9704
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,87.6092,61.2499,43.4277,76.6853,76.9159,74.4351,80.4854,88.1694,84.2,84.2
PME,PME,Eficiência,dias,2.946,1.342,0.8316,2.146,3.6011,3.1386,1.9971,2.4355,1.7818,1.7818
NCG_RECEITA,NCG/Receita,Eficiência,%,17.7563,12.472,2.9035,22.8068,14.8453,2.3463,10.8369,8.395,11.4717,11.4717
