codigo,nome,categoria,unidade,2021,2022,2023,2024,2025,LTM
VALOR_MERCADO,Valor de Mercado,Valuation,R$ mil,4604899.76,4434849.06,5785235.68,6682171.45,6891456.46,7813307.1
P_L,P/L,Valuation,x,,7.7261,10.0767,8.8346,7.999,9.069
P_VPA,P/VPA,Valuation,x,2.0592,1.5734,1.726,1.6517,1.4653,1.6613
EV_EBITDA,EV/EBITDA,Valuation,x,,8.1515,11.0793,4.9391,8.9961,9.9366
EV_EBIT,EV/EBIT,Valuation,x,,8.652,13.2034,5.6025,11.2876,12.4676
EV_RECEITA,EV/Receita,Valuation,x,,0.6756,0.6481,0.544,0.5542,0.6121
DY,Dividend Yield,Valuation,%,,0.1719,0.9922,0.8777,1.3782,1.2156
PAYOUT,Payout,Valuation,%,,1.3282,9.9986,7.7541,11.0239,11.0239
ROE,ROE,Rentabilidade,%,,22.5993,18.5984,20.4489,19.9833,19.9833
ROA,ROA,Rentabilidade,%,,10.9028,8.851,9.5905,8.2429,8.2429
ROIC,ROIC,Rentabilidade,%,,11.6901,8.5778,18.9362,7.7774,7.7774
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,,8.2875,5.8492,11.0134,6.1605,6.1605
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,,8.2949,6.3763,5.8972,5.4192,5.4192
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,,0.3801,0.0885,0.2086,1.9651,1.9651
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,-0.1301,0.077,0.0139,0.0728,0.4096,0.4096
ICJ,ICJ,Endividamento,x,,1.6999,1.1167,1.2372,0.9,0.9
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,61.1312,54.6629,44.1748,44.5632,46.9579,46.9579
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.8317,1.5542,1.5879,1.5755,1.4627,1.4627
LIQ_SECA,Liquidez Seca,Liquidez,x,1.0527,0.8131,1.0435,1.0894,1.004,1.004
LIQ_GERAL,Liquidez Geral,Liquidez,x,1.6681,1.3967,1.387,1.2735,1.0731,1.0731
GIRO_ATIVO,Giro do Ativo,Eficiência,x,,1.1322,1.3073,1.4428,1.285,1.285
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,,61.3079,27.2987,30.5022,38.267,38.267
PME,PME,Eficiência,dias,,125.0845,70.3942,62.3332,66.938,66.938
NCG_RECEITA,NCG/Receita,Eficiência,%,,17.9792,10.8174,9.815,14.3036,14.3036
