cd_conta,ds_conta,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,1205380.0,1729545.0,1501390.0,1273235.0,1497303.0,1958912.0,2156389.0,1804696.0,1760359.0,2404340.0,3029590.0,2679222.0,2796469.0,3496560.0,3853520.0,3499108.0,3562877.0,4994879.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-1019842.0,-1516545.0,-1315793.5,-1115042.0,-1244211.0,-1717678.0,-1765609.0,-1544540.0,-1576111.0,-2029466.0,-2602862.0,-2178441.0,-2080269.0,-2866006.0,-3169552.0,-2987775.0,-2839181.0,-4449802.0
3.03,Resultado Bruto,185538.0,213000.0,185596.5,158193.0,253092.0,241234.0,390780.0,260156.0,184248.0,374874.0,426728.0,500781.0,716200.0,630554.0,683968.0,511333.0,723696.0,545077.0
3.04,Despesas/Receitas Operacionais,-70029.0,-100727.0,-106210.0,-111693.0,-99302.0,-142215.0,-152438.0,-149494.0,-143408.0,-213148.0,-298266.0,-314877.0,-337586.0,-289352.0,-344390.0,-374396.0,-422779.0,-541330.0
3.04.02,Despesas Gerais e Administrativas,-11488.0,-17758.0,-17607.0,-17456.0,-12384.0,-16247.0,-22287.0,-16101.0,-16471.0,-19068.0,-20178.0,-18957.0,-21974.0,-24640.0,-41253.0,-23209.0,-31304.0,-40828.0
3.04.05,Outras Despesas Operacionais,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.04.06,Resultado de Equivalência Patrimonial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-68.0,213.0,-74.0,-230.0,43.0,-294.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,115509.0,112273.0,79386.5,46500.0,153790.0,99019.0,238342.0,110662.0,40840.0,161726.0,128462.0,185904.0,378614.0,341202.0,339578.0,136937.0,300917.0,3747.0
3.06,Resultado Financeiro,24467.0,-15308.0,-4772.0,5764.0,6398.0,2580.0,-12072.0,-16455.0,17130.0,-46408.0,32763.0,-9064.0,-162105.0,113351.0,-186454.0,111585.0,150231.0,249207.0
3.06.01,Receitas Financeiras,72665.0,52631.0,66354.0,80077.0,111840.0,63264.0,63771.0,62275.0,113784.0,95953.0,110534.0,90811.0,157089.0,259374.0,254986.0,171648.0,434171.0,331739.0
3.06.02,Despesas Financeiras,-48198.0,-67939.0,-71126.0,-74313.0,-105442.0,-60684.0,-75843.0,-78730.0,-96654.0,-142361.0,-77771.0,-99875.0,-319194.0,-146023.0,-441440.0,-60063.0,-283940.0,-82532.0
3.07,Resultado Antes dos Tributos sobre o Lucro,139976.0,96965.0,74614.5,52264.0,160188.0,101599.0,226270.0,94207.0,57970.0,115318.0,161225.0,176840.0,216509.0,454553.0,153124.0,248522.0,451148.0,252954.0
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-25700.0,-970.0,-2744.0,-4518.0,-38966.0,-67561.0,-80192.0,-9132.0,-18979.0,-102547.0,-14424.0,-20402.0,-70865.0,-136178.0,-17216.0,-56103.0,-120301.0,-49910.0
3.09,Resultado Líquido das Operações Continuadas,114276.0,97935.0,77358.5,56782.0,121222.0,169160.0,224010.0,103339.0,76949.0,217865.0,175649.0,156438.0,145644.0,318375.0,135908.0,192419.0,330847.0,203044.0
3.10,Resultado Líquido de Operações Descontinuadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.11,Lucro/Prejuízo Consolidado do Período,114276.0,97935.0,77358.5,56782.0,121222.0,169160.0,224010.0,103339.0,76949.0,217865.0,175649.0,156438.0,145644.0,318375.0,135908.0,192419.0,330847.0,203044.0
3.11.01,Atribuído a Sócios da Empresa Controladora,0.0,0.0,28391.0,56782.0,0.0,0.0,514655.0,104573.0,78358.0,219144.0,173212.0,157424.0,146278.0,318734.0,136187.0,192333.0,331555.0,203521.0
3.11.02,Atribuído a Sócios Não Controladores,0.0,0.0,0.0,0.0,0.0,0.0,-263.0,-1234.0,-1409.0,-1279.0,2437.0,-986.0,-634.0,-359.0,-279.0,86.0,-708.0,-477.0
3.99,Lucro por Ação (Reais/Ação),0.28570000,0.20070000,0.15775000,0.11480000,0.24429000,0.34090000,0.45195000,0.20780000,0.15442000,0.43722000,0.35272000,0.31394000,0.29228000,0.63893000,0.27275000,0.38615000,0.66357000,0.40650000
