codigo,nome,categoria,unidade,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,,10.0767,8.8346,7.999,9.5086
P_VPA,P/VPA,Valuation,x,2.0196,1.726,1.6517,1.4592,1.7346
EV_EBITDA,EV/EBITDA,Valuation,x,,11.0793,4.9391,8.9667,10.2881
EV_EBIT,EV/EBIT,Valuation,x,,13.2034,5.6025,11.2507,12.9086
EV_RECEITA,EV/Receita,Valuation,x,,0.6481,0.544,0.5524,0.6338
DY,Dividend Yield,Valuation,%,0.145,0.9881,0.874,1.3782,1.1594
PAYOUT,Payout,Valuation,%,,9.9624,7.7218,10.9693,10.9693
ROE,ROE,Rentabilidade,%,,19.3037,20.4489,19.9833,19.9833
ROA,ROA,Rentabilidade,%,,9.0278,9.5905,8.2429,8.2429
ROIC,ROIC,Rentabilidade,%,,8.5778,18.9362,7.7774,7.7774
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,,5.8492,11.0134,6.1605,6.1605
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,,6.3763,5.8972,5.4192,5.4192
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,,0.0885,0.2086,1.9651,1.9651
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,-0.0298,0.0139,0.0728,0.4096,0.4096
ICJ,ICJ,Endividamento,x,,1.1167,1.2372,0.9,0.9
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,49.191,44.1748,44.5632,46.9579,46.9579
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.6086,1.5879,1.5755,1.4627,1.4627
LIQ_SECA,Liquidez Seca,Liquidez,x,0.6947,1.0435,1.0516,1.004,1.004
LIQ_GERAL,Liquidez Geral,Liquidez,x,1.394,1.387,1.2735,1.0731,1.0731
GIRO_ATIVO,Giro do Ativo,Eficiência,x,,1.3073,1.4428,1.285,1.285
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,,27.2987,35.3477,38.267,38.267
PME,PME,Eficiência,dias,,70.3942,67.1787,66.938,66.938
NCG_RECEITA,NCG/Receita,Eficiência,%,,10.8174,9.815,14.3036,14.3036
