codigo,nome,categoria,unidade,2021,2022,2024,2025,LTM
P_L,P/L,Valuation,x,,14.898,8.5502,11.8789,15.2495
P_VPA,P/VPA,Valuation,x,5.2715,3.1689,1.9928,0.9513,1.2212
EV_EBITDA,EV/EBITDA,Valuation,x,,10.6512,5.7558,3.3429,3.7235
EV_EBIT,EV/EBIT,Valuation,x,,15.2123,9.1677,6.6782,7.4385
EV_RECEITA,EV/Receita,Valuation,x,,5.1197,3.0241,1.6613,1.8504
DY,Dividend Yield,Valuation,%,,3.8303,4.8132,6.2149,4.8412
PAYOUT,Payout,Valuation,%,,94.6352,61.5588,65.8979,65.8979
ROE,ROE,Rentabilidade,%,,13.1091,16.6855,9.0774,9.0774
ROA,ROA,Rentabilidade,%,,5.223,4.9738,2.4836,2.4836
ROIC,ROIC,Rentabilidade,%,,8.958,10.2133,9.6839,9.6839
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,,48.0669,52.5409,49.6961,49.6961
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,,15.6124,14.007,6.2864,6.2864
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,,2.6263,2.3462,2.0017,2.0017
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,-0.1531,1.0371,1.3713,1.4196,1.4196
ICJ,ICJ,Endividamento,x,,1.1469,1.301,1.0254,1.0254
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,17.2805,2.8843,13.4165,2.4761,2.4761
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,4.9293,3.2836,1.7574,2.2124,2.2124
LIQ_SECA,Liquidez Seca,Liquidez,x,4.8923,3.195,1.6876,2.0825,2.0825
LIQ_GERAL,Liquidez Geral,Liquidez,x,1.2224,0.5025,0.4841,0.4361,0.4361
GIRO_ATIVO,Giro do Ativo,Eficiência,x,,0.2551,0.2813,0.4064,0.4064
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,,-88.2821,-54.0656,-28.392,-28.392
PME,PME,Eficiência,dias,,24.8584,32.0468,24.7191,24.7191
NCG_RECEITA,NCG/Receita,Eficiência,%,,2.1979,2.6143,10.3686,10.3686
