codigo,nome,categoria,unidade,2020,2021,2022,2023,2024,2025,LTM
VALOR_MERCADO,Valor de Mercado,Valuation,R$ mil,1452189.99,7233289.18,3345975.12,4923681.12,1500319.44,1146895.46,1455275.21
P_L,P/L,Valuation,x,,108.6438,22.5179,24.9683,8.5421,20.7047,26.2718
P_VPA,P/VPA,Valuation,x,17.0725,6.5007,2.8881,4.0032,1.1444,0.8693,1.103
EV_EBITDA,EV/EBITDA,Valuation,x,,36.3292,9.9402,10.3661,4.5943,3.5954,3.9625
EV_EBIT,EV/EBIT,Valuation,x,,49.4536,14.1969,13.2684,6.3815,7.3095,8.0559
EV_RECEITA,EV/Receita,Valuation,x,,16.7154,4.778,4.6122,1.8901,1.6241,1.7899
DY,Dividend Yield,Valuation,%,5.0751,1.0189,2.2043,1.5,4.9227,6.4397,5.0751
PAYOUT,Payout,Valuation,%,,110.6973,49.6357,37.4532,42.0502,133.332,133.332
ROE,ROE,Rentabilidade,%,,11.1171,13.0848,16.5125,13.8246,4.2454,4.2454
ROA,ROA,Rentabilidade,%,,3.5876,4.2379,5.1129,4.0751,1.1379,1.1379
ROIC,ROIC,Rentabilidade,%,,7.3604,8.958,11.9416,10.9642,8.5415,8.5415
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,,46.0109,48.0669,44.4931,41.1407,45.1718,45.1718
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,,14.8857,15.6124,14.3665,9.9458,2.979,2.979
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,,1.1803,2.6263,2.304,2.5292,2.23,2.23
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,2.3958,0.2183,1.0371,1.1441,1.4016,1.4196,1.4196
ICJ,ICJ,Endividamento,x,,1.9873,1.1469,1.3882,1.2612,0.8927,0.8927
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,22.5132,8.9285,2.8843,12.6303,3.2994,2.4761,2.4761
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.3606,6.0921,3.2836,1.5885,2.1309,2.2124,2.2124
LIQ_SECA,Liquidez Seca,Liquidez,x,1.3385,6.0365,3.195,1.5129,2.0121,2.0825,2.0825
LIQ_GERAL,Liquidez Geral,Liquidez,x,0.3573,0.8752,0.5025,0.4424,0.4284,0.4361,0.4361
GIRO_ATIVO,Giro do Ativo,Eficiência,x,,0.1363,0.2551,0.3446,0.3808,0.4013,0.4013
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,,87.1821,-88.2821,-83.7154,-8.0732,-26.0773,-26.0773
PME,PME,Eficiência,dias,,26.8197,24.8584,28.133,26.0443,24.396,24.396
NCG_RECEITA,NCG/Receita,Eficiência,%,,19.7285,2.1979,-1.4307,9.3196,10.4996,10.4996
