cd_conta,ds_conta,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,29344.000,43426.333,57508.667,71591.000,99346.000,218817.000,195416.000,225863.000,250597.000,279878.000,306431.667,332985.333,359539.000,373663.000,387787.000,407703.000,496985.000,473494.000,439917.000,451467.000,494579.000
3.02,Custo dos Bens e/ou Serviços Vendidos,-16237.000,-23269.000,-30301.000,-37333.000,-47541.000,-117029.000,-108171.000,-126193.000,-130307.000,-139463.000,-156540.333,-173617.667,-190695.000,-202462.500,-214230.000,-237133.000,-292152.000,-307833.000,-289086.000,-303869.000,-298904.000
3.03,Resultado Bruto,13107.000,20157.333,27207.667,34258.000,51805.000,101788.000,87245.000,99670.000,120290.000,140415.000,149891.333,159367.667,168844.000,171200.500,173557.000,170570.000,204833.000,165661.000,150831.000,147598.000,195675.000
3.04,Despesas/Receitas Operacionais,-2617.000,-4045.000,-5473.000,-6901.000,-23424.000,-28085.000,-24555.000,-24748.000,-30648.000,-47356.000,-45572.000,-43788.000,-42004.000,-40805.000,-39606.000,-33504.000,-51185.000,-67273.000,-58404.000,-65523.000,-55411.000
3.04.02,Despesas Gerais e Administrativas,-2617.000,-4045.000,-5473.000,-6901.000,-23424.000,-28085.000,-24555.000,-24748.000,-30648.000,-47356.000,-31570.667,-15785.333,0.000,0.000,0.000,0.000,0.000,-191568.000,0.000,0.000,0.000
3.04.05,Outras Despesas Operacionais,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.04.06,Resultado de Equivalência Patrimonial,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,10490.000,16112.333,21734.667,27357.000,28381.000,73703.000,62690.000,74922.000,89642.000,93059.000,104319.333,115579.667,126840.000,130395.500,133951.000,137066.000,153648.000,98388.000,92427.000,82075.000,140264.000
3.06,Resultado Financeiro,-4169.000,-6148.000,-8127.000,-10106.000,-7452.000,-22294.000,-25873.000,-34376.000,-38967.000,-53106.000,-56700.000,-60294.000,-63888.000,-64845.000,-65802.000,-72350.000,-79218.000,-79840.000,-85169.000,-99738.000,-90173.000
3.06.01,Receitas Financeiras,71.000,236.333,401.667,567.000,9378.000,17747.000,38592.000,29335.000,31475.000,27572.000,26341.000,25110.000,23879.000,22639.500,21400.000,31689.000,29504.000,34923.000,20045.000,19611.000,33340.000
3.06.02,Despesas Financeiras,-4240.000,-6384.333,-8528.667,-10673.000,-16830.000,-40041.000,-64465.000,-63711.000,-70442.000,-80678.000,-83041.000,-85404.000,-87767.000,-87484.500,-87202.000,-104039.000,-108722.000,-114763.000,-105214.000,-119349.000,-123513.000
3.07,Resultado Antes dos Tributos sobre o Lucro,6321.000,9964.333,13607.667,17251.000,20929.000,51409.000,36817.000,40546.000,50675.000,39953.000,47619.333,55285.667,62952.000,65550.500,68149.000,64716.000,74430.000,18548.000,7258.000,-17663.000,50091.000
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-2387.000,-3740.333,-5093.667,-6447.000,-7253.000,-17825.000,-8852.000,-9709.000,-11840.000,11002.000,2308.667,-6384.667,-15078.000,-15056.500,-15035.000,-14322.000,-13591.000,-7256.000,5254.000,10948.000,-11787.000
3.09,Resultado Líquido das Operações Continuadas,3934.000,6224.000,8514.000,10804.000,13676.000,33584.000,27965.000,30837.000,38835.000,50955.000,49928.000,48901.000,47874.000,50494.000,53114.000,50394.000,60839.000,11292.000,12512.000,-6715.000,38304.000
3.10,Resultado Líquido de Operações Descontinuadas,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.11,Lucro/Prejuízo Consolidado do Período,3934.000,6224.000,8514.000,10804.000,13676.000,33584.000,27965.000,30837.000,38835.000,50955.000,49928.000,48901.000,47874.000,50494.000,53114.000,50394.000,60839.000,11292.000,12512.000,-6715.000,38304.000
3.11.01,Atribuído a Sócios da Empresa Controladora,0.000,3601.333,7202.667,10804.000,0.000,-10804.000,0.000,30837.000,0.000,-30837.000,-20558.000,-10279.000,0.000,26557.000,53114.000,0.000,56936.000,60147.000,13154.000,-6493.000,37773.000
3.11.02,Atribuído a Sócios Não Controladores,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3903.000,1539.000,-642.000,-222.000,531.000
3.99,Lucro por Ação (Reais/Ação),0.011,0.018,0.025,0.031,0.040,0.170,0.081,0.089,0.112,0.430,0.287,0.143,0.138,0.075,0.150,0.150,0.180,0.030,0.040,-0.020,0.110
