cd_conta,conta,2020T4,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T4,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,430028.000,1958982.000,3281487.000,3207586.000,2980727.000,3468778.000,3730975.000,3982727.000,4898506.000,5102611.000,4637353.000,4575716.000,4585303.000,4633471.000
1.01,Ativo Circulante,122237.000,1038994.000,1897148.000,1642067.000,1211161.000,1192038.000,1290609.000,1187936.000,1789139.000,1792373.000,1364732.000,1391549.000,1465549.000,1384316.000
1.01.01,Caixa e Equivalentes de Caixa,84767.000,892411.000,0.000,1842.000,4363.000,320.000,938358.000,254405.000,242995.000,385200.000,210912.000,470640.000,363919.000,512001.000
1.01.02,Aplicações Financeiras,0.000,0.000,1668121.000,1351137.000,879595.000,859034.000,0.000,475190.000,932709.000,737762.000,430575.000,250935.000,259413.000,113228.000
1.01.03,Contas a Receber,23866.000,96325.000,170499.000,222996.000,250781.000,245392.000,237500.000,325596.000,452351.000,503282.000,562227.000,378742.000,391430.000,395504.000
1.01.04,Estoques,1985.000,7784.000,17299.000,20824.000,25994.000,30874.000,34811.000,56525.000,62434.000,71131.000,76060.000,78320.000,81951.000,81299.000
1.01.05,Ativos Biológicos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.06,Tributos a Recuperar,9649.000,36376.000,32836.000,38041.000,33942.000,45278.000,68330.000,33322.000,34340.000,35580.000,34156.000,46924.000,50677.000,50863.000
1.01.07,Despesas Antecipadas,0.000,0.000,0.000,6057.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.08,Outros Ativos Circulantes,1970.000,6098.000,8393.000,1170.000,16486.000,11140.000,11610.000,42898.000,64310.000,59418.000,50802.000,165988.000,318159.000,231421.000
1.02,Ativo Não Circulante,307791.000,919988.000,1384339.000,1565519.000,1769566.000,2276740.000,2440366.000,2794791.000,3109367.000,3310238.000,3272621.000,3184167.000,3119754.000,3249155.000
1.02.01,Ativo Realizável a Longo Prazo,1033.000,658.000,1064.000,1347.000,11669.000,20652.000,2104.000,29895.000,40419.000,53060.000,60204.000,56800.000,56039.000,60829.000
1.02.02,Investimentos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.02.03,Imobilizado,306305.000,902750.000,1251287.000,1437500.000,1632763.000,2132161.000,2313223.000,2639478.000,2948959.000,3050996.000,3011349.000,2931651.000,2873304.000,3003913.000
1.02.04,Intangível,453.000,16580.000,131988.000,126672.000,125134.000,123927.000,125039.000,125418.000,119989.000,206182.000,201068.000,195716.000,190411.000,184413.000
