codigo,nome,categoria,unidade,2019,2020,2021,2022,2023,2024,2025,LTM
VALOR_MERCADO,Valor de Mercado,Valuation,R$ mil,2332933.89,2332933.89,2290933.44,1141521.62,1673250.31,1053527.98,1709704.57,2227354.99
P_L,P/L,Valuation,x,19.301,-67.0518,27.6166,172.8007,16.6567,7.3007,6.7703,8.8201
P_VPA,P/VPA,Valuation,x,4.5673,5.1613,1.5758,0.8122,1.2068,0.7163,1.0324,1.3449
EV_EBITDA,EV/EBITDA,Valuation,x,9.1354,10.3147,5.8506,3.1529,3.6302,2.5505,2.5676,3.1903
EV_EBIT,EV/EBIT,Valuation,x,11.0318,19.8565,7.6039,4.3509,4.8389,3.238,3.5367,4.3945
EV_RECEITA,EV/Receita,Valuation,x,2.1078,1.939,1.3087,0.6685,0.8679,0.5924,0.7761,0.9644
DY,Dividend Yield,Valuation,%,7.9466,7.9466,8.0923,15.6122,10.5782,16.8007,10.3527,7.9466
PAYOUT,Payout,Valuation,%,153.3784,-532.837,223.4826,2697.8028,176.1983,122.656,70.0904,70.0904
ROE,ROE,Rentabilidade,%,23.6635,-7.2275,8.7056,0.4621,7.1962,10.101,16.1017,16.1017
ROA,ROA,Rentabilidade,%,5.4961,-1.1856,1.9643,0.1393,2.1783,3.1767,5.2582,5.2582
ROIC,ROIC,Rentabilidade,%,14.4647,7.2042,13.3814,12.6981,15.9303,15.9961,19.142,19.142
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,23.0726,18.7985,22.3682,21.2027,23.9081,23.2284,30.2283,30.2283
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,8.1988,-1.9319,4.5564,0.3257,4.3718,5.6186,9.1836,9.1836
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,2.2768,3.4238,0.2251,0.4986,0.5844,0.7846,0.5107,0.5107
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,1.5161,2.5645,0.0631,0.1526,0.2315,0.3182,0.2563,0.2563
ICJ,ICJ,Endividamento,x,1.4666,0.7689,1.0742,0.7221,1.0012,1.1775,1.3692,1.3692
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,97.2068,15.1742,11.0993,22.1075,23.4707,16.837,14.6993,14.6993
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,0.1961,0.8322,2.3261,1.7074,1.0822,0.9291,1.4373,1.4373
LIQ_SECA,Liquidez Seca,Liquidez,x,0.1961,0.8322,2.3261,1.7074,1.0822,0.9291,1.4373,1.4373
LIQ_GERAL,Liquidez Geral,Liquidez,x,0.1821,0.1866,0.449,0.404,0.3493,0.3366,0.4247,0.4247
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.6704,0.4907,0.3812,0.4309,0.5088,0.5621,0.5755,0.5755
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,27.8142,20.5363,18.2102,15.2174,17.5118,4.7006,-0.4063,-0.4063
PME,PME,Eficiência,dias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCG_RECEITA,NCG/Receita,Eficiência,%,-4.192,-5.2584,-11.6389,-7.5091,-11.2876,-17.43,-11.3254,-11.3254
