codigo,nome,categoria,unidade,2020,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,2.1857,-3355.0,51.0135,14.5193,-8.6471,10.897,9.7758
P_VPA,P/VPA,Valuation,x,3.782,1.6278,1.766,1.1354,1.0374,0.1587,0.1424
EV_EBITDA,EV/EBITDA,Valuation,x,-27.5376,10.4497,29.0965,10.8005,9.695,4.7661,4.6884
EV_EBIT,EV/EBIT,Valuation,x,-23.2134,10.4497,29.0965,10.8005,9.695,4.7661,4.6884
EV_RECEITA,EV/Receita,Valuation,x,19.5878,5.9592,4.5789,2.4327,2.7745,1.1265,1.1081
DY,Dividend Yield,Valuation,%,,,,,0.3862,,
PAYOUT,Payout,Valuation,%,,,,,-4.6344,,
ROE,ROE,Rentabilidade,%,-25.6736,0.6089,2.9992,8.5847,-11.3084,8.2098,8.2098
ROA,ROA,Rentabilidade,%,-13.1115,0.4229,1.9027,3.0274,-2.8171,2.4825,2.4825
ROIC,ROIC,Rentabilidade,%,-11.3251,15.9674,3.9219,6.4672,6.9202,7.5253,7.5253
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,-71.131,57.0274,15.737,22.5244,28.6175,23.6354,23.6354
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,-135.3854,2.1972,7.4149,7.5661,-10.4246,8.8052,8.8052
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,0.5002,-5.9268,0.8125,5.809,5.3232,4.0105,4.0105
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,-0.0675,-0.5891,0.0507,1.3214,1.2632,0.8426,0.8426
ICJ,ICJ,Endividamento,x,-0.8434,0.632,0.3367,0.9553,0.5058,0.4358,0.4358
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,1.5117,1.3959,14.0638,10.3794,4.9696,5.1669,5.1669
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,6.7401,4.7868,1.7619,1.1885,1.6927,1.7235,1.7235
LIQ_SECA,Liquidez Seca,Liquidez,x,6.6986,4.7575,1.5516,0.9443,1.5198,1.4918,1.4918
LIQ_GERAL,Liquidez Geral,Liquidez,x,0.7743,2.2112,0.5794,0.4745,0.4844,0.4447,0.4447
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.0968,0.1335,0.2161,0.2793,0.1963,0.2616,0.2616
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,18.7733,14.9942,21.1564,-13.2052,-68.3724,5.2593,5.2593
PME,PME,Eficiência,dias,16.0998,18.7273,80.7736,75.9536,52.9162,52.6757,52.6757
NCG_RECEITA,NCG/Receita,Eficiência,%,-18.8931,-49.5784,-0.2684,-5.6642,-10.7949,-9.9355,-9.9355
