codigo,nome,categoria,unidade,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,LTM
VALOR_MERCADO,Valor de Mercado,Valuation,R$ mil,6011529.79,6011529.79,2055923.97,1056783.35,1672723.44,4334354.7,4154149.39,4492545.87,2409308.87,3804171.9,1181104.8,3003484.29,3488969.09
P_L,P/L,Valuation,x,315.3341,79.256,51.7904,14.6634,10.4706,19.0258,38.102,5.4825,4.3301,-5.8449,5.1021,10.7965,12.5416
P_VPA,P/VPA,Valuation,x,9.5743,7.5665,2.8485,0.8225,1.0084,1.8837,1.7612,1.3678,0.8702,1.5083,0.4739,1.077,1.2511
EV_EBITDA,EV/EBITDA,Valuation,x,144.9056,38.9093,15.5404,7.1077,8.2336,13.7369,10.8671,5.9981,4.1973,12.7658,4.1971,2.7733,2.8466
EV_EBIT,EV/EBIT,Valuation,x,144.9056,38.9093,15.5404,7.1077,8.2336,13.7369,22.5717,6.8828,5.5056,12.7658,6.6339,5.9403,6.0974
EV_RECEITA,EV/Receita,Valuation,x,25.6374,4.8793,1.5702,0.7091,1.2316,1.6766,1.6813,2.1512,1.386,1.5572,1.2893,1.2873,1.3213
DY,Dividend Yield,Valuation,%,8.056,8.056,8.056,15.6725,12.2172,5.3503,4.9194,6.2564,11.666,7.3885,23.7973,9.3582,8.056
PAYOUT,Payout,Valuation,%,2540.3258,638.485,417.2226,229.8127,127.9215,101.7932,187.4395,34.3004,50.5154,-43.1851,121.4165,101.0352,101.0352
ROE,ROE,Rentabilidade,%,3.0362,10.6652,5.2362,7.1832,10.854,11.5063,4.6796,29.0419,18.384,-24.603,9.2327,10.2147,10.2147
ROA,ROA,Rentabilidade,%,1.3885,3.8004,1.468,2.1209,3.4734,3.6641,1.3849,5.4234,2.3201,-2.5341,0.8313,0.9557,0.9557
ROIC,ROIC,Rentabilidade,%,3.5349,7.281,7.7053,8.3893,8.0517,7.0259,3.9589,10.7178,11.6724,5.6172,9.251,11.242,11.242
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,17.6924,12.5401,10.1037,9.9766,14.9581,12.205,15.4716,35.8652,33.0217,12.1985,30.7183,46.4162,46.4162
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,7.9087,5.4412,2.0968,2.3945,6.293,5.9388,2.6688,15.3665,5.7959,-6.2933,1.7171,1.9507,1.9507
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,3.9487,4.5198,4.7923,3.5882,3.8285,4.4791,4.2946,3.6492,3.4373,9.7503,3.9119,2.3196,2.3196
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.2682,0.9945,1.27,0.8386,0.8764,0.9114,1.1508,2.1249,3.9356,4.8771,6.4996,5.5061,5.5061
ICJ,ICJ,Endividamento,x,1.9506,1.3663,0.9944,1.1458,1.7328,1.9139,1.1484,1.7385,1.0933,0.532,0.9744,0.9887,0.9887
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,32.7161,56.1619,49.1409,44.2563,21.3325,20.5844,21.5015,5.1342,11.5286,8.3759,11.598,20.1378,20.1378
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,0.4203,0.6918,0.3776,0.7187,0.874,0.8704,0.9722,2.4384,1.6011,0.7283,0.7512,0.6853,0.6853
LIQ_SECA,Liquidez Seca,Liquidez,x,0.4203,0.6918,0.25,0.7187,0.874,0.8704,0.9722,2.4384,1.6011,0.7283,0.7512,0.6853,0.6853
LIQ_GERAL,Liquidez Geral,Liquidez,x,0.329,0.5228,0.2759,0.4347,0.4234,0.4192,0.4266,0.51,0.4309,0.2719,0.2962,0.285,0.285
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.1756,0.5323,0.6786,0.7512,0.4889,0.5296,0.4805,0.2456,0.3657,0.4117,0.4409,0.4811,0.4811
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,-946.5698,-63.5875,-121.78,-96.6821,-152.2736,-123.9544,-107.6751,-223.6988,-94.4985,-182.0391,-164.9234,-110.3597,-110.3597
PME,PME,Eficiência,dias,0.0,0.0,47.4731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCG_RECEITA,NCG/Receita,Eficiência,%,-132.4013,-8.3761,-28.7461,-13.7693,-21.1026,-17.9896,-19.9003,-30.6152,-12.9165,-36.1921,-31.2765,-20.2732,-20.2732
