codigo,nome,categoria,unidade,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,,,,,
P_VPA,P/VPA,Valuation,x,,,,,
DY,Dividend Yield,Valuation,%,,,,,
PAYOUT,Payout,Valuation,%,,,,,
ROE,ROE,Rentabilidade,%,13.3659,8.9041,10.4431,12.5608,12.5608
ROA,ROA,Rentabilidade,%,1.179,0.7782,0.8778,1.0232,1.0232
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,10.3039,6.4612,8.2273,8.5587,8.5587
NIM,NIM,Rentabilidade,%,4.8758,4.3761,4.2229,4.486,4.486
INDICE_COBERTURA,Índice de Cobertura,Qualidade Ativos,%,8.3145,8.0184,6.6921,6.3207,6.3207
INDICE_EFICIENCIA,Índice de Eficiência,Eficiência,%,67.5479,85.0057,75.4854,75.8011,75.8011
LOAN_DEPOSIT,Loan-to-Deposit,Estrutura,%,111.1735,99.92,110.0556,112.0915,112.0915
PL_ATIVOS,PL/Ativos,Estrutura,%,8.8208,8.6647,8.1634,7.9965,7.9965
