codigo,nome,categoria,unidade,2020,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,1.8481,3.6364,1.4525,4.6027,11.3883,105.2,156.65
P_VPA,P/VPA,Valuation,x,0.6308,0.5733,0.3755,0.4881,1.2302,2.6038,3.8773
EV_EBITDA,EV/EBITDA,Valuation,x,1.6871,1.3488,2.3135,2.7776,2.4655,2.3887,3.4572
EV_EBIT,EV/EBIT,Valuation,x,1.6871,1.3488,2.3135,2.7776,2.4655,2.3887,3.4572
EV_RECEITA,EV/Receita,Valuation,x,0.495,0.3526,0.5194,0.5816,0.8595,1.1151,1.6139
DY,Dividend Yield,Valuation,%,,17.7467,5.6666,5.9482,4.6449,3.6356,2.4415
PAYOUT,Payout,Valuation,%,,64.3127,10.0153,27.3347,52.9594,39.7317,39.7317
ROE,ROE,Rentabilidade,%,23.6906,15.2888,21.9135,10.3036,10.2571,27.5123,27.5123
ROA,ROA,Rentabilidade,%,13.8167,7.8906,9.6822,3.9161,2.6692,6.383,6.383
ROIC,ROIC,Rentabilidade,%,22.0763,27.7112,14.5636,14.4472,30.2401,63.2795,63.2795
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,29.3412,26.1409,22.4503,20.9396,34.8624,46.6832,46.6832
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,24.521,10.0116,16.9419,7.7807,4.6238,9.3328,9.3328
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,-0.538,-0.0391,0.9798,1.0701,0.9533,0.2039,0.2039
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,-0.1525,-0.0162,0.2758,0.3059,0.7756,0.243,0.243
ICJ,ICJ,Endividamento,x,5.4705,7.0541,3.7556,1.7771,1.3888,1.227,1.227
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,40.4469,36.8087,34.206,24.8404,18.5074,20.8969,20.8969
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.8006,1.8585,1.5368,1.9197,1.5493,1.6157,1.6157
LIQ_SECA,Liquidez Seca,Liquidez,x,1.4151,1.4727,1.2701,1.6831,1.3187,1.3721,1.3721
LIQ_GERAL,Liquidez Geral,Liquidez,x,1.1859,0.9576,0.7057,0.7144,0.5476,0.5834,0.5834
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.5635,0.7262,0.5347,0.4652,0.4816,0.5761,0.5761
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,-10.9398,18.3859,11.8713,-40.2988,-37.406,-40.0038,-40.0038
PME,PME,Eficiência,dias,94.5803,80.6158,58.5055,56.1394,69.8405,71.9164,71.9164
NCG_RECEITA,NCG/Receita,Eficiência,%,2.3197,5.0174,8.0237,6.3089,-9.6391,-8.2459,-8.2459
