codigo,nome,categoria,unidade,2018,2019,2020,2021,2022,2023,2024,2025,LTM
VALOR_MERCADO,Valor de Mercado,Valuation,R$ mil,387135.84,387135.84,1104289.12,575415.02,267610.29,521469.86,266552.55,396655.58,387135.84
P_L,P/L,Valuation,x,23.7405,12.0995,22.4984,21.0128,7.19,5.4952,3.8285,5.3632,5.2345
P_VPA,P/VPA,Valuation,x,9.604,6.1135,1.0961,0.5783,0.2665,0.5082,0.2558,0.3821,0.3729
EV_EBITDA,EV/EBITDA,Valuation,x,22.9217,11.2749,9.2322,9.4189,9.8575,8.7187,6.9424,8.7339,8.6418
EV_EBIT,EV/EBIT,Valuation,x,22.9217,11.2749,10.0701,10.5902,10.9251,9.3957,7.6638,10.3515,10.2424
EV_RECEITA,EV/Receita,Valuation,x,3.1904,1.5254,0.9321,0.7469,0.7102,1.0572,0.5565,0.8275,0.8188
DY,Dividend Yield,Valuation,%,13.8194,13.8194,4.8447,9.2976,19.9917,10.2594,20.071,13.4877,13.8194
PAYOUT,Payout,Valuation,%,328.0784,167.2076,108.9985,195.3686,143.7392,56.3772,76.8409,72.337,72.337
ROE,ROE,Rentabilidade,%,40.454,61.7475,9.1679,2.7352,3.7239,9.3482,6.7328,7.1273,7.1273
ROA,ROA,Rentabilidade,%,6.0111,9.5894,5.7165,1.8845,2.0416,4.4906,3.1897,3.3955,3.3955
ROIC,ROIC,Rentabilidade,%,10.4169,18.3343,8.7699,3.1498,2.5523,4.6355,3.9477,3.7277,3.7277
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,13.9187,13.5289,10.0965,7.9293,7.2042,12.1253,8.0156,9.4746,9.4746
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,10.8542,10.26,11.935,4.7708,4.9062,10.2436,5.9032,6.7773,6.7773
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,4.4082,2.0989,-17.3631,-3.2237,4.9609,4.0763,4.1229,4.8976,4.8976
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,2.2868,1.3984,-0.7156,-0.1475,0.27,0.4462,0.3741,0.4878,0.4878
ICJ,ICJ,Endividamento,x,8.5212,6.1699,9.7608,1.5823,1.8672,5.3325,6.1883,14.0978,14.0978
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,9.7264,85.8216,58.607,84.4416,36.8279,46.4753,59.2871,53.7447,53.7447
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,3.2858,1.3533,5.0946,3.2699,2.8364,2.6267,2.2651,2.3192,2.3192
LIQ_SECA,Liquidez Seca,Liquidez,x,1.8547,1.0031,4.3771,1.5495,1.2698,1.3276,1.2292,1.1926,1.1926
LIQ_GERAL,Liquidez Geral,Liquidez,x,1.1505,1.1387,4.1559,2.6444,1.9085,1.8233,1.8261,1.7522,1.7522
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.5538,0.7874,0.3113,0.3621,0.3681,0.4278,0.536,0.4843,0.4843
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,619.9004,316.0477,317.3609,763.3204,719.7606,600.2785,466.5555,585.2543,585.2543
PME,PME,Eficiência,dias,383.0433,132.3864,202.2477,608.3141,552.9044,397.7346,312.506,370.9242,370.9242
NCG_RECEITA,NCG/Receita,Eficiência,%,102.5367,48.1414,31.7773,118.4771,121.6692,122.3322,92.1776,110.3145,110.3145
