cd_conta_padrao,ds_conta_padrao,2015-T4,2016-T4,2017-T4,2018-T4,2019-T4,2020-T4,2021-T4,2022-T1,2022-T2,2022-T3,2022-T4,2023-T1,2023-T2,2023-T3,2023-T4,2024-T1,2024-T2,2024-T3,2024-T4,2025-T1
2,Passivo Total,13746849.0,13667381.0,14183834.0,15308862.0,17058749.0,25496999.0,31751760.0,38346245.0,38155309.0,40083910.0,41360888.0,42770349.0,46415952.0,48046232.0,49960107.0,50335324.0,53716835.0,56786394.0,62504412.0,70727409.0
2.01,Passivo Circulante,0.0,0.0,10973197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.01.01,Obrigações Sociais e Trabalhistas,,,,,,,,,,,,,,,,,,,,
2.01.02,Fornecedores,,,,,,,,,,,,,,,,,,,,
2.01.03,Obrigações Fiscais,,,,,,,,,,,,,,,,,,,,
2.01.04,Empréstimos e Financiamentos,,,,,,,,,,,,,,,,,,,,
2.01.05,Outras Obrigações,,,,,,,,,,,,,,,,,,,,
2.01.06,Provisões,,,,,,,,,,,,,,,,,,,,
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,,,,,,,,,,,,,,,,,,,,
2.02,Passivo Não Circulante,0.0,0.0,0.0,0.0,0.0,0.0,25586460.0,32597650.0,32233803.0,34084775.0,35538764.0,36846293.0,40571843.0,42141687.0,43764236.0,44078943.0,47082428.0,49720235.0,53912829.0,61608520.0
2.02.01,Empréstimos e Financiamentos,,,,,,0.0,19035428.0,26745928.0,26446953.0,27211425.0,28149832.0,28528638.0,31823654.0,32074760.0,33489268.0,34334583.0,36577592.0,37784344.0,40610625.0,46545860.0
2.02.02,Outras Obrigações,,,,,,0.0,1335234.0,690560.0,1012960.0,1511617.0,1732155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02.03,Tributos Diferidos,,,,,,0.0,597466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02.04,Provisões,,,,,,0.0,4618332.0,5161162.0,4773890.0,5361733.0,5656777.0,8317655.0,8748189.0,10066927.0,10274968.0,9744360.0,10504836.0,11935891.0,13302204.0,15062660.0
2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,,,,,,,,,,,,,,,,,,,,
2.02.06,Lucros e Receitas a Apropriar,,,,,,,,,,,,,,,,,,,,
2.03,Patrimônio Líquido Consolidado,10754803.0,10641097.0,0.0,11818051.0,12949947.0,21226204.0,686843.0,703472.0,706542.0,706310.0,711458.0,710296.0,728200.0,735385.0,747503.0,769830.0,778164.0,785876.0,787558.0,809923.0
2.03.01,Capital Social Realizado,,,,10772510.0,11995328.0,17005907.0,,,,,,,,,,,,,,
2.03.02,Reservas de Capital,,,,666243.0,621661.0,766193.0,,,,,,,,,,,,,,
2.03.03,Reservas de Reavaliação,,,,379298.0,332958.0,2825157.0,,,,,,,,,,,,,,
2.03.04,Reservas de Lucros,,,,,,628947.0,,,,,,,,,,,,,,
2.03.05,Lucros/Prejuízos Acumulados,,,,,,,,,,,,,,,,,,,,
2.03.06,Ajustes de Avaliação Patrimonial,,,,,,,,,,,,,,,,,,,,
2.03.07,Ajustes Acumulados de Conversão,,,,,,,,,,,,,,,,,,,,
2.03.08,Outros Resultados Abrangentes,,,,,,,,,,,,,,,,,,,,
2.03.09,Participação dos Acionistas Não Controladores,,,,,,,,,,,,,,,,,,,,
