cd_conta,ds_conta,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receitas de Intermediação Financeira,968584.0,1205291.0,1278861.0,1331863.0,1232085.0,1256828.0,1356711.0,1285055.0,1227048.0,1175328.0,1107086.0,1116800.0,1223205.0,1324089.0,1453270.0
3.02,Despesas de Intermediação Financeira,-682825.0,-905363.0,-994055.0,-956010.0,-912546.0,-891126.0,-977552.0,-905173.0,-880537.0,-802246.0,-730847.0,-733294.0,-863385.0,-939088.0,-1052883.0
3.03,Resultado Bruto de Intermediação Financeira,285759.0,299928.0,284806.0,375853.0,319539.0,365702.0,379159.0,379882.0,346511.0,373082.0,376239.0,383506.0,359820.0,385001.0,400387.0
3.04,Outras Despesas e Receitas Operacionais,-166521.0,-134633.0,-179774.0,-256328.0,-261750.0,-198213.0,-244009.0,-307581.0,-250879.0,-230272.0,-155855.0,-246765.0,-171999.0,-431786.0,-241831.0
3.05,Resultado antes dos Tributos sobre o Lucro,119238.0,165295.0,105032.0,119525.0,57789.0,167489.0,135150.0,72301.0,95632.0,142810.0,220384.0,136741.0,187821.0,-46785.0,158556.0
3.06,Imposto de Renda e Contribuição Social sobre o Lucro,-47454.0,-50571.0,-33514.0,-31755.0,-12798.0,-44128.0,-47362.0,-4638.0,-28008.0,-35547.0,-83508.0,-19870.0,-76166.0,53923.0,-52584.0
3.07,Lucro ou Prejuízo das Operações Continuadas,71784.0,114724.0,71518.0,87770.0,44991.0,123361.0,87788.0,67663.0,67624.0,107263.0,136876.0,116871.0,111655.0,7138.0,105972.0
3.08,Resultado Líquido das Operações Descontinuadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.09,Lucro ou Prejuízo antes das Participações e Contribuições Estatutárias,71784.0,114724.0,71518.0,87770.0,44991.0,123361.0,87788.0,67663.0,67624.0,107263.0,136876.0,116871.0,111655.0,7138.0,105972.0
3.10,Participações nos Lucros e Contribuições Estatutárias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.11,Lucro ou Prejuízo Líquido Consolidado do Período,71784.0,114724.0,71518.0,87770.0,44991.0,123361.0,87788.0,67663.0,67624.0,107263.0,136876.0,116871.0,111655.0,7138.0,105972.0
3.99,Lucro por Ação (Reais/Ação),0.22723,0.36315,0.2264,0.27782,0.14241,0.5329,0.2779,0.07179,0.21406,0.554,0.4333,0.15544,0.35344,0.0326,0.305
