codigo,nome,categoria,unidade,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,3.5904,7.1904,5.2329,7.1757,7.1757
P_VPA,P/VPA,Valuation,x,0.6232,1.0978,0.9695,1.0015,1.0015
DY,Dividend Yield,Valuation,%,244.4606,184.2374,230.0972,237.7552,237.7552
PAYOUT,Payout,Valuation,%,877.7052,1324.7436,1204.0661,1706.0641,1706.0641
ROE,ROE,Rentabilidade,%,17.3577,15.7454,19.3324,14.4681,14.4681
ROA,ROA,Rentabilidade,%,0.9389,0.8277,1.0944,0.8919,0.8919
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,7.2273,6.3111,9.2652,6.676,6.676
NIM,NIM,Rentabilidade,%,4.0172,4.174,4.2702,5.5951,5.5951
INDICE_COBERTURA,Índice de Cobertura,Qualidade Ativos,%,,,,,
INDICE_EFICIENCIA,Índice de Eficiência,Eficiência,%,59.1534,70.0385,59.741,71.4575,71.4575
LOAN_DEPOSIT,Loan-to-Deposit,Estrutura,%,37.5302,40.3687,49.4034,51.2389,51.2389
PL_ATIVOS,PL/Ativos,Estrutura,%,5.4089,5.1211,6.2669,6.2551,6.2551
