codigo,nome,categoria,unidade,2019,2020,2021,2022,2023,2024,2025,LTM
VALOR_MERCADO,Valor de Mercado,Valuation,R$ mil,2804434.88,1158131.52,508597.44,659746.88,1989453.44,1629168.99,3356210.46,2799560.73
P_L,P/L,Valuation,x,31.5385,8.7602,3.765,4.9767,7.1843,4.1713,8.7777,7.3219
P_VPA,P/VPA,Valuation,x,29.236,5.0322,1.6033,1.6131,3.0791,1.7793,3.1013,2.5869
EV_EBITDA,EV/EBITDA,Valuation,x,24.6239,7.1672,3.7894,5.2234,6.0308,3.1355,7.123,5.9672
EV_EBIT,EV/EBIT,Valuation,x,28.6898,8.2693,3.8055,5.2666,6.0885,3.1637,7.4274,6.2222
EV_RECEITA,EV/Receita,Valuation,x,4.2781,1.3814,0.4902,0.5713,0.9419,0.547,1.1916,0.9982
DY,Dividend Yield,Valuation,%,10.9166,26.4346,60.1945,46.4038,15.3885,18.759,9.106,10.9166
PAYOUT,Payout,Valuation,%,344.2918,231.5722,226.635,230.9398,110.5566,78.2496,79.9296,79.9296
ROE,ROE,Rentabilidade,%,92.6994,81.0898,49.3577,36.5093,52.491,50.016,38.3941,38.3941
ROA,ROA,Rentabilidade,%,12.8214,15.9775,12.1159,9.1736,15.1293,16.9068,12.1433,12.1433
ROIC,ROIC,Rentabilidade,%,37.4278,31.3749,25.0292,17.754,34.781,42.0366,26.3592,26.3592
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,17.3739,19.2742,12.9365,10.9376,15.6177,17.4465,16.7284,16.7284
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,13.182,14.6738,10.626,8.8839,13.3645,15.0832,13.2811,13.2811
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,0.695,0.4979,0.6968,1.1811,-0.117,-0.4708,0.1542,0.1542
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.8492,0.3757,0.3613,0.4714,-0.0586,-0.2323,0.0686,0.0686
ICJ,ICJ,Endividamento,x,15.9438,32.0368,17.6542,6.6439,9.7474,5.714,3.8649,3.8649
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,13.2023,0.0409,14.7284,22.2362,34.7602,5.1273,17.3257,17.3257
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,5.0487,5.9153,4.7799,3.437,2.6338,3.6987,3.7016,3.7016
LIQ_SECA,Liquidez Seca,Liquidez,x,2.0128,5.9153,4.7799,3.437,2.6338,3.6987,3.7016,3.7016
LIQ_GERAL,Liquidez Geral,Liquidez,x,1.1468,1.3072,1.3197,1.321,1.4467,1.5231,1.3748,1.3748
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.9726,0.9372,1.0022,0.9202,1.0162,1.0032,0.7521,0.7521
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,357.4534,28.1525,14.3902,1.7064,7.818,30.3711,42.2247,42.2247
PME,PME,Eficiência,dias,322.8235,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCG_RECEITA,NCG/Receita,Eficiência,%,59.5253,60.8526,52.953,54.3103,37.8145,32.0599,56.2921,56.2921
