codigo,nome,categoria,unidade,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,LTM
VALOR_MERCADO,Valor de Mercado,Valuation,R$ mil,155768572.49,153246750.34,184524805.02,175722940.38,234574437.88,175044645.73,218246086.17,187769172.59,193255160.76,191724151.07,190825230.34,172117095.22,180628380.14,219086778.71
P_L,P/L,Valuation,x,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_VPA,P/VPA,Valuation,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EV_EBITDA,EV/EBITDA,Valuation,x,,-0.3881,-0.4198,-0.1154,-0.3382,-0.3771,-0.3598,-0.5453,-0.57,-0.4058,-0.4069,-0.7579,-0.4578,-0.4578
EV_EBIT,EV/EBIT,Valuation,x,,-0.4931,-0.545,-0.1616,-0.4757,-0.5329,-0.5515,-0.8788,-0.9102,-0.6575,-0.6884,-1.21,-0.7081,-0.7081
EV_RECEITA,EV/Receita,Valuation,x,,-0.2052,-0.2191,-0.0606,-0.1631,-0.1802,-0.1683,-0.2398,-0.212,-0.1457,-0.161,-0.295,-0.1873,-0.1873
DY,Dividend Yield,Valuation,%,,9.1949,5.0055,5.7405,3.6284,4.9524,3.5431,3.4727,5.5484,6.2669,6.0313,6.1136,9.1754,7.5647
PAYOUT,Payout,Valuation,%,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROE,ROE,Rentabilidade,%,,28.2102,27.4088,26.9803,16.5913,21.5624,20.2964,17.0389,16.4889,17.7971,18.3034,16.5219,17.2051,17.2051
ROA,ROA,Rentabilidade,%,,17.5575,15.8689,15.0369,9.1984,12.5733,12.4454,10.3392,9.9489,10.7689,11.0572,10.0605,11.4452,11.4452
ROIC,ROIC,Rentabilidade,%,,29.1833,30.914,25.716,26.9848,23.1242,19.7281,17.1914,16.3273,16.251,18.2832,19.662,20.8423,20.8423
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,,52.8683,52.1939,52.4961,48.2303,47.8044,46.7757,43.9683,37.1847,35.8977,39.5644,38.9178,40.9149,40.9149
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,,32.4635,27.5666,28.69,16.3896,22.6501,23.1719,20.0961,18.0121,18.6821,18.7623,16.5976,18.2198,18.2198
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,,-0.3881,-0.4198,-0.1154,-0.3382,-0.3771,-0.3598,-0.5453,-0.57,-0.4058,-0.4069,-0.7579,-0.4578,-0.4578
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,-0.1973,-0.179,-0.2034,-0.0592,-0.1628,-0.1573,-0.1415,-0.1863,-0.1838,-0.1393,-0.1602,-0.265,-0.1828,-0.1828
ICJ,ICJ,Endividamento,x,,5.982,5.2721,3.7191,3.8478,3.7241,3.3806,2.9332,3.1255,2.2375,2.969,4.4288,3.7016,3.7016
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,35.9566,37.6743,35.6322,67.2794,51.7468,64.4152,21.3252,57.1503,27.3218,26.058,37.077,36.9676,36.2456,36.2456
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.1915,0.9498,0.9394,0.8302,0.8616,1.0202,1.1044,1.0557,0.9938,0.9328,0.8917,1.0965,1.1466,1.1466
LIQ_SECA,Liquidez Seca,Liquidez,x,1.0287,0.7935,0.7954,0.6791,0.7111,0.8026,0.8653,0.8285,0.7108,0.614,0.6571,0.8598,0.8603,0.8603
LIQ_GERAL,Liquidez Geral,Liquidez,x,0.9918,0.8809,0.8603,0.7698,0.8159,0.9201,0.9581,1.0488,1.0621,1.0572,1.0987,1.1929,1.3056,1.3056
GIRO_ATIVO,Giro do Ativo,Eficiência,x,,0.5278,0.5181,0.5439,0.5515,0.5337,0.517,0.4663,0.5256,0.5778,0.6011,0.5505,0.6427,0.6427
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,,-120.1871,-119.6652,-83.0703,-84.5425,-102.7635,-105.4109,-114.1362,-106.224,-70.023,-80.9065,-76.7304,-42.6066,-42.6066
PME,PME,Eficiência,dias,,95.8331,97.2359,93.8327,86.1794,100.9177,99.2834,101.1644,111.0531,115.0928,88.1321,96.4876,86.3948,86.3948
NCG_RECEITA,NCG/Receita,Eficiência,%,,-27.6875,-30.7793,-20.6476,-27.173,-18.7433,-16.4487,-24.3014,-24.6169,-21.4809,-24.4303,-26.5998,-14.8432,-14.8432
