codigo,nome,categoria,unidade,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,LTM
VALOR_MERCADO,Valor de Mercado,Valuation,R$ mil,690506.74,1245555.22,802837.98,1390925.06,1979012.14,3449229.84,5220098.8,3280732.98,6459046.3,36425056.5,35681688.0,36627913.5,47760600.16,36215591.78,30666428.52,42932999.93
P_L,P/L,Valuation,x,2.5129,11.8788,7.9501,2.775,1.7589,7.6437,10.1825,6.4415,8.1891,73.5068,46.6957,36.0878,43.9322,29.8963,22.5491,31.5687
P_VPA,P/VPA,Valuation,x,0.3137,0.55,0.345,,0.7449,1.1748,1.606,0.9281,1.5845,8.2305,7.5616,6.7793,7.9227,5.6175,4.3751,6.1251
EV_EBITDA,EV/EBITDA,Valuation,x,1.6116,7.9114,5.3778,1.8918,1.2122,5.0834,7.0228,5.3808,6.5145,40.61,26.9532,20.9383,24.263,16.5664,13.155,17.9848
EV_EBIT,EV/EBIT,Valuation,x,1.6116,7.9114,5.3778,1.8918,1.2122,5.0834,7.0228,5.3808,6.5145,40.61,26.9532,20.9383,24.263,16.5664,13.155,17.9848
EV_RECEITA,EV/Receita,Valuation,x,0.047,0.2362,0.1293,0.0884,0.0666,0.3186,0.4213,0.2623,0.4148,1.8537,1.5265,1.3249,1.4858,1.0024,0.7909,1.0813
DY,Dividend Yield,Valuation,%,21.5073,11.9231,18.498,10.677,7.5042,4.3056,2.8449,4.5267,2.2992,2.0386,2.081,2.1084,1.6169,2.1324,2.5182,1.7987
PAYOUT,Payout,Valuation,%,54.0458,141.6329,147.0606,29.6289,13.1989,32.9105,28.9688,29.1587,18.8288,149.8479,97.1749,76.0859,71.0346,63.7498,56.7835,56.7835
ROE,ROE,Rentabilidade,%,12.4835,4.6959,4.3986,,42.3504,16.137,16.5737,15.0126,20.7257,11.6568,16.7125,20.0552,19.0206,19.4205,20.4118,20.4118
ROA,ROA,Rentabilidade,%,8.6729,3.2221,2.9043,,23.9437,8.7127,8.4571,7.3727,8.0482,3.8006,5.3429,6.3513,5.8324,5.7332,5.9412,5.9412
ROIC,ROIC,Rentabilidade,%,10.3795,4.6296,4.2444,,40.7124,15.1517,14.545,11.5125,15.0538,11.6288,15.3696,16.6585,15.6988,16.8791,17.186,17.186
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,2.9148,2.9852,2.4039,4.6704,5.4927,6.2678,5.9987,4.8746,6.3674,4.5647,5.6637,6.3278,6.1238,6.051,6.0125,6.0125
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,2.5169,1.9487,1.6202,3.184,3.7284,4.0088,3.8801,3.441,4.4902,2.4694,3.1671,3.4918,3.1999,3.1164,3.2195,3.2195
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,-0.5583,0.1569,0.0196,0.0,0.0183,0.1947,0.4367,0.8338,0.7396,0.844,0.8409,1.0245,1.3066,1.1693,1.0805,1.0805
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,-0.0807,0.0111,0.0013,,0.0114,0.0468,0.1065,0.1702,0.2029,0.1747,0.2435,0.3488,0.4509,0.4266,0.3915,0.3915
ICJ,ICJ,Endividamento,x,7.3671,8.4977,7.3774,3.5714,3.2927,3.2106,3.7224,4.6719,2.7197,2.589,2.9756,1.9574,1.6096,1.7073,1.5426,1.5426
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,31.0055,31.5925,34.2873,,36.5035,32.0269,32.1213,32.3713,20.2988,32.1269,40.7801,8.0398,19.312,19.3419,15.9171,15.9171
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,2.0548,1.9621,1.8662,,1.629,1.569,1.5752,1.5548,1.4113,1.4622,1.3091,1.5041,1.431,1.3816,1.3933,1.3933
LIQ_SECA,Liquidez Seca,Liquidez,x,1.0248,0.8346,0.7558,,0.628,0.5851,0.5657,0.4951,0.467,0.5822,0.4412,0.542,0.5402,0.4672,0.5324,0.5324
LIQ_GERAL,Liquidez Geral,Liquidez,x,1.7266,1.5952,1.4971,,1.3368,1.2773,1.2437,1.2058,0.7573,0.8025,0.7914,0.8375,0.8691,0.8624,0.8715,0.8715
GIRO_ATIVO,Giro do Ativo,Eficiência,x,3.4459,1.6109,1.7246,,6.4219,1.989,2.0439,2.0133,1.4341,1.4512,1.6329,1.6914,1.6907,1.7538,1.7729,1.7729
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,24.572,67.111,64.6405,0.0,16.013,52.8508,55.9769,59.4996,64.2551,60.9915,60.9428,64.9175,68.9839,63.3714,63.5504,63.5504
PME,PME,Eficiência,dias,36.4647,90.1274,90.3537,0.0,28.2836,99.8151,98.2528,107.3221,112.1107,107.3066,108.884,108.8651,109.0224,110.8074,102.4925,102.4925
NCG_RECEITA,NCG/Receita,Eficiência,%,4.9912,13.4617,11.6419,,2.9134,9.7636,10.3372,11.1324,9.1485,9.319,8.6229,10.1926,10.8156,9.2668,9.1528,9.1528
