codigo,nome,categoria,unidade,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,7.629,5.8605,5.1847,,75.0664,47.3767,35.2653,44.5741,28.9748,19.8572,26.8989
P_VPA,P/VPA,Valuation,x,1.1748,1.606,0.9281,1.5845,8.2305,7.5616,6.7793,7.9227,5.6175,0.4796,0.6496
EV_EBITDA,EV/EBITDA,Valuation,x,5.0834,7.0228,5.3808,6.5145,40.61,26.9532,20.9383,24.263,16.5664,2.404,2.8734
EV_EBIT,EV/EBIT,Valuation,x,5.0834,7.0228,5.3808,6.5145,40.61,26.9532,20.9383,24.263,16.5664,2.404,2.8734
EV_RECEITA,EV/Receita,Valuation,x,0.3186,0.4213,0.2623,0.4148,1.8537,1.5265,1.3249,1.4858,1.0024,0.1445,0.1728
DY,Dividend Yield,Valuation,%,3.2273,2.2158,3.6513,1.8704,0.2125,0.1172,0.1309,0.1216,0.1758,2.2812,1.684
PAYOUT,Payout,Valuation,%,24.6682,22.5623,23.52,15.3166,15.6194,5.4736,4.7239,5.3422,5.2561,5.6386,5.6386
ROE,ROE,Rentabilidade,%,15.3699,16.5737,15.0126,20.7257,11.6568,16.7125,20.0552,19.0206,19.4205,20.4118,20.4118
ROA,ROA,Rentabilidade,%,7.9736,8.4571,7.3727,8.0482,3.8006,5.3429,6.3513,5.8324,5.7332,5.9412,5.9412
ROIC,ROIC,Rentabilidade,%,15.1517,14.545,11.5125,15.0538,11.6288,15.3696,16.6585,15.6988,16.8791,17.186,17.186
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,6.2678,5.9987,4.8746,6.3674,4.5647,5.6637,6.3278,6.1238,6.051,6.0125,6.0125
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,4.0088,3.8801,3.441,4.4902,2.4694,3.1671,3.4918,3.1999,3.1164,3.2195,3.2195
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,0.1947,0.4367,0.8338,0.7396,0.844,0.8409,1.0245,1.3066,1.1693,1.0805,1.0805
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.0468,0.1065,0.1702,0.2029,0.1747,0.2435,0.3488,0.4509,0.4266,0.3915,0.3915
ICJ,ICJ,Endividamento,x,3.2106,3.7224,4.6719,2.7197,2.589,2.9756,1.9574,1.6096,1.7073,1.5426,1.5426
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,32.0269,32.1213,32.3713,20.2988,32.1269,40.7801,8.0398,19.312,19.3419,15.9171,15.9171
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.569,1.5752,1.5548,1.4113,1.4622,1.3091,1.5041,1.431,1.3816,1.3933,1.3933
LIQ_SECA,Liquidez Seca,Liquidez,x,0.5851,0.5657,0.4951,0.467,0.5822,0.4412,0.542,0.5402,0.4672,0.5324,0.5324
LIQ_GERAL,Liquidez Geral,Liquidez,x,1.2773,1.2437,1.2058,0.7573,0.8025,0.7914,0.8375,0.8691,0.8624,0.8715,0.8715
GIRO_ATIVO,Giro do Ativo,Eficiência,x,1.989,2.0439,2.0133,1.4341,1.4512,1.6329,1.6914,1.6907,1.7538,1.7729,1.7729
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,52.8508,55.9769,59.4996,64.2551,60.9915,60.9428,64.9175,68.9839,63.3714,63.5504,63.5504
PME,PME,Eficiência,dias,99.8151,98.2528,107.3221,112.1107,107.3066,108.884,108.8651,109.0224,110.8074,102.4925,102.4925
NCG_RECEITA,NCG/Receita,Eficiência,%,9.7636,10.3372,11.1324,9.1485,9.319,8.6229,10.1926,10.8156,9.2668,9.1528,9.1528
