codigo,nome,categoria,unidade,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,3.9817,4.6131,5.8441,4.2261,4.2261
P_VPA,P/VPA,Valuation,x,0.3523,0.4734,0.4082,0.4837,0.4837
DY,Dividend Yield,Valuation,%,23.3354,15.7504,18.3875,13.642,13.642
PAYOUT,Payout,Valuation,%,92.9154,72.6588,107.4586,57.6529,57.6529
ROE,ROE,Rentabilidade,%,8.8468,10.445,7.1759,11.8863,11.8863
ROA,ROA,Rentabilidade,%,0.741,0.8461,0.532,0.8436,0.8436
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,6.4705,6.7927,4.4323,6.1409,6.1409
NIM,NIM,Rentabilidade,%,3.7864,4.2273,4.3459,4.3656,4.3656
INDICE_COBERTURA,Índice de Cobertura,Qualidade Ativos,%,4.579,4.0903,4.1065,5.0916,5.0916
INDICE_EFICIENCIA,Índice de Eficiência,Eficiência,%,80.7583,74.5126,86.2304,73.9214,73.9214
LOAN_DEPOSIT,Loan-to-Deposit,Estrutura,%,72.8593,75.5654,70.4706,67.0644,67.0644
PL_ATIVOS,PL/Ativos,Estrutura,%,8.3761,7.8507,7.0427,6.9901,6.9901
