cd_conta_padrao,ds_conta_padrao,2015-T4,2016-T4,2017-T4,2018-T4,2019-T4,2020-T4,2021-T4,2022-T1,2022-T2,2022-T3,2022-T4,2023-T1,2023-T2,2023-T3,2023-T4,2024-T1,2024-T2,2024-T3,2024-T4,2025-T1,2025-T2,2025-T3
2,Passivo Total,68103613.0,70154958.0,74367489.0,78336413.0,82539500.0,92582439.0,105768675.0,105300421.0,111156358.0,114786159.0,113659790.0,114117818.0,117295481.0,124169866.0,125667007.0,129833876.0,137934328.0,142407743.0,147936515.0,151511198.0,156338226.0,158835626.0
2.01,Passivo Circulante,0.0,0.0,0.0,0.0,0.0,2979631.0,4825958.0,1749800.0,1822515.0,1761044.0,1840679.0,1757956.0,1835597.0,1759541.0,1467921.0,1499757.0,1683336.0,1645174.0,1880714.0,1725082.0,1664457.0,1608111.0
2.01.01,Obrigações Sociais e Trabalhistas,,,,,,2979631.0,4689788.0,1203295.0,1252473.0,1170587.0,1170381.0,1145631.0,1082004.0,1104626.0,1450685.0,1491144.0,1683336.0,1645174.0,1880714.0,1723364.0,1663277.0,1607666.0
2.01.02,Fornecedores,,,,,,0.0,136170.0,546505.0,570042.0,590457.0,670298.0,612325.0,753593.0,654915.0,17236.0,8613.0,0.0,0.0,0.0,1718.0,1180.0,445.0
2.01.03,Obrigações Fiscais,,,,,,,,,,,,,,,,,,,,,,
2.01.04,Empréstimos e Financiamentos,,,,,,,,,,,,,,,,,,,,,,
2.01.05,Outras Obrigações,,,,,,,,,,,,,,,,,,,,,,
2.01.06,Provisões,,,,,,,,,,,,,,,,,,,,,,
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,,,,,,,,,,,,,,,,,,,,,,
2.02,Passivo Não Circulante,2149595.0,2430943.0,2299307.0,2178840.0,2301048.0,76605927.0,86971510.0,89381991.0,94549968.0,97939827.0,97036826.0,97382420.0,100016610.0,106588305.0,109187057.0,113014450.0,120414567.0,123988264.0,130152404.0,133891637.0,138245847.0,140014585.0
2.02.01,Empréstimos e Financiamentos,,,,26809.0,0.0,62446503.0,64277380.0,62893936.0,64625034.0,66546756.0,67615882.0,66759565.0,67829187.0,68555722.0,71131132.0,71875313.0,85066882.0,85041911.0,88194890.0,88421129.0,92711902.0,95582159.0
2.02.02,Outras Obrigações,,,,2152031.0,2301048.0,4362437.0,10721736.0,13760775.0,15483400.0,14403990.0,12421035.0,12471179.0,13845567.0,18495891.0,16773360.0,18345161.0,18363594.0,21370422.0,22238994.0,25460841.0,23698954.0,23055660.0
2.02.03,Tributos Diferidos,,,,,,2440535.0,1738001.0,1835551.0,2193752.0,2653648.0,2957083.0,3406964.0,3770898.0,4693672.0,6213993.0,6576123.0,6433062.0,6471198.0,6936464.0,7921071.0,9286453.0,8505307.0
2.02.04,Provisões,,,,,,7356452.0,10234393.0,10891729.0,12247782.0,14335433.0,14042826.0,14744712.0,14570958.0,14843020.0,15068572.0,16217853.0,10551029.0,11104733.0,12782056.0,12088596.0,12548538.0,12871459.0
2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,,,,,,,,,,,,,,,,,,,,,,
2.02.06,Lucros e Receitas a Apropriar,,,,,,,,,,,,,,,,,,,,,,
2.03,Patrimônio Líquido Consolidado,57002458.0,57872881.0,61194114.0,64797122.0,67926551.0,2012954.0,2315530.0,2443075.0,2641975.0,2654739.0,2631798.0,2644670.0,2638189.0,2653738.0,2668103.0,2716516.0,2784340.0,2796895.0,2902896.0,2970094.0,3000471.0,3050749.0
2.03.01,Capital Social Realizado,38698329.0,42539665.0,47084589.0,50864110.0,53640084.0,,,,,,2631798.0,2644670.0,2638189.0,2653738.0,2668103.0,2716516.0,2784340.0,2796895.0,2902896.0,2970094.0,3000471.0,3050749.0
2.03.02,Reservas de Capital,7188736.0,5453373.0,4852616.0,3928602.0,3391443.0,,,,,,,,,,,,,,,,,
2.03.03,Reservas de Reavaliação,2348769.0,1978938.0,2037848.0,2840001.0,3560166.0,,,,,,,,,,,,,,,,,
2.03.04,Reservas de Lucros,2879395.0,2620589.0,2221470.0,1751959.0,1551223.0,,,,,,,,,,,,,,,,,
2.03.05,Lucros/Prejuízos Acumulados,1635638.0,953917.0,716702.0,862788.0,708929.0,,,,,,,,,,,,,,,,,
2.03.06,Ajustes de Avaliação Patrimonial,4251591.0,4326399.0,4280889.0,4549662.0,5074706.0,,,,,,,,,,,,,,,,,
2.03.07,Ajustes Acumulados de Conversão,,,,,,,,,,,,,,,,,,,,,,
2.03.08,Outros Resultados Abrangentes,,,,,,,,,,,,,,,,,,,,,,
2.03.09,Participação dos Acionistas Não Controladores,,,,,,,,,,,,,,,,,,,,,,
