cd_conta,conta,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,751271.000,763293.000,735273.000,748484.000,735762.000,729372.000,729161.000,730720.000,770830.000,759215.000,793944.000,809969.000,828382.000,790380.000,807652.000,867511.000,1017840.000,1002152.000,913039.000,896654.000,855002.000,852819.000,820751.000,848551.000,883293.000,885410.000,920309.000,975079.000,1179599.000,1302468.000,1291249.000,1311018.000,1357614.000,1473756.000,1515091.000,1933623.000,2044368.000,2141679.000,2175976.000,2859944.000,3428318.000,3569024.000,3629165.000,3493235.000,3345263.000,3481818.000,3368958.000,3332824.000,3508075.000,3462664.000,3282201.000,3341289.000,3605082.000,3855177.000,3939557.000,3971666.000,3837002.000,3825853.000
1.01,Ativo Circulante,251014.000,261359.000,224299.000,240428.000,219156.000,209397.000,275510.000,259618.000,271559.000,270940.000,223383.000,234066.000,238087.000,188585.000,189752.000,211649.000,448837.000,423585.000,325211.000,299277.000,264879.000,275033.000,253234.000,159375.000,171102.000,183440.000,209348.000,240181.000,372279.000,396733.000,401030.000,415852.000,440827.000,464277.000,479155.000,556473.000,642464.000,662289.000,734075.000,1216497.000,1761206.000,1940569.000,1782404.000,1789857.000,1588564.000,1451774.000,1275791.000,1361363.000,1349500.000,1267924.000,1096135.000,1219715.000,1099490.000,1155166.000,1096290.000,1253482.000,1177848.000,1188400.000
1.01.01,Caixa e Equivalentes de Caixa,135615.000,121732.000,88298.000,99701.000,67464.000,53824.000,44574.000,79157.000,75694.000,111007.000,63519.000,44192.000,86745.000,28556.000,21883.000,34667.000,75620.000,124334.000,119443.000,90922.000,54204.000,52326.000,39593.000,18607.000,43798.000,27012.000,21422.000,16780.000,104314.000,67834.000,66244.000,54998.000,106627.000,112461.000,89609.000,72701.000,171045.000,224169.000,163821.000,387163.000,1059107.000,1192776.000,899711.000,584255.000,435493.000,435841.000,294117.000,225043.000,383837.000,344635.000,196112.000,201151.000,170953.000,157836.000,28221.000,64111.000,142908.000,218884.000
1.01.02,Aplicações Financeiras,0.000,0.000,0.000,0.000,0.000,0.000,32724.000,20004.000,9244.000,11025.000,909.000,12742.000,21532.000,35940.000,18361.000,2775.000,273258.000,154596.000,66674.000,90047.000,113559.000,115048.000,97564.000,1588.000,6972.000,3733.000,1050.000,1149.000,11215.000,23673.000,10036.000,4540.000,4038.000,4041.000,3929.000,7027.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,94870.000,55668.000,26248.000,26315.000,28205.000,34820.000,23971.000,24472.000,22941.000,22918.000,19330.000,17110.000,16908.000,17338.000
1.01.03,Contas a Receber,25971.000,22471.000,22153.000,29540.000,60655.000,28098.000,72106.000,42052.000,131879.000,46660.000,41517.000,60175.000,66175.000,49346.000,44434.000,63387.000,46884.000,52265.000,45662.000,31391.000,19593.000,36420.000,27576.000,29329.000,55324.000,86746.000,76872.000,67785.000,96836.000,136226.000,116382.000,83385.000,127307.000,158578.000,139151.000,152613.000,184051.000,206630.000,227338.000,233969.000,193094.000,291808.000,325670.000,441962.000,442313.000,337105.000,282026.000,354194.000,430035.000,420563.000,330032.000,368179.000,414997.000,526833.000,425604.000,494612.000,429465.000,380380.000
1.01.04,Estoques,77479.000,87889.000,53719.000,43379.000,72558.000,73595.000,39297.000,28398.000,28805.000,60197.000,28431.000,31512.000,40210.000,40566.000,18586.000,21110.000,32225.000,28237.000,27680.000,22431.000,22413.000,23080.000,11560.000,11400.000,22658.000,22326.000,21231.000,32075.000,69622.000,55654.000,37918.000,104875.000,97068.000,90876.000,42423.000,82128.000,138778.000,127247.000,72181.000,188536.000,265859.000,234769.000,125617.000,315374.000,289899.000,341925.000,203447.000,258305.000,213684.000,290543.000,156591.000,230971.000,233542.000,287769.000,183222.000,306984.000,293518.000,350408.000
1.01.05,Ativos Biológicos,1335.000,9367.000,44348.000,58276.000,4111.000,21323.000,65699.000,66046.000,1201.000,9032.000,66115.000,63580.000,1421.000,10434.000,64786.000,68797.000,1624.000,6283.000,36511.000,29624.000,22285.000,20023.000,51679.000,81047.000,38260.000,40497.000,84060.000,118583.000,61993.000,78887.000,153525.000,152234.000,99881.000,92675.000,196614.000,203635.000,115553.000,97515.000,228269.000,350127.000,210489.000,202896.000,410845.000,371162.000,264976.000,208282.000,403720.000,368828.000,216924.000,138371.000,342437.000,295212.000,210335.000,121730.000,396633.000,338406.000,265440.000,175026.000
1.01.06,Tributos a Recuperar,4307.000,6572.000,6860.000,7605.000,9331.000,9602.000,8826.000,8920.000,7655.000,8211.000,3508.000,3961.000,3749.000,5629.000,3612.000,3534.000,5412.000,5582.000,6609.000,5185.000,7470.000,7442.000,5774.000,5878.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.07,Despesas Antecipadas,343.000,318.000,1062.000,1193.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.08,Outros Ativos Circulantes,5964.000,13010.000,7859.000,734.000,5037.000,22955.000,12284.000,15041.000,17081.000,24808.000,19384.000,17904.000,18255.000,18114.000,18090.000,17379.000,13814.000,52288.000,22632.000,29677.000,25355.000,20694.000,19488.000,11526.000,4090.000,3126.000,4713.000,3809.000,28299.000,34459.000,16925.000,15820.000,5906.000,5646.000,7429.000,38369.000,33037.000,6728.000,42466.000,56702.000,32657.000,18320.000,20561.000,77104.000,61013.000,72953.000,66233.000,128678.000,76815.000,38992.000,46992.000,99730.000,46722.000,38080.000,43280.000,32259.000,29609.000,46364.000
