cd_conta,ds_conta,2010T3,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,10752.000,30253.000,16316.000,34210.500,52105.000,30511.000,22826.000,36111.000,49396.000,33286.500,17177.000,28798.000,40419.000,38292.500,36166.000,46338.000,56510.000,23319.000,33625.000,50427.000,67229.000,32868.000,-9412.000,16817.500,43047.000,19672.000,15001.000,56970.000,98939.000,75659.000,50404.000,149288.500,248173.000,88209.000,30882.000,125166.500,219451.000,129058.000,119898.000,200366.000,280834.000,168109.000,361393.000,438277.000,515161.000,600950.000,382438.000,348692.500,314947.000,171537.000,249197.000,256904.500,264612.000,155287.000,132967.000,284403.500,435840.000,188362.000,224934.000,255788.500,286643.000
3.02,Custo dos Bens e/ou Serviços Vendidos,-7996.000,-17162.000,-3841.000,-19612.000,-35383.000,-26808.000,-19707.000,-28629.500,-37552.000,-29170.500,-20789.000,-29238.500,-37688.000,-33438.000,-29188.000,-38872.000,-48556.000,-21847.000,-20483.000,-37590.500,-54698.000,-23368.000,-3099.000,-21271.000,-39443.000,-11844.000,-7482.000,-37146.500,-66811.000,-47438.000,-16225.000,-60647.000,-105069.000,-54647.000,-12995.000,-85901.500,-158808.000,-73584.000,-77213.000,-142376.000,-207539.000,-98535.000,-132725.000,-257452.000,-382179.000,-204164.000,-184230.000,-232590.000,-280950.000,-153850.000,-181738.000,-214583.500,-247429.000,-158155.000,-114864.000,-208012.000,-301160.000,-123556.000,-170176.000,-231266.000,-292356.000
3.03,Resultado Bruto,2756.000,13091.000,12475.000,14598.500,16722.000,3703.000,3119.000,7481.500,11844.000,4116.000,-3612.000,-440.500,2731.000,4854.500,6978.000,7466.000,7954.000,1472.000,13142.000,12836.500,12531.000,9500.000,-12511.000,-4453.500,3604.000,7828.000,7519.000,19823.500,32128.000,28221.000,34179.000,88641.500,143104.000,33562.000,17887.000,39265.000,60643.000,55474.000,42685.000,57990.000,73295.000,69574.000,228668.000,180825.000,132982.000,396786.000,198208.000,116102.500,33997.000,17687.000,67459.000,42321.000,17183.000,-2868.000,18103.000,76391.500,134680.000,64806.000,54758.000,24522.500,-5713.000
3.04,Despesas/Receitas Operacionais,-4088.000,-4195.000,-11315.000,-8728.500,-6142.000,-6636.000,-6492.000,-7557.500,-8623.000,-7993.500,-7364.000,-8203.000,-9042.000,-7896.000,-6750.000,-8410.000,-10070.000,-11375.000,-6494.000,-8021.500,-9549.000,-8010.000,-7528.000,-9322.500,-11117.000,-10594.000,-7930.000,-8777.000,-9624.000,-9897.000,44126.000,16143.500,-11839.000,-8699.000,-9511.000,-11082.000,-12653.000,-13169.000,-9456.000,-12829.000,-16202.000,-22911.000,-14402.000,-11930.500,-9459.000,-23338.000,-16454.000,-18830.500,-21207.000,-25235.000,-22033.000,-27099.000,-32165.000,-26357.000,-29409.000,-32053.000,-34697.000,-33199.000,-28443.000,-30047.000,-31651.000
3.04.02,Despesas Gerais e Administrativas,-4072.000,-3651.000,-11233.000,-8486.500,-5740.000,-6207.000,-6408.000,-6540.000,-6672.000,-6694.000,-6716.000,-6673.500,-6631.000,-6633.500,-6636.000,-6856.000,-7076.000,-6336.000,-5641.000,-6366.000,-7091.000,-6820.000,-6221.000,-6837.000,-7453.000,-6221.000,-5964.000,-6794.500,-7625.000,-7165.000,-6829.000,-8573.500,-10318.000,-6765.000,-7455.000,-8320.500,-9186.000,-9822.000,-8988.000,-8448.000,-7908.000,-9303.000,-9637.000,-11707.000,-13777.000,-12215.000,-10079.000,-12206.500,-14334.000,-16710.000,-12286.000,-14042.500,-15799.000,-16259.000,-14523.000,-16345.500,-18168.000,-18807.000,-13803.000,-15195.000,-16587.000
3.04.05,Outras Despesas Operacionais,-4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-4237.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-150.000,-300.000,-217.000,-40.000,-20.000,0.000,-786.000,0.000,-1406.500,-2813.000,-8513.000,0.000,4333.500,8667.000,1105.000,0.000,316.500,633.000,1636.000,0.000,-609.000,-1218.000,-3618.000,0.000,-1466.500,-2933.000,-3741.000,0.000,-36.000,-72.000
3.04.06,Resultado de Equivalência Patrimonial,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,925.000,1850.000,523.500,-803.000,-1279.000,-2390.000,-2068.500,-1747.000,-2191.000,-609.000,-876.000,-1143.000,-1157.000,-1430.000,-1085.500,-741.000,-656.000,16096.000,8024.500,-47.000,17.000,1174.000,567.000,-40.000,-23.000,-26.000,-35.000,-44.000,20.000,154.000,58.000,-38.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,-1332.000,8896.000,1160.000,5870.000,10580.000,-2933.000,-3373.000,-76.000,3221.000,-3877.500,-10976.000,-8643.500,-6311.000,-3041.500,228.000,-944.000,-2116.000,-9903.000,6648.000,4815.000,2982.000,1490.000,-20039.000,-13776.000,-7513.000,-2766.000,-411.000,11046.500,22504.000,18324.000,78305.000,104785.000,131265.000,24863.000,8376.000,28183.000,47990.000,42305.000,33229.000,45161.000,57093.000,46663.000,214266.000,168894.500,123523.000,373448.000,181754.000,97272.000,12790.000,-7548.000,45426.000,15222.000,-14982.000,-29225.000,-11306.000,44338.500,99983.000,31607.000,26315.000,-5524.500,-37364.000
3.06,Resultado Financeiro,2592.000,541.000,-867.000,5160.000,11187.000,1087.000,-4381.000,-6185.500,-7990.000,-2406.500,3177.000,2922.500,2668.000,-1823.500,-6315.000,-337.000,5641.000,10366.000,13760.000,38632.000,63504.000,1179.000,-6898.000,3227.000,13352.000,3068.000,5784.000,7318.000,8852.000,-1367.000,-17324.000,682.500,18689.000,-14563.000,-5967.000,-2366.000,1235.000,-10855.000,-15293.000,87.000,15467.000,-76969.000,-33067.000,-9922.500,13222.000,-40928.000,-35627.000,6915.500,49458.000,-21339.000,-30184.000,3337.000,36858.000,25967.000,-20464.000,-10346.000,-228.000,-75735.000,-17339.000,-28702.500,-40066.000
3.06.01,Receitas Financeiras,7849.000,7043.000,5402.000,9407.000,13412.000,6920.000,8030.000,6150.000,4270.000,9635.500,15001.000,11581.000,8161.000,9333.000,10505.000,20587.500,30670.000,19973.000,40548.000,60725.000,80902.000,18879.000,48839.000,36845.000,24851.000,25477.000,21147.000,20613.500,20080.000,22917.000,14381.000,74706.000,135031.000,68479.000,44098.000,57851.500,71605.000,55015.000,137645.000,162459.000,187273.000,177947.000,216895.000,201276.500,185658.000,137504.000,252306.000,228998.000,205690.000,-43943.000,43060.000,73810.500,104561.000,59613.000,42867.000,60915.500,78964.000,85790.000,-8754.000,70234.500,149223.000
