codigo,nome,categoria,unidade,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,LTM
VALOR_MERCADO,Valor de Mercado,Valuation,R$ mil,2480813.85,2390602.44,2201978.57,2886765.21,3735572.59,3552000.0,2613600.0,2691500.0,1925000.0,1743000.0,2117500.0
P_L,P/L,Valuation,x,12.3098,9.537,6.0763,12.0469,8.0738,7.4198,7.3896,7.4668,8.8709,10.5989,12.8762
P_VPA,P/VPA,Valuation,x,1.8232,1.3127,1.0152,1.2834,1.3791,1.2338,0.8714,0.8718,0.5567,0.5082,0.6173
EV_EBITDA,EV/EBITDA,Valuation,x,6.4493,6.1119,6.6908,9.9356,6.7251,7.0167,6.5021,6.7015,5.9403,7.1324,7.6213
EV_EBIT,EV/EBIT,Valuation,x,7.6624,7.4918,8.4672,13.449,8.0125,8.4027,8.1142,8.6575,7.6534,9.4232,10.069
EV_RECEITA,EV/Receita,Valuation,x,0.713,0.642,0.6811,0.7433,0.6677,0.5936,0.5453,0.5018,0.4001,0.4643,0.4961
DY,Dividend Yield,Valuation,%,4.8462,5.0291,5.4599,4.1647,3.2184,3.0541,4.0385,3.8127,5.3308,5.8875,4.8462
PAYOUT,Payout,Valuation,%,59.6561,47.9626,33.176,50.1718,25.9848,22.6609,29.8432,28.4687,47.2895,62.4007,62.4007
ROE,ROE,Rentabilidade,%,14.8106,15.7561,18.1638,10.8466,18.6635,17.1348,12.0333,11.8441,6.6311,4.7871,4.7871
ROA,ROA,Rentabilidade,%,5.261,6.5862,8.8195,5.1834,8.4305,6.7914,4.1258,3.6346,1.9974,1.4042,1.4042
ROIC,ROIC,Rentabilidade,%,12.6206,10.8794,7.8748,5.8346,10.3739,8.9843,7.6065,7.1239,6.5709,5.3517,5.3517
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,11.0554,10.5038,10.1793,7.4813,9.9291,8.46,8.3858,7.4885,6.7345,6.5094,6.5094
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,4.0732,5.3757,7.6311,4.4408,6.1971,5.3098,3.4656,3.2042,1.7696,1.3974,1.3974
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,1.914,1.231,2.1355,2.7849,1.6859,2.3598,3.4482,3.5066,3.6094,4.8572,4.8572
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.7694,0.3311,0.4759,0.4998,0.4614,0.6252,0.9839,0.9568,0.8621,1.0848,1.0848
ICJ,ICJ,Endividamento,x,2.0472,2.2064,1.7532,1.5752,1.7129,1.8413,1.1574,0.8619,0.7154,0.6493,0.6493
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,47.0751,12.4352,35.9807,34.6209,29.7359,18.1672,28.2178,29.8432,39.1758,44.0288,44.0288
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.6874,3.4725,2.2423,2.1691,2.3763,2.458,1.9881,2.1562,1.6421,1.5087,1.5087
LIQ_SECA,Liquidez Seca,Liquidez,x,1.0111,2.1763,1.2309,1.243,1.4663,1.6198,1.1228,1.5044,1.057,0.8894,0.8894
LIQ_GERAL,Liquidez Geral,Liquidez,x,0.989,1.2066,1.2259,1.1753,1.1777,1.0204,0.927,0.9299,0.9235,0.9213,0.9213
GIRO_ATIVO,Giro do Ativo,Eficiência,x,1.2916,1.2332,1.0704,1.122,1.2107,1.1368,1.1076,1.0592,1.1041,1.0378,1.0378
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,96.1829,97.2837,123.4871,103.5792,94.1419,75.5511,99.9764,82.5798,67.7143,91.6546,91.6546
PME,PME,Eficiência,dias,92.1459,87.654,114.3343,100.1163,90.343,81.906,98.5718,77.016,80.6857,99.8056,99.8056
NCG_RECEITA,NCG/Receita,Eficiência,%,23.0259,23.7712,31.4503,27.2766,23.9952,20.6028,24.3125,20.6439,16.767,23.0844,23.0844
