codigo,nome,categoria,unidade,2017,2018,2019,2020,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,9.4032,5.9933,11.4976,7.0266,7.2971,,14.1781,8.8709,10.5989,11.7482
P_VPA,P/VPA,Valuation,x,1.3127,1.0152,1.2834,1.3791,1.2338,0.8714,0.8718,0.5567,0.5953,0.6599
EV_EBITDA,EV/EBITDA,Valuation,x,6.1119,6.6908,9.9356,6.7251,7.0167,6.5021,6.7015,5.9403,7.5228,7.8119
EV_EBIT,EV/EBIT,Valuation,x,7.4918,8.4672,13.449,8.0125,8.4027,8.1142,8.6575,7.6534,9.9389,10.3208
EV_RECEITA,EV/Receita,Valuation,x,0.642,0.6811,0.7433,0.6677,0.5936,0.5453,0.5018,0.4001,0.4897,0.5085
DY,Dividend Yield,Valuation,%,2.7187,2.9944,2.5511,6.4072,2.8549,5.7234,4.3984,6.2456,5.8876,5.3116
PAYOUT,Payout,Valuation,%,25.9283,18.195,30.7332,51.7311,21.1827,42.2939,32.8418,55.404,73.1082,73.1082
ROE,ROE,Rentabilidade,%,13.7645,18.1638,10.8466,18.6635,17.1348,12.0333,11.8441,6.6311,4.7871,4.7871
ROA,ROA,Rentabilidade,%,6.6293,8.8195,5.1834,8.4305,6.7914,4.1258,3.6346,1.9974,1.4042,1.4042
ROIC,ROIC,Rentabilidade,%,10.8794,7.8748,5.8346,10.3739,8.9843,7.6065,7.1239,6.5709,5.3517,5.3517
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,10.5038,10.1793,7.4813,9.9291,8.46,8.3858,7.4885,6.7345,6.5094,6.5094
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,5.3757,7.6311,4.4408,6.1971,5.3098,3.4656,3.2042,1.7696,1.3974,1.3974
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,1.231,2.1355,2.7849,1.6859,2.3598,3.4482,3.5066,3.6094,4.8572,4.8572
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.3311,0.4759,0.4998,0.4614,0.6252,0.9839,0.9568,0.8621,1.0848,1.0848
ICJ,ICJ,Endividamento,x,5.3704,23.9202,4.8038,7.3174,4.992,2.3602,1.5389,1.3804,1.0813,1.0813
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,12.4352,35.9807,34.6209,29.7359,18.1672,28.2178,29.8432,39.1758,44.0288,44.0288
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,3.4725,2.2423,2.1691,2.3763,2.458,1.9881,2.1562,1.6421,1.5087,1.5087
LIQ_SECA,Liquidez Seca,Liquidez,x,2.1763,1.2309,1.243,1.4663,1.6198,1.1228,1.5044,1.057,0.8894,0.8894
LIQ_GERAL,Liquidez Geral,Liquidez,x,1.2066,1.2259,1.1753,1.1777,1.0204,0.927,0.9299,0.9235,0.9213,0.9213
GIRO_ATIVO,Giro do Ativo,Eficiência,x,1.2332,1.0704,1.122,1.2107,1.1368,1.1076,1.0592,1.1041,1.0378,1.0378
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,97.2837,123.4871,103.5792,94.1419,75.5511,99.9764,82.5798,67.7143,91.6546,91.6546
PME,PME,Eficiência,dias,87.654,114.3343,100.1163,90.343,81.906,98.5718,77.016,80.6857,99.8056,99.8056
NCG_RECEITA,NCG/Receita,Eficiência,%,23.7712,31.4503,27.2766,23.9952,20.6028,24.3125,20.6439,16.767,23.0844,23.0844
