codigo,nome,categoria,unidade,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,LTM
VALOR_MERCADO,Valor de Mercado,Valuation,R$ mil,1094146.08,811861.06,1271449.07,1133805.96,786198.78,632225.14,569235.92,852750.0,859320.0,2177240.0,1719320.0,1023960.0,733520.0,1326000.0,980000.0,1436000.0,1420000.0
P_L,P/L,Valuation,x,4.29,3.4876,4.6993,3.4531,2.8704,4.2374,14.2694,-2.483,-6.1105,15.2532,32.2278,3.5775,3.761,3.8852,7.4515,7.3652,7.2832
P_VPA,P/VPA,Valuation,x,0.7761,0.5092,0.5988,0.4896,0.3249,0.2564,0.2353,0.4292,0.4754,1.1597,0.6929,0.395,0.2689,0.4604,0.4737,0.6318,0.6247
EV_EBITDA,EV/EBITDA,Valuation,x,5.1399,6.2516,6.9235,6.5341,8.0516,18.5588,-131.0159,-5.4552,-9.9976,15.571,3.248,1.4932,4.3164,5.8792,13.2437,11.318,11.2136
EV_EBIT,EV/EBIT,Valuation,x,5.2227,6.3747,7.1479,6.81,9.3187,20.8269,-72.8013,-5.1232,-9.9976,15.571,3.248,1.4932,4.3164,5.8792,13.2437,11.318,11.2136
EV_RECEITA,EV/Receita,Valuation,x,0.8984,0.9377,1.0786,0.9158,0.8773,0.8874,1.1171,1.1923,1.096,1.3861,0.5288,0.174,0.2338,0.5786,0.6453,1.0567,1.0469
DY,Dividend Yield,Valuation,%,16.3161,21.9893,14.0408,15.7454,22.707,28.2371,31.3617,20.1907,19.3239,7.4511,9.4356,15.8432,22.1164,11.5419,15.6169,10.6577,10.7778
PAYOUT,Payout,Valuation,%,69.9966,76.6907,65.9815,54.37,65.1786,119.6513,447.5137,-50.1332,-118.0795,113.6527,304.088,56.6792,83.1802,44.8426,116.3683,78.4968,78.4968
ROE,ROE,Rentabilidade,%,18.0903,15.4965,14.5544,14.7925,11.5681,6.1078,1.6331,-15.5893,-7.4124,7.7472,2.4478,11.2824,7.3324,12.1731,5.315,8.9924,8.9924
ROA,ROA,Rentabilidade,%,7.925,6.9411,6.8829,7.1555,5.6562,2.979,0.7856,-7.0362,-2.9655,2.9357,1.0501,5.154,3.0889,4.8768,2.1081,3.7869,3.7869
ROIC,ROIC,Rentabilidade,%,10.7125,7.2032,6.7628,6.3554,3.8409,1.6359,-0.4649,-8.0487,-4.1609,4.779,10.9105,8.909,3.2679,5.8984,2.7961,3.9332,3.9332
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,17.4787,14.9989,15.579,14.0151,10.8958,4.7818,-0.8527,-21.8554,-10.9628,8.9018,16.2811,11.6511,5.4169,9.8407,4.8725,9.3364,9.3364
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,13.0395,12.1981,12.5131,13.3529,12.4166,6.7662,2.2886,-21.6823,-9.5351,7.4616,3.1926,12.577,8.414,11.4773,6.0964,11.8807,11.8807
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,1.9394,3.4152,3.149,3.2441,4.7805,12.563,-92.7171,-2.9919,-4.6828,2.7856,-3.0716,-2.3686,-1.5256,1.3478,3.9206,1.9457,1.9457
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.4703,0.6131,0.4995,0.4828,0.4749,0.5371,0.5696,0.5213,0.4189,0.2527,-0.3368,-0.2423,-0.0702,0.137,0.1992,0.1312,0.1312
ICJ,ICJ,Endividamento,x,5.0336,3.9089,4.5588,8.562,5.9437,2.244,-0.8387,-12.4734,-3.146,2.0998,5.2022,6.9716,2.9348,4.6192,2.1814,3.9468,3.9468
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,52.5399,43.7441,23.8283,30.8428,36.0547,39.8877,41.9733,55.289,44.993,33.572,31.5237,33.8143,17.047,17.7476,23.4794,8.0657,8.0657
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,2.3867,3.096,4.1211,3.4928,3.1501,2.9764,3.3632,2.6644,2.7329,2.647,2.3011,2.3806,2.4801,3.2679,4.3171,5.1419,5.1419
LIQ_SECA,Liquidez Seca,Liquidez,x,1.9661,2.3333,3.1301,2.7756,2.4171,2.0956,1.9479,1.1646,1.2232,1.2413,1.2566,1.2,0.9963,1.563,1.7757,2.2684,2.2684
LIQ_GERAL,Liquidez Geral,Liquidez,x,1.7675,1.8257,1.9153,1.9065,1.9601,1.9033,1.909,1.7024,1.6042,1.5919,1.9062,1.7613,1.6731,1.6283,1.6343,1.7825,1.7825
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.6078,0.5469,0.4945,0.5118,0.452,0.4293,0.3473,0.3339,0.3111,0.3839,0.3228,0.3838,0.3461,0.4074,0.4166,0.3276,0.3276
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,374.5862,528.2012,522.3822,405.6804,421.8212,510.8556,766.5969,812.3228,782.5135,571.4297,652.9906,633.4122,734.8118,613.6978,716.6897,727.071,727.071
PME,PME,Eficiência,dias,113.6658,197.384,200.3057,144.3296,168.6798,228.0951,431.9097,586.9338,598.1239,472.3213,522.2096,471.7924,611.801,441.4122,571.7652,593.1329,593.1329
NCG_RECEITA,NCG/Receita,Eficiência,%,80.9332,119.468,116.6963,92.4314,97.0414,113.9901,174.5211,173.786,157.3869,91.4708,59.9441,73.9798,95.1853,104.0769,129.1492,131.4843,131.4843
