codigo,nome,categoria,unidade,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,-0.1132,6.71,4.1034,275.6923,0.0074,0.0179
P_VPA,P/VPA,Valuation,x,1.573,1.2066,0.7059,0.7612,0.4485,1.0898
EV_EBITDA,EV/EBITDA,Valuation,x,6.4864,7.272,-6.7547,9.6088,6.39,10.0558
EV_EBIT,EV/EBIT,Valuation,x,6.4864,7.272,-6.7547,9.6088,6.39,10.0558
EV_RECEITA,EV/Receita,Valuation,x,1.0426,0.9332,0.8144,0.7756,0.5957,0.9375
DY,Dividend Yield,Valuation,%,,3.5575,6.2051,,,
PAYOUT,Payout,Valuation,%,,23.8708,25.4621,,,
ROE,ROE,Rentabilidade,%,17.7636,19.0697,16.1394,1.6726,9.3438,9.3438
ROA,ROA,Rentabilidade,%,7.0013,7.8981,6.264,0.5321,3.0653,3.0653
ROIC,ROIC,Rentabilidade,%,14.6972,10.4746,-7.9359,5.967,6.9166,6.9166
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,16.0739,12.8321,-12.0565,8.0719,9.3226,9.3226
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,9.9455,10.8474,11.0124,0.8918,4.7381,4.7381
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,1.0075,1.5998,-3.0067,4.9806,3.8261,3.8261
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.2892,0.3403,0.5662,0.8191,0.6694,0.6694
ICJ,ICJ,Endividamento,x,1.2491,0.9939,-1.2449,0.5145,0.8281,0.8281
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,3.063,4.1281,2.8156,3.3176,3.6109,3.6109
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,2.0628,1.9512,2.3647,1.9446,2.0146,2.0146
LIQ_SECA,Liquidez Seca,Liquidez,x,1.3255,1.0915,1.4226,1.0227,1.0376,1.0376
LIQ_GERAL,Liquidez Geral,Liquidez,x,0.768,0.7807,0.7233,0.6417,0.6749,0.6749
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.704,0.7189,0.5418,0.5909,0.6395,0.6395
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,79.4357,64.0315,67.2681,72.8576,75.0901,75.0901
PME,PME,Eficiência,dias,84.3054,94.3914,95.8996,106.4436,99.5694,99.5694
NCG_RECEITA,NCG/Receita,Eficiência,%,7.1845,11.5206,16.3387,10.381,14.2823,14.2823
