codigo,nome,categoria,unidade,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,LTM
VALOR_MERCADO,Valor de Mercado,Valuation,R$ mil,1485538.65,757960.52,1130544.48,1021807.53,641228.2,1477543.29,921065.94,978632.57,925863.16,1036199.19,823522.5,1348018.39,1485538.65
P_L,P/L,Valuation,x,17.4646,7.5956,7.6281,6.2549,3.4775,6.606,4.6156,4.7557,4.3447,4.3925,2.775,3.8467,4.2391
P_VPA,P/VPA,Valuation,x,15.0165,6.4993,9.2577,6.1152,3.6255,7.5048,3.0946,1.2109,1.0232,0.8967,0.7115,1.0343,1.1398
EV_EBITDA,EV/EBITDA,Valuation,x,11.6011,4.2153,4.8813,3.7008,1.9569,3.8715,1.8042,2.1266,2.7348,2.3214,1.1603,1.7571,1.9253
EV_EBIT,EV/EBIT,Valuation,x,11.7412,4.2844,4.9979,4.018,1.9569,3.8715,2.044,2.1639,2.852,2.4774,1.6292,2.3287,2.5515
EV_RECEITA,EV/Receita,Valuation,x,5.0624,1.8091,2.5379,1.8726,1.0055,2.0998,0.827,0.9241,1.0737,0.977,0.7155,1.0521,1.1528
DY,Dividend Yield,Valuation,%,6.097,11.9496,8.0115,8.864,14.1249,6.13,9.8335,9.2551,9.7826,8.7409,10.9983,6.719,6.097
PAYOUT,Payout,Valuation,%,106.4814,90.7637,61.1126,55.4435,49.1191,40.4946,45.3875,44.0139,42.5026,38.3942,30.52,25.8459,25.8459
ROE,ROE,Rentabilidade,%,85.9826,92.5915,124.1571,112.9693,107.2182,119.689,80.7069,37.2177,24.8792,22.8981,25.6611,27.2523,27.2523
ROA,ROA,Rentabilidade,%,54.1173,59.1007,78.1001,40.0825,33.583,41.8722,25.8517,13.1461,9.522,9.7347,11.8964,14.2633,14.2633
ROIC,ROIC,Rentabilidade,%,3207.9417,602.4275,832.4527,118.7282,160.1896,161.3624,527.2503,39.3976,23.6284,24.023,29.5466,29.2516,29.2516
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,43.6375,42.9186,51.993,50.5992,51.3818,54.2386,45.8374,43.4527,39.2603,42.0866,61.6705,59.8757,59.8757
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,31.0005,27.4299,36.7079,30.8388,31.5202,32.7989,24.8504,25.1951,22.458,21.035,23.6041,25.6579,25.6579
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,-0.8059,-0.6391,-0.5043,-0.1114,-0.1764,-0.1233,-0.6981,-0.6309,0.2495,0.1261,0.0982,0.1088,0.1088
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,-0.9754,-0.8557,-0.8669,-0.1787,-0.2998,-0.2316,-0.8634,-0.277,0.1027,0.0515,0.0658,0.0682,0.0682
ICJ,ICJ,Endividamento,x,56.7138,64.9552,98.6636,33.9399,11.307,25.9177,16.6785,7.5773,3.4853,2.9936,4.0796,4.427,4.427
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,80.0,62.9323,100.0,,,64.2424,,2.8354,7.6156,10.427,46.4894,11.2409,11.2409
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,3.665,3.2119,2.0025,0.5469,0.6046,0.5263,0.8831,0.6861,1.0046,0.9628,0.6638,1.0724,1.0724
LIQ_SECA,Liquidez Seca,Liquidez,x,3.665,3.2119,2.0025,0.5469,0.6046,0.5263,0.8831,0.6861,1.0046,0.9628,0.6638,1.0724,1.0724
LIQ_GERAL,Liquidez Geral,Liquidez,x,2.4085,2.3469,2.0918,0.2517,0.5456,0.4422,0.6754,0.442,0.3966,0.4536,0.4793,0.6156,0.6156
GIRO_ATIVO,Giro do Ativo,Eficiência,x,1.7457,2.0153,2.0287,0.8598,1.2136,1.1631,0.8386,0.3758,0.4121,0.4409,0.5142,0.5658,0.5658
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,-5.9705,15.1384,11.4648,-83.8323,-54.7517,-47.9529,-73.7283,-9.7529,-106.2614,-77.8519,-77.1809,-66.6765,-66.6765
PME,PME,Eficiência,dias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCG_RECEITA,NCG/Receita,Eficiência,%,-4.3716,-3.8389,-9.4586,-18.1369,-22.9841,-24.4462,-37.8507,-83.888,-26.5902,-25.1143,-27.8878,-15.6157,-15.6157
