codigo,nome,categoria,unidade,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,11.7815,17.0864,11.3129,-0.4601,-0.4116,-0.4307
P_VPA,P/VPA,Valuation,x,2.3664,1.9623,1.3318,0.3435,0.1832,0.1917
EV_EBITDA,EV/EBITDA,Valuation,x,10.184,11.2811,10.3796,-3.9445,-9.0209,-9.0698
EV_EBIT,EV/EBIT,Valuation,x,10.184,11.2811,10.3796,-3.9445,-9.0209,-9.0698
EV_RECEITA,EV/Receita,Valuation,x,0.8062,0.6621,0.596,0.2939,0.2792,0.2807
DY,Dividend Yield,Valuation,%,1.3974,2.7769,,5.9016,,
PAYOUT,Payout,Valuation,%,18.0006,47.8427,,2.7592,,
ROE,ROE,Rentabilidade,%,18.3706,11.7222,12.9238,54.2762,57.4268,57.4268
ROA,ROA,Rentabilidade,%,5.7292,3.1565,3.6454,14.348,14.889,14.889
ROIC,ROIC,Rentabilidade,%,15.6625,9.42,7.6169,-12.1996,-4.816,-4.816
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,7.9164,5.8694,5.7421,-7.4502,-3.0952,-3.0952
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,6.3542,2.9696,3.2472,12.22,12.7212,12.7212
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,-0.1554,2.5642,3.4966,-3.1776,-7.9705,-7.9705
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,-0.0356,0.5772,0.6766,1.4234,1.3901,1.3901
ICJ,ICJ,Endividamento,x,1.2729,0.53,0.9638,-0.9996,-0.3532,-0.3532
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,11.748,8.2667,12.1399,10.4006,22.0919,22.0919
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,2.1595,1.7519,1.9547,1.847,1.4888,1.4888
LIQ_SECA,Liquidez Seca,Liquidez,x,1.714,1.3496,1.3069,1.2445,0.9553,0.9553
LIQ_GERAL,Liquidez Geral,Liquidez,x,1.0964,0.8915,1.0127,0.8467,0.8528,0.8528
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.9016,0.9149,1.0881,1.2137,1.2525,1.2525
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,53.9351,52.4353,89.8477,60.1428,60.1867,60.1867
PME,PME,Eficiência,dias,66.5176,63.3633,76.2454,60.2187,60.494,60.494
NCG_RECEITA,NCG/Receita,Eficiência,%,8.1899,7.7419,20.8261,14.5835,13.4982,13.4982
