cd_conta,ds_conta,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,78496.000,79421.000,83159.000,82613.000,104340.000,110913.000,115910.000,130129.000,137940.000,141022.000,203077.000,211467.000,218018.000,222443.000,209364.000,206795.000,235289.000,247708.000,231171.000,246266.000,256087.000,260868.000,252440.000,276279.000,266846.000,282379.000,257614.000,295618.000,282534.000,285401.000,293650.000,319914.000,338983.000,356135.000,350945.000,375926.000,415998.000,585946.000,816681.000,832180.000,902380.000,910472.000,905237.000,845142.000,954422.000,932424.000,940408.000,905686.000,990715.000,977002.000,938279.000,895383.000,1040122.000,1005340.000,1005915.000
3.02,Custo dos Bens e/ou Serviços Vendidos,-37631.000,-50390.000,-48598.000,-53883.000,-44390.000,-72764.000,-66258.000,-72487.000,-57550.000,-78974.000,-105458.000,-129062.000,-100583.000,-131184.000,-119910.000,-140939.000,-121867.000,-159654.000,-153331.000,-176731.000,-131940.000,-167801.000,-157616.000,-189184.000,-140509.000,-185181.000,-172523.000,-208928.000,-134265.000,-176256.000,-168272.000,-192791.000,-149246.000,-175838.000,-172050.000,-188233.000,-180415.000,-248270.000,-365272.000,-455987.000,-314226.000,-387888.000,-377882.000,-428845.000,-320443.000,-422017.000,-372318.000,-404038.000,-316880.000,-368854.000,-385781.000,-378471.000,-339137.000,-409373.000,-366578.000
3.03,Resultado Bruto,40865.000,29031.000,34561.000,28730.000,59950.000,38149.000,49652.000,57642.000,80390.000,62048.000,97619.000,82405.000,117435.000,91259.000,89454.000,65856.000,113422.000,88054.000,77840.000,69535.000,124147.000,93067.000,94824.000,87095.000,126337.000,97198.000,85091.000,86690.000,148269.000,109145.000,125378.000,127123.000,189737.000,180297.000,178895.000,187693.000,235583.000,337676.000,451409.000,376193.000,588154.000,522584.000,527355.000,416297.000,633979.000,510407.000,568090.000,501648.000,673835.000,608148.000,552498.000,516912.000,700985.000,595967.000,639337.000
3.04,Despesas/Receitas Operacionais,-20183.000,-23519.000,-27875.000,-26771.000,-25360.000,-34997.000,-65439.000,-39696.000,-42066.000,-41414.000,-57627.000,-59793.000,-56007.000,-112932.000,-57012.000,-68382.000,-59458.000,-75608.000,-63903.000,-93793.000,-65531.000,-79975.000,-79050.000,-88404.000,-79527.000,-88150.000,-93695.000,-95288.000,-85154.000,-91342.000,-95788.000,-117661.000,-173389.000,-131899.000,-139681.000,-173474.000,-142748.000,-270775.000,-308255.000,-397939.000,-402958.000,-415507.000,-412403.000,-445421.000,-476766.000,-379345.000,-424773.000,-408338.000,-427671.000,-410104.000,-370871.000,-322648.000,-396357.000,-367295.000,-386112.000
3.04.02,Despesas Gerais e Administrativas,-10315.000,-14152.000,-17142.000,-16846.000,-17089.000,-23362.000,-58826.000,-35759.000,-27774.000,-34135.000,-45752.000,-49863.000,-40129.000,-99971.000,-40741.000,-40732.000,-43997.000,-54288.000,-47229.000,-45699.000,-50310.000,-59787.000,-58160.000,-59929.000,-58288.000,-66919.000,-70791.000,-63262.000,-61419.000,-67165.000,-69059.000,-84255.000,-75335.000,-79420.000,-88657.000,-93030.000,-99943.000,-192176.000,-299559.000,-272595.000,-271761.000,-280222.000,-324941.000,-325590.000,-310617.000,-301278.000,-274114.000,-254395.000,-257392.000,-296343.000,-235685.000,-253880.000,-242001.000,-260743.000,-269073.000
3.04.05,Outras Despesas Operacionais,-4757.000,-1665.000,-5286.000,-2459.000,-4193.000,-2013.000,-1473.000,4685.000,-8044.000,0.000,-128.000,8134.000,-2000.000,-1030.000,0.000,-2965.000,-2217.000,-1983.000,-529.000,-21426.000,0.000,-213.000,-1776.000,1829.000,0.000,0.000,-3326.000,5138.000,0.000,0.000,-99.000,4498.000,-66308.000,0.000,-17553.000,-27269.000,-6163.000,-15967.000,0.000,76564.000,-15539.000,-11458.000,0.000,-4819.000,-41913.000,0.000,-19120.000,-16865.000,-8953.000,-7951.000,-20016.000,29894.000,-1949.000,-12832.000,-15619.000
3.04.06,Resultado de Equivalência Patrimonial,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-10.000,-193.000,-201.000,-329.000,-561.000,-395.000,-1263.000,-510.000,-783.000,-576.000,-594.000,-574.000,-1271.000,-1194.000,-546.000,242.000,-552.000,350.000,-584.000,-4247.000,-4384.000,188.000,-5899.000,-2155.000,-1625.000,-818.000,-2294.000,-8293.000,-1174.000,-1032.000,-1271.000,-1036.000,-1603.000,-1204.000
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,20682.000,5512.000,6686.000,1959.000,34590.000,3152.000,-15787.000,17946.000,38324.000,20634.000,39992.000,22612.000,61428.000,-21673.000,32442.000,-2526.000,53964.000,12446.000,13937.000,-24258.000,58616.000,13092.000,15774.000,-1309.000,46810.000,9048.000,-8604.000,-8598.000,63115.000,17803.000,29590.000,9462.000,16348.000,48398.000,39214.000,14219.000,92835.000,66901.000,143154.000,-21746.000,185196.000,107077.000,114952.000,-29124.000,157213.000,131062.000,143317.000,93310.000,246164.000,198044.000,181627.000,194264.000,304628.000,228672.000,253225.000
3.06,Resultado Financeiro,-5982.000,-2204.000,-1029.000,-2267.000,-5431.000,-3423.000,-2231.000,3102.000,6453.000,6800.000,3410.000,-161.000,2401.000,-2447.000,-3713.000,-7443.000,-1159.000,-13846.000,-8613.000,-13153.000,-9048.000,-14326.000,-6961.000,-7519.000,-5117.000,-10117.000,-6272.000,-13181.000,-25119.000,-32802.000,-30174.000,-38197.000,-34471.000,-37353.000,-36734.000,-45966.000,-40957.000,-84636.000,-144582.000,-143429.000,-274985.000,-172485.000,-169952.000,-176630.000,-201990.000,-189095.000,-160023.000,-191669.000,-149196.000,-194128.000,-143313.000,-147394.000,-171178.000,-188904.000,-182627.000
3.06.01,Receitas Financeiras,1357.000,3623.000,8306.000,-3025.000,1356.000,2918.000,5106.000,10883.000,14266.000,14112.000,10179.000,7150.000,8733.000,6732.000,42827.000,-3129.000,42502.000,36875.000,32318.000,-11142.000,25609.000,11710.000,17539.000,-16692.000,8005.000,12259.000,16129.000,4414.000,11063.000,6109.000,8386.000,1567.000,0.000,10362.000,15719.000,19504.000,0.000,49548.000,21296.000,5207.000,23454.000,40841.000,51422.000,49248.000,49627.000,50769.000,40064.000,28068.000,40897.000,30997.000,51911.000,46192.000,53776.000,53892.000,75393.000
