codigo,nome,categoria,unidade,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,,9.7409,12.4039,30.7437,23.1691,23.1691
P_VPA,P/VPA,Valuation,x,,,,,,
EV_EBITDA,EV/EBITDA,Valuation,x,,,,,,
EV_EBIT,EV/EBIT,Valuation,x,,,,,,
EV_RECEITA,EV/Receita,Valuation,x,,,,,,
DY,Dividend Yield,Valuation,%,,,,,,
PAYOUT,Payout,Valuation,%,,,,,,
ROE,ROE,Rentabilidade,%,,28.9717,19.0999,7.0526,8.7855,8.7855
ROA,ROA,Rentabilidade,%,,14.1429,9.9974,3.7704,4.6302,4.6302
ROIC,ROIC,Rentabilidade,%,,13.3262,12.0059,4.4705,7.6459,7.6459
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,,16.312,15.6719,7.0005,14.5598,14.5598
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,,14.7235,11.4432,5.0085,7.5211,7.5211
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,,1.4849,1.4234,4.3685,2.4904,2.4904
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.3679,0.4282,0.3494,0.4203,0.4055,0.4055
ICJ,ICJ,Endividamento,x,,,8.4378,28.4767,6.2671,6.2671
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,95.2928,57.794,23.4541,52.9903,23.1125,23.1125
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.8356,2.4882,4.2234,2.6912,3.9154,3.9154
LIQ_SECA,Liquidez Seca,Liquidez,x,0.7787,1.0627,1.7498,1.3138,1.7477,1.7477
LIQ_GERAL,Liquidez Geral,Liquidez,x,1.3613,1.465,1.653,1.5881,1.4659,1.4659
GIRO_ATIVO,Giro do Ativo,Eficiência,x,,0.8689,0.8694,0.7098,0.5855,0.5855
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,,274.3453,300.1167,310.4653,364.0793,364.0793
PME,PME,Eficiência,dias,,243.0724,254.7091,272.8556,332.7763,332.7763
NCG_RECEITA,NCG/Receita,Eficiência,%,,60.485,60.9833,75.9941,81.024,81.024
