cd_conta,ds_conta,2021T3,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,167659.0,166992.0,178903.0,194182.0,246892.0,198418.0,179534.0,408520.0,8746.0,174379.0,146110.0,359229.0,53302.0,177807.0,198552.0,218067.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-111283.0,-119976.0,-136379.0,-130026.0,-171038.0,-137740.0,-126271.0,-284035.0,5695.0,-127616.0,-110206.0,-253088.0,-31192.0,-130569.0,-140283.0,-148860.0
3.03,Resultado Bruto,56376.0,47016.0,42524.0,64156.0,75854.0,60678.0,53263.0,124485.0,-3051.0,46763.0,35904.0,106141.0,22110.0,47238.0,58269.0,69207.0
3.04,Despesas/Receitas Operacionais,-3786.0,-18660.0,-22781.0,-34460.0,-25279.0,-21501.0,-23406.0,-55688.0,-10154.0,-31188.0,-30594.0,-79027.0,-18794.0,-22980.0,-28729.0,-32013.0
3.04.02,Despesas Gerais e Administrativas,0.0,-5065.0,-6702.0,0.0,-23024.0,-8702.0,-6512.0,0.0,-16359.0,-8295.0,-11183.0,0.0,-24736.0,-9683.0,-10470.0,0.0
3.04.05,Outras Despesas Operacionais,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2740.0,0.0,0.0,-5935.0,0.0,0.0,0.0
3.04.05.02,Depreciação e amortização,,,,,,,,,,,,,-8675.0,,,
3.04.06,Resultado de Equivalência Patrimonial,0.0,0.0,0.0,0.0,-5029.0,0.0,0.0,0.0,-5183.0,0.0,0.0,0.0,-5651.0,0.0,0.0,0.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,52590.0,28356.0,19743.0,29696.0,50575.0,39177.0,29857.0,68797.0,-13205.0,15575.0,5310.0,27114.0,3316.0,24258.0,29540.0,37194.0
3.06,Resultado Financeiro,-6846.0,24277.0,-9165.0,-583.0,-3831.0,-2442.0,-3012.0,-3884.0,-5432.0,-677.0,6113.0,-4707.0,-2531.0,-2785.0,-5391.0,-4341.0
3.06.01,Receitas Financeiras,10283.0,40969.0,11187.0,16688.0,12568.0,16099.0,16534.0,26968.0,6645.0,8449.0,26303.0,23204.0,19213.0,21777.0,18940.0,17675.0
3.06.02,Despesas Financeiras,-17129.0,-16692.0,-20352.0,-17271.0,-16399.0,-18541.0,-19546.0,-30852.0,-1213.0,-9126.0,-20190.0,-27911.0,-21744.0,-24562.0,-24331.0,-22016.0
3.07,Resultado Antes dos Tributos sobre o Lucro,45744.0,52633.0,10578.0,29113.0,46744.0,36735.0,26845.0,64913.0,-18637.0,14898.0,11423.0,22407.0,785.0,21473.0,24149.0,32853.0
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-8604.0,-13106.0,-1808.0,-6929.0,-1356.0,-6529.0,-5147.0,-12202.0,-5020.0,-2226.0,-2134.0,-1599.0,-6841.0,-4206.0,-11323.0,-8174.0
3.09,Resultado Líquido das Operações Continuadas,37140.0,39527.0,8770.0,22184.0,45388.0,30206.0,21698.0,52711.0,-13617.0,12672.0,9289.0,20808.0,-6056.0,17267.0,12826.0,24679.0
3.10,Resultado Líquido de Operações Descontinuadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.11,Lucro/Prejuízo Consolidado do Período,37140.0,39527.0,8770.0,22184.0,45388.0,30206.0,21698.0,52711.0,-13617.0,12672.0,9289.0,20808.0,-6056.0,17267.0,12826.0,24679.0
3.11.01,Atribuído a Sócios da Empresa Controladora,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.11.02,Atribuído a Sócios Não Controladores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.99,Lucro por Ação (Reais/Ação),0.0,3.502,0.0,1.9654,4.7986,2.676,1.9224,4.6701,-1.2065,1.1228,0.823,1.8435,-0.5366,1.5298,1.1364,2.1865
