cd_conta,ds_conta,2010T2,2010T3,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,285451.000,338752.000,390285.000,359616.500,328948.000,398122.000,380448.000,335380.500,290313.000,546913.000,394916.000,395579.000,396242.000,504257.000,312828.000,345417.500,378007.000,397709.000,497116.000,432148.000,367180.000,587664.000,694687.000,624716.500,554746.000,603674.000,605422.000,708844.000,812266.000,614025.000,895067.000,826125.500,757184.000,638709.000,840778.000,796253.500,751729.000,766665.000,1029194.000,1025107.000,1021020.000,919728.000,1210979.000,1249379.000,1287779.000,1417805.000,1531733.000,1614596.000,1697459.000,1581795.000,1534094.000,1438340.500,1342587.000,1534989.000,1592401.000,1618055.000,1643709.000,1958412.000,1822338.000,1839749.500,1857161.000,1738644.000
3.02,Custo dos Bens e/ou Serviços Vendidos,-206017.000,-220792.000,-264580.000,-248294.500,-232009.000,-244650.000,-281794.000,-249981.500,-218169.000,-387046.000,-312882.000,-298050.500,-283219.000,-343597.000,-229205.000,-244163.500,-259122.000,-269227.000,-347346.000,-310723.500,-274101.000,-409510.000,-508349.000,-453058.000,-397767.000,-435662.000,-458842.000,-497861.000,-536880.000,-450045.000,-549944.000,-525048.500,-500153.000,-452516.000,-619815.000,-586423.000,-553031.000,-538010.000,-663480.000,-682354.500,-701229.000,-588631.000,-749052.000,-772853.000,-796654.000,-789024.000,-828676.000,-972536.500,-1116397.000,-1048244.000,-1067981.000,-949789.500,-831598.000,-1052999.000,-1252450.000,-1191994.500,-1131539.000,-1390566.000,-1394031.000,-1409320.000,-1424609.000,-1206833.000
3.03,Resultado Bruto,79434.000,117960.000,125705.000,111322.000,96939.000,153472.000,98654.000,85399.000,72144.000,159867.000,82034.000,97528.500,113023.000,160660.000,83623.000,101254.000,118885.000,128482.000,149770.000,121424.500,93079.000,178154.000,186338.000,171658.500,156979.000,168012.000,146580.000,210983.000,275386.000,163980.000,345123.000,301077.000,257031.000,186193.000,220963.000,209830.500,198698.000,228655.000,365714.000,342752.500,319791.000,331097.000,461927.000,476526.000,491125.000,628781.000,703057.000,642059.500,581062.000,533551.000,466113.000,488551.000,510989.000,481990.000,339951.000,426060.500,512170.000,567846.000,428307.000,430429.500,432552.000,531811.000
3.04,Despesas/Receitas Operacionais,-33206.000,-53005.000,-28915.000,-32507.000,-36099.000,-55563.000,-26353.000,-34143.000,-41933.000,-66602.000,-46238.000,-52334.000,-58430.000,-60192.000,-31331.000,-29144.000,-26957.000,36354.000,-45579.000,-37081.500,-28584.000,-62981.000,-33409.000,-39044.500,-44680.000,-39867.000,-26048.000,-50618.000,-75188.000,-73351.000,-75746.000,-70188.000,-64630.000,-69657.000,-67099.000,-66698.000,-66297.000,-87255.000,252877.000,77320.500,-98236.000,292693.000,-86438.000,-102697.500,-118957.000,-84014.000,333649.000,134203.500,-65242.000,-94466.000,337304.000,103402.500,-130499.000,375854.000,-106295.000,-127423.000,-148551.000,-150685.000,49131.000,-39986.500,-129104.000,-164360.000
3.04.02,Despesas Gerais e Administrativas,-21425.000,-34334.000,-25449.000,-24515.000,-23581.000,-34422.000,-28278.000,-30032.500,-31787.000,-37615.000,-28103.000,-27742.000,-27381.000,-33723.000,-25469.000,-26751.500,-28034.000,-32213.000,-43164.000,-36243.000,-29322.000,-36561.000,-33505.000,-35930.000,-38355.000,-41010.000,-37343.000,-41154.500,-44966.000,-46089.000,-47002.000,-45602.000,-44202.000,-56089.000,-44033.000,-47982.000,-51931.000,-51265.000,-67961.000,-62145.000,-56329.000,-60352.000,-66482.000,-72913.500,-79345.000,-69666.000,-53618.000,-54512.000,-55406.000,-61116.000,-71732.000,-83629.500,-95527.000,-85091.000,-53858.000,-75637.500,-97417.000,-88326.000,-79389.000,-86247.500,-93106.000,-103738.000
3.04.05,Outras Despesas Operacionais,0.000,-225.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.04.06,Resultado de Equivalência Patrimonial,0.000,0.000,0.000,0.000,0.000,-2783.000,2365.000,208.000,-1949.000,-1230.000,-2015.000,-6892.000,-11769.000,-5434.000,5901.000,11606.500,17312.000,11982.000,10160.000,11306.000,12452.000,-2441.000,31082.000,25162.000,19242.000,27097.000,31327.000,14717.500,-1892.000,97.000,-207.000,-528.000,-849.000,594.000,517.000,462.500,408.000,800.000,336.000,638.500,941.000,1975.000,1877.000,1776.000,1675.000,1627.000,1979.000,1574.000,1169.000,1458.000,1266.000,1527.500,1789.000,2121.000,2241.000,2054.500,1868.000,2606.000,2705.000,2146.000,1587.000,3886.000
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,46228.000,64955.000,96790.000,78815.000,60840.000,97909.000,72301.000,51256.000,30211.000,93265.000,35796.000,45194.500,54593.000,100468.000,52292.000,72110.000,91928.000,164836.000,104191.000,84343.000,64495.000,115173.000,152929.000,132614.000,112299.000,128145.000,120532.000,160365.000,200198.000,90629.000,269377.000,230889.000,192401.000,116536.000,153864.000,143132.500,132401.000,141400.000,618591.000,420073.000,221555.000,623790.000,375489.000,373828.500,372168.000,544767.000,1036706.000,776263.000,515820.000,439085.000,803417.000,591953.500,380490.000,857844.000,233656.000,298637.500,363619.000,417161.000,477438.000,390443.000,303448.000,367451.000
3.06,Resultado Financeiro,-18957.000,-2139.000,-11411.000,-10275.500,-9140.000,-25479.000,-16437.000,-21849.500,-27262.000,-21392.000,-32192.000,-16989.500,-1787.000,-16496.000,-11348.000,-16132.500,-20917.000,-28135.000,-59158.000,-57594.500,-56031.000,-101918.000,-74532.000,-73774.000,-73016.000,-54607.000,-64969.000,-52128.000,-39287.000,-37555.000,-52923.000,-45749.500,-38576.000,-57604.000,-75026.000,-69271.000,-63516.000,-80150.000,-199398.000,-136125.500,-72853.000,-150445.000,-66220.000,-97828.500,-129437.000,-48926.000,-132837.000,-215821.000,-298805.000,-173580.000,-273385.000,-217101.500,-160818.000,-282279.000,-139822.000,-233978.000,-328134.000,-171774.000,-358428.000,-298203.000,-237978.000,-208623.000
3.06.01,Receitas Financeiras,3672.000,42820.000,27172.000,21048.000,14924.000,52717.000,74772.000,58631.500,42491.000,46146.000,61049.000,54213.000,47377.000,92923.000,41288.000,29012.500,16737.000,45781.000,51617.000,47489.000,43361.000,150001.000,4795.000,38484.000,72173.000,31164.000,27558.000,47202.000,66846.000,37522.000,33419.000,45364.000,57309.000,45927.000,14256.000,33823.500,53391.000,26800.000,17511.000,28681.000,39851.000,24427.000,46076.000,139460.500,232845.000,153635.000,63029.000,90028.500,117028.000,84781.000,86856.000,137516.000,188176.000,77439.000,85711.000,108618.000,131525.000,120694.000,120154.000,131031.000,141908.000,234930.000
3.06.02,Despesas Financeiras,-22629.000,-44959.000,-38583.000,-31323.500,-24064.000,-78196.000,-91209.000,-80481.000,-69753.000,-67538.000,-93241.000,-71202.500,-49164.000,-109419.000,-52636.000,-45145.000,-37654.000,-73916.000,-110775.000,-105083.500,-99392.000,-251919.000,-79327.000,-112258.000,-145189.000,-85771.000,-92527.000,-99330.000,-106133.000,-75077.000,-86342.000,-91113.500,-95885.000,-103531.000,-89282.000,-103094.500,-116907.000,-106950.000,-216909.000,-164806.500,-112704.000,-174872.000,-112296.000,-237289.000,-362282.000,-202561.000,-195866.000,-305849.500,-415833.000,-258361.000,-360241.000,-354617.500,-348994.000,-359718.000,-225533.000,-342596.000,-459659.000,-292468.000,-478582.000,-429234.000,-379886.000,-443553.000
3.07,Resultado Antes dos Tributos sobre o Lucro,27271.000,62816.000,85379.000,68539.500,51700.000,72430.000,55864.000,29406.500,2949.000,71873.000,3604.000,28205.000,52806.000,83972.000,40944.000,55977.500,71011.000,136701.000,45033.000,26748.500,8464.000,13255.000,78397.000,58840.000,39283.000,73538.000,55563.000,108237.000,160911.000,53074.000,216454.000,185139.500,153825.000,58932.000,78838.000,73861.500,68885.000,61250.000,419193.000,283947.500,148702.000,473345.000,309269.000,276000.000,242731.000,495841.000,903869.000,560442.000,217015.000,265505.000,530032.000,374852.000,219672.000,575565.000,93834.000,64659.500,35485.000,245387.000,119010.000,92240.000,65470.000,158828.000
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-8199.000,-21140.000,-15714.000,-14725.000,-13736.000,-23763.000,-10986.000,-5778.500,-571.000,-21350.000,3706.000,-7186.000,-18078.000,-23085.000,-7986.000,-9135.500,-10285.000,-20189.000,9476.000,14653.500,19831.000,7799.000,-2377.000,-995.500,386.000,-4625.000,281.000,-21878.500,-44038.000,-59.000,-47971.000,-48918.500,-49866.000,-385.000,-12909.000,4834.500,22578.000,732.000,-76273.000,-54634.500,-32996.000,-141451.000,-37105.000,-44872.500,-52640.000,-127429.000,-206931.000,-101183.500,4564.000,-52909.000,-100340.000,-49872.000,596.000,-157471.000,116801.000,93818.000,70835.000,-57938.000,38911.000,18135.000,-2641.000,17588.000
