codigo,nome,categoria,unidade,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,LTM
VALOR_MERCADO,Valor de Mercado,Valuation,R$ mil,,,740150.0,766140.0,977450.0,1261354.07,1626274.12,5252683.48,5077958.04,6836132.76,7855511.39,10542457.38,8425469.63,9657429.06,7859250.25,6013071.15,5597421.07
P_L,P/L,Valuation,x,,,8.8282,5.1215,3.5086,7.5634,7.3166,12.3671,13.9253,11.8877,8.277,7.0918,6.3679,8.2263,12.8805,11.8475,11.0285
P_VPA,P/VPA,Valuation,x,,,0.3589,0.3685,0.4351,0.5074,0.5383,1.5563,1.5182,1.8501,1.9457,2.1772,1.4555,1.4904,1.2061,0.8625,0.8029
EV_EBITDA,EV/EBITDA,Valuation,x,,,3.9925,3.979,5.1224,5.9558,5.4458,6.7679,6.888,5.8993,4.6417,4.6802,3.8917,5.4025,5.3604,4.5485,4.4122
EV_EBIT,EV/EBIT,Valuation,x,,,9.6597,7.198,7.5959,10.0051,8.8396,11.3459,11.8068,10.9298,7.5066,6.7188,6.0994,8.5142,10.2327,9.019,8.7489
EV_RECEITA,EV/Receita,Valuation,x,,,1.2974,1.1299,2.0328,2.0039,1.8267,2.698,2.6741,3.3848,2.949,2.8501,2.405,2.9743,2.2621,1.9122,1.8549
DY,Dividend Yield,Valuation,%,7.5707,11.8268,6.9697,6.7332,5.2776,4.1016,3.1813,3.1636,3.2725,2.4308,2.0573,1.533,1.9181,1.6734,2.012,2.6297,2.825
PAYOUT,Payout,Valuation,%,,,61.5298,34.4844,18.5169,31.0223,23.2763,39.1251,45.5706,28.8971,17.0282,10.8714,12.2143,13.7661,25.915,31.1551,31.1551
ROE,ROE,Rentabilidade,%,,9.0108,4.0707,7.2238,12.8802,7.0479,8.0728,13.2812,10.8533,16.3379,24.5485,33.4834,24.8921,19.1384,9.3902,7.4974,7.4974
ROA,ROA,Rentabilidade,%,,3.8334,1.6305,2.8676,4.7365,2.399,2.997,4.9981,3.8889,5.4833,7.9793,11.1441,7.9577,6.1227,2.9189,2.3142,2.3142
ROIC,ROIC,Rentabilidade,%,,7.1531,4.1403,5.3238,6.2698,5.0998,5.6579,7.5513,7.0906,8.3582,12.742,15.4578,13.0459,9.463,7.0437,6.8452,6.8452
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,,39.0953,32.4948,28.396,39.6841,33.6465,33.5428,39.8649,38.8229,57.3761,63.5335,60.898,61.7991,55.0537,42.2005,42.0398,42.0398
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,,12.6317,5.3485,9.2977,17.2155,8.0114,9.3056,14.0165,11.906,17.1976,22.7224,27.0941,20.584,19.8699,8.6641,6.993,6.993
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,,1.3989,2.5394,2.302,3.6003,4.1549,3.416,2.4196,2.6174,2.3361,1.6815,1.525,1.7707,2.4335,2.7159,2.5777,2.5777
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,,0.3901,0.6272,0.5058,1.0291,1.1707,0.906,0.866,0.9305,1.213,1.1052,1.0523,1.2151,1.2216,1.2387,1.1282,1.1282
ICJ,ICJ,Endividamento,x,,1.3784,0.6769,0.8942,1.619,0.7783,1.1327,1.964,1.8264,1.904,2.9059,2.3321,1.8911,1.6014,0.9895,0.8888,0.8888
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,,24.3557,23.7956,33.2255,31.8222,19.4972,26.4161,31.8539,16.3302,15.9646,18.2267,15.4798,20.4293,16.44,16.9781,12.4089,12.4089
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,,1.6142,1.7085,1.2378,1.2917,1.4471,1.6357,1.8405,2.8247,2.7461,2.0646,2.2111,2.1109,2.6034,2.268,2.8601,2.8601
LIQ_SECA,Liquidez Seca,Liquidez,x,,1.0027,1.0811,0.8521,0.7995,0.9097,1.1432,1.2639,1.8789,1.9941,1.4545,1.4712,1.5105,1.6087,1.6847,2.1197,2.1197
LIQ_GERAL,Liquidez Geral,Liquidez,x,,0.6102,0.6372,0.5688,0.5832,0.6244,0.5693,0.6245,0.6032,0.5328,0.5592,0.6275,0.6424,0.6723,0.7057,0.7308,0.7308
GIRO_ATIVO,Giro do Ativo,Eficiência,x,,0.3035,0.2877,0.3228,0.2387,0.2922,0.3098,0.3263,0.3235,0.2906,0.3401,0.3811,0.3409,0.3031,0.3156,0.3203,0.3203
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,,109.2065,129.3941,83.8324,199.5314,155.038,225.4177,288.3414,290.1844,289.1336,230.5681,254.4022,242.5282,318.1064,225.6045,186.9271,186.9271
PME,PME,Eficiência,dias,,137.3156,147.513,97.7299,198.0414,157.4966,232.4854,279.6426,292.2484,260.4978,231.7796,288.9718,249.0138,308.4889,219.6591,211.6027,211.6027
NCG_RECEITA,NCG/Receita,Eficiência,%,,15.6795,26.2127,15.3506,45.6011,28.3177,45.7757,53.6186,56.0606,59.5548,37.9022,37.477,41.4051,64.6522,41.4204,45.0519,45.0519
