codigo,nome,categoria,unidade,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,67.895,23.3298,11.9896,11.1568,11.1568
P_VPA,P/VPA,Valuation,x,2.7181,1.9124,1.0547,1.5827,1.5827
DY,Dividend Yield,Valuation,%,11.7469,12.6792,2.8018,0.5909,0.5909
PAYOUT,Payout,Valuation,%,797.5548,295.804,33.5929,6.5927,6.5927
ROE,ROE,Rentabilidade,%,4.0033,8.2715,10.6371,18.2541,18.2541
ROA,ROA,Rentabilidade,%,0.2198,0.4151,0.5531,0.9503,0.9503
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,1.4836,4.4181,3.4909,5.7669,5.7669
NIM,NIM,Rentabilidade,%,5.0089,4.8784,7.5053,7.6182,7.6182
INDICE_COBERTURA,Índice de Cobertura,Qualidade Ativos,%,2.878,2.7055,1.8955,1.8594,1.8594
INDICE_EFICIENCIA,Índice de Eficiência,Eficiência,%,105.684,88.3467,89.1355,78.9936,78.9936
LOAN_DEPOSIT,Loan-to-Deposit,Estrutura,%,110.1795,108.4541,113.971,117.5886,117.5886
PL_ATIVOS,PL/Ativos,Estrutura,%,5.4898,4.6283,5.6565,5.7332,5.7332
