codigo,nome,categoria,unidade,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,LTM
P_L,P/L,Valuation,x,32.1611,-200.4055,128.4153,29.7953,15.9826,-7.669,-10.2898,-0.535,-0.3096,-0.0522,-0.0522
P_VPA,P/VPA,Valuation,x,2.6785,4.135,9.404,5.2074,2.2158,1.7613,1.2393,0.8913,-0.4555,-0.101,-0.101
EV_EBITDA,EV/EBITDA,Valuation,x,15.8616,20.968,35.6238,19.282,22.6787,19.0788,9.4603,-7.4193,-2.3241,-3.6215,-3.6215
EV_EBIT,EV/EBIT,Valuation,x,23.9484,30.6069,64.6509,29.9628,50.2068,55.6072,18.1176,-4.5013,-2.0113,-2.4995,-2.4995
EV_RECEITA,EV/Receita,Valuation,x,1.6303,2.2372,5.3191,5.6706,2.7488,1.7794,1.1707,0.9232,2.0195,2.1447,2.1447
DY,Dividend Yield,Valuation,%,,,,,,,,,,,
PAYOUT,Payout,Valuation,%,,,,,,,,,,,
ROE,ROE,Rentabilidade,%,2.0925,0.602,1.9863,9.0172,3.3724,25.7538,14.6529,92.1451,-616.4107,-98.1433,-98.1433
ROA,ROA,Rentabilidade,%,0.8689,0.2426,0.8082,3.753,1.4028,9.9368,4.8287,21.4141,45.0512,27.6042,27.6042
ROIC,ROIC,Rentabilidade,%,5.4036,5.7223,5.8682,7.6433,2.3109,1.7155,4.1287,-14.1443,-137.114,-179.5877,-179.5877
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,10.2785,10.6695,14.9313,29.4085,12.1208,9.3268,12.3747,-12.4436,-86.8931,-59.2203,-59.2203
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,0.9959,0.2744,0.9835,8.0777,3.2143,20.9071,8.9251,51.8122,155.2822,128.6513,128.6513
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,3.4594,3.7336,2.6959,2.2948,4.8588,5.4765,3.6956,-5.1915,-1.7709,-3.3382,-3.3382
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.7471,0.8958,0.7699,0.7035,0.6042,0.7091,0.7945,2.0769,-1.4579,-1.1898,-1.1898
ICJ,ICJ,Endividamento,x,0.7203,0.6591,0.8525,1.0373,0.2995,0.1922,0.3766,-0.5738,-1.5485,-1.1246,-1.1246
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,55.449,47.1749,42.4691,55.0489,57.4022,63.3122,92.5404,63.5622,95.1282,63.3628,63.3628
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.7083,1.6661,1.7625,1.2984,1.3253,1.2457,0.9581,0.6612,0.2486,0.2665,0.2665
LIQ_SECA,Liquidez Seca,Liquidez,x,0.9348,0.98,1.057,0.9444,0.9258,0.8771,0.6232,0.3926,0.1365,0.1478,0.1478
LIQ_GERAL,Liquidez Geral,Liquidez,x,1.1073,1.1015,1.0982,1.1296,0.9856,0.8851,0.8522,0.5586,0.3112,0.2389,0.2389
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.8725,0.8789,0.8079,0.4284,0.4317,0.4851,0.5384,0.4517,0.337,0.2082,0.2082
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,190.6873,165.3577,164.7364,242.6685,208.6012,188.5217,177.8715,77.3518,25.2716,-44.0819,-44.0819
PME,PME,Eficiência,dias,142.9438,119.1777,119.5106,154.3078,142.669,141.2492,167.9369,122.2301,115.8245,147.5908,147.5908
NCG_RECEITA,NCG/Receita,Eficiência,%,43.3081,38.2455,38.563,56.6437,49.7531,45.4446,37.6052,-3.5002,-66.3481,-137.4197,-137.4197
