cd_conta,ds_conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3
3.01,Receita de Venda de Bens e/ou Serviços,548326.0,508542.0,601025.0,609202.0,602627.0,518192.0,616638.0,573814.0,516201.0,540403.0,568821.0,573270.0,528860.0,5176.0,105821.0,741332.0,340663.0,328225.0,380431.0,373198.0,302414.0,263295.0,439794.0,529576.0,430358.0,385027.0,453582.0,451756.0,381276.0,317322.0,296594.0,222253.0,171342.0,168158.0,165468.0,181474.0,115039.0,87100.0,105108.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-411317.0,-367492.0,-439417.0,-438909.0,-444127.0,-373589.0,-454384.0,-420201.0,-381091.0,-403746.0,-414493.0,-421806.0,-388825.0,5703.0,-101292.0,-461272.0,-243280.0,-233644.0,-254167.0,-241486.0,-208457.0,-165941.0,-295771.0,-358657.0,-271524.0,-245288.0,-291903.0,-301087.0,-257661.0,-260428.0,-277352.0,-259403.0,-186554.0,-151390.0,-159191.0,-178956.0,-123429.0,-99511.0,-95318.0
3.03,Resultado Bruto,137009.0,141050.0,161608.0,170293.0,158500.0,144603.0,162254.0,153613.0,135110.0,136657.0,154328.0,151464.0,140035.0,527.0,4529.0,280060.0,97383.0,94581.0,126264.0,131712.0,93957.0,97354.0,144023.0,170919.0,158834.0,139739.0,161679.0,150669.0,123615.0,56894.0,19242.0,-37150.0,15212.0,16768.0,6277.0,-27906.0,8390.0,12411.0,9790.0
3.04,Despesas/Receitas Operacionais,-110555.0,-91192.0,-119689.0,-134187.0,-114602.0,-103136.0,-105264.0,-127029.0,-99477.0,-95285.0,-102704.0,-99198.0,-105338.0,-365.0,-7078.0,-65861.0,-87758.0,-84047.0,-97621.0,-102631.0,-146584.0,-118487.0,-124013.0,-68046.0,-130586.0,-120922.0,-131878.0,-116349.0,-110175.0,-121185.0,-107722.0,-73219.0,-114735.0,-315937.0,-95010.0,-173906.0,-90926.0,-76488.0,-69527.0
3.04.02,Despesas Gerais e Administrativas,-31370.0,-33765.0,-34821.0,-48766.0,-34395.0,-32354.0,-30789.0,-47848.0,-31262.0,-32743.0,-30689.0,-47750.0,-34237.0,-1004.0,-1906.0,-83856.0,-25758.0,-26831.0,-28275.0,-34788.0,-28565.0,-24872.0,-27827.0,-45236.0,-29881.0,-29377.0,-30124.0,-48282.0,-29409.0,-35051.0,-36619.0,-49596.0,-32668.0,-31698.0,-30499.0,-48167.0,-24659.0,-23854.0,-22107.0
3.04.05,Outras Despesas Operacionais,-3894.0,-15463.0,-12216.0,-31573.0,-7800.0,-3139.0,-1922.0,-8020.0,-1961.0,-6072.0,-599.0,-8632.0,-2940.0,-1532.0,-6908.0,-8316.0,-5785.0,-7871.0,-1984.0,-15640.0,-726.0,-11318.0,-6106.0,-18150.0,-9471.0,-1359.0,-10152.0,-20982.0,-4242.0,-17.0,-5267.0,-9526.0,-25453.0,-207218.0,-17459.0,-35411.0,-14261.0,-13526.0,-1014.0
3.04.05.02,Depreciação e amortização,-2145.0,17140.0,-10283.0,,-5881.0,-1328.0,1454.0,,0.0,8333.0,3409.0,,0.0,1432.0,9767.0,,8647.0,10456.0,4887.0,,2192.0,-8838.0,-3188.0,,-6312.0,1595.0,-7055.0,,-461.0,3496.0,-1291.0,,-21403.0,1116.0,-8914.0,-9472.0,-10852.0,-11003.0,2701.0
3.04.06,Resultado de Equivalência Patrimonial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7159.0,-51134.0,-5885.0,2785.0,54234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-1345.0,-502.0,-253.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,26454.0,49858.0,41919.0,36106.0,43898.0,41467.0,56990.0,26584.0,35633.0,41372.0,51624.0,52266.0,34697.0,892.0,11607.0,214199.0,9625.0,10534.0,28643.0,29081.0,-52627.0,-21133.0,20010.0,102873.0,28248.0,18817.0,29801.0,34320.0,13440.0,-64291.0,-88480.0,-110369.0,-129947.0,-299169.0,-88733.0,-171388.0,-99316.0,-88899.0,-59737.0
3.06,Resultado Financeiro,-20930.0,-48990.0,-28059.0,-20788.0,-64144.0,-56458.0,-57087.0,-55844.0,-47307.0,-51050.0,-37802.0,-49077.0,-41004.0,-31730.0,17603.0,-140907.0,-44182.0,-33649.0,-92583.0,-54543.0,-80329.0,-43900.0,-53139.0,-53417.0,-59127.0,-60464.0,-66079.0,-79957.0,-78125.0,-96218.0,-85883.0,-96802.0,-81926.0,-140999.0,-85264.0,-56037.0,-69063.0,-79167.0,-7662.0
