codigo,nome,categoria,unidade,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,LTM
P_L,P/L,Valuation,x,-0.0,0.0001,0.2707,0.4893,-2.4669,2.7936,1.9468,4.9048,1.1844,1.5774,2.0033
P_VPA,P/VPA,Valuation,x,,,,,,-1.0626,-1.4614,-1.6735,-4.6934,275.9637,350.474
EV_EBITDA,EV/EBITDA,Valuation,x,,,,,,3.9582,4.1592,3.9902,2.6755,2.4503,2.7803
EV_EBIT,EV/EBIT,Valuation,x,,,,,,3.9582,4.1592,3.9902,2.6755,2.4503,2.7803
EV_RECEITA,EV/Receita,Valuation,x,,,,,,0.4406,0.4815,0.4279,0.4155,0.3389,0.3846
DY,Dividend Yield,Valuation,%,,,,,,,,,,,
PAYOUT,Payout,Valuation,%,,,,,,,,,,,
ROE,ROE,Rentabilidade,%,-152.7379,-22.7096,-60.3871,-36.1665,-15.3795,-15.0698,-31.603,-13.5269,-94.864,-205.3068,-205.3068
ROA,ROA,Rentabilidade,%,53.7366,8.3632,18.1636,10.6552,6.2807,5.997,8.7615,2.6312,11.848,7.9976,7.9976
ROIC,ROIC,Rentabilidade,%,55.1238,-7.4409,164.7667,-10.4233,243.0281,3661.987,79.3145,48.8119,53.0901,53.5428,53.5428
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,-9.666,1.3197,16.2947,-0.4504,5.7551,11.1305,11.5776,10.7232,15.5303,13.832,13.832
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,34.5356,5.3807,11.564,6.7036,3.8204,3.4654,5.8738,1.5352,7.0506,4.7294,4.7294
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,-1.1419,10.0028,1.2211,-57.5388,4.9465,1.9283,2.1838,2.3389,1.4947,1.2282,1.2282
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,-0.4882,-0.53,-1.4882,-1.1237,-1.0581,-1.0094,-1.6156,-2.3702,-5.9416,277.3549,277.3549
ICJ,ICJ,Endividamento,x,-0.3416,0.0677,1.9947,-0.054,0.5688,1.4937,1.1955,1.0249,1.3074,1.7084,1.7084
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,64.3673,85.4763,90.6776,91.8324,80.3284,81.9494,86.3703,76.6531,54.36,48.6729,48.6729
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,0.5677,0.4149,0.6647,0.544,0.5748,0.5777,0.5685,0.6529,0.8725,0.9672,0.9672
LIQ_SECA,Liquidez Seca,Liquidez,x,0.4187,0.3249,0.545,0.3926,0.4589,0.3916,0.432,0.5142,0.673,0.7301,0.7301
LIQ_GERAL,Liquidez Geral,Liquidez,x,0.3467,0.3768,0.4413,0.3843,0.4043,0.4287,0.5563,0.5756,0.6243,0.7025,0.7025
GIRO_ATIVO,Giro do Ativo,Eficiência,x,1.556,1.5438,1.6002,1.657,1.6116,1.7083,1.3364,1.702,1.719,1.6717,1.6717
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,-24.101,13.0299,30.7088,30.3577,32.3161,9.96,-5.1518,22.6771,26.3091,28.1434,28.1434
PME,PME,Eficiência,dias,40.6441,30.4636,34.7812,46.2579,30.2353,45.4082,39.2074,32.8619,39.005,48.2482,48.2482
NCG_RECEITA,NCG/Receita,Eficiência,%,-14.158,-19.9761,3.0401,1.1475,3.6668,-0.6695,-3.5162,3.7923,7.5008,3.3089,3.3089
