codigo,nome,categoria,unidade,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,29.0947,5.1707,9.5705,6.3513,6.3513
P_VPA,P/VPA,Valuation,x,1.5823,0.9358,0.9083,,
DY,Dividend Yield,Valuation,%,,3.9798,17.8,10.7277,10.7277
PAYOUT,Payout,Valuation,%,,20.5786,170.3543,68.1348,68.1348
ROE,ROE,Rentabilidade,%,5.4383,19.1952,9.9068,,
ROA,ROA,Rentabilidade,%,0.2953,0.972,0.428,2.0186,2.0186
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,3.2112,8.703,3.6276,5.4479,5.4479
NIM,NIM,Rentabilidade,%,0.2002,1.26,2.307,8.8852,8.8852
INDICE_COBERTURA,Índice de Cobertura,Qualidade Ativos,%,,,,,
INDICE_EFICIENCIA,Índice de Eficiência,Eficiência,%,190.6032,22.8227,96.324,72.9807,72.9807
LOAN_DEPOSIT,Loan-to-Deposit,Estrutura,%,,,,65.0498,65.0498
PL_ATIVOS,PL/Ativos,Estrutura,%,5.4303,4.7783,3.9709,,
