codigo,nome,categoria,unidade,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,LTM
P_L,P/L,Valuation,x,-1.3703,-1.1822,3.6905,1.6839,-6.1233,-1.754,-3.505,-0.3835,-0.3519,-0.5371,-0.0648
P_VPA,P/VPA,Valuation,x,0.0711,0.0774,0.124,0.1374,0.1919,0.2466,0.2083,0.1992,-0.4455,-0.3133,-0.0378
EV_EBITDA,EV/EBITDA,Valuation,x,4.8333,8.6685,3.8209,2.5327,12.1525,11.6183,5.4106,-10.3514,-2.6178,-4.6609,-4.0272
EV_EBIT,EV/EBIT,Valuation,x,28.9293,22.9358,5.0216,3.4511,51.819,40.6805,9.2547,-5.4123,-1.926,-2.955,-2.5532
EV_RECEITA,EV/Receita,Valuation,x,0.4095,0.4675,0.5288,0.8964,0.8847,0.8646,0.6797,0.7931,1.9492,2.5795,2.2288
DY,Dividend Yield,Valuation,%,,,,,,,,,,,
PAYOUT,Payout,Valuation,%,,,,,,,,,,,
ROE,ROE,Rentabilidade,%,5.0795,10.2709,4.9395,14.1077,2.3621,22.0291,9.8498,63.5909,1357.3548,-157.3062,-157.3062
ROA,ROA,Rentabilidade,%,2.2882,4.3335,2.0076,5.9399,0.9898,8.4304,3.3316,17.1886,39.0966,25.3255,25.3255
ROIC,ROIC,Rentabilidade,%,0.9836,1.457,6.7318,9.687,0.679,0.9791,4.1291,-8.2344,-71.422,-63.4645,-63.4645
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,8.4731,5.3929,13.8394,35.3945,7.2798,7.4413,12.5618,-7.6615,-74.4598,-55.3445,-55.3445
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,2.955,5.4337,2.6785,13.0187,2.2728,18.2739,6.3928,44.0126,158.6929,138.1056,138.1056
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,4.3452,7.9592,3.3056,2.1396,9.6241,9.1193,4.3754,-9.1131,-2.1981,-3.9403,-3.9403
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.6329,0.8688,0.7957,0.7479,0.7306,0.9,0.8805,1.4659,-2.3332,-1.7132,-1.7132
ICJ,ICJ,Endividamento,x,0.1526,0.1847,1.0991,1.4676,0.1051,0.1366,0.4202,-0.4123,-1.4376,-0.9548,-0.9548
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,63.1,55.5889,50.8205,58.9057,59.5352,61.6021,85.9395,66.7097,93.3929,65.4972,65.4972
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.6021,1.4055,1.4267,1.2015,1.1636,1.1158,0.9438,0.6757,0.2809,0.294,0.294
LIQ_SECA,Liquidez Seca,Liquidez,x,0.912,0.8426,0.8561,0.8515,0.7913,0.7823,0.6302,0.4358,0.1621,0.1596,0.1596
LIQ_GERAL,Liquidez Geral,Liquidez,x,1.1646,1.0377,1.0192,1.1537,0.9949,0.876,0.8702,0.5989,0.3639,0.2964,0.2964
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.7744,0.7963,0.7283,0.4178,0.4329,0.464,0.5231,0.4272,0.284,0.1786,0.1786
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,195.3483,166.9046,166.1439,238.1881,199.6031,178.8874,160.1859,74.4861,40.9925,-28.0313,-28.0313
PME,PME,Eficiência,dias,143.4931,114.8266,118.1092,150.7255,136.9693,129.8703,148.132,110.4144,122.0068,166.0472,166.0472
NCG_RECEITA,NCG/Receita,Eficiência,%,45.3964,37.1509,36.9326,56.927,48.6542,46.5048,40.4691,4.0146,-58.3777,-130.0093,-130.0093
