cd_conta_padrao,ds_conta_padrao,2017-T4,2018-T1,2018-T2,2018-T3,2018-T4,2019-T1,2019-T2,2019-T3,2019-T4,2020-T1,2020-T2,2020-T3,2020-T4,2021-T1,2021-T2,2021-T3,2021-T4,2022-T1,2022-T2,2022-T3,2022-T4,2023-T1,2023-T2,2023-T3,2023-T4,2024-T1,2024-T2,2024-T3,2024-T4,2025-T1,2025-T2,2025-T3
2,Passivo Total,16697363.0,16140349.0,16414235.0,17453139.0,17368931.0,17466879.0,18039455.0,18548955.0,19573480.0,19832480.0,22180300.0,24861671.0,28166559.0,28739443.0,31095958.0,33436606.0,34250370.0,34096289.0,40719133.0,43341785.0,44588270.0,44077780.0,43832142.0,44002223.0,43719364.0,46147582.0,46167919.0,45062141.0,48437791.0,50599751.0,48301069.0,48255437.0
2.01,Passivo Circulante,244707.0,0.0,119914.0,149364.0,84008.0,124997.0,85162.0,126750.0,130857.0,383279.0,618508.0,1797411.0,109042.0,93321.0,131725.0,140725.0,65332.0,256498.0,154283.0,92125.0,52361.0,119996.0,151599.0,77701.0,137382.0,105979.0,86706.0,71997.0,203278.0,111199.0,154478.0,129698.0
2.01.01,Obrigações Sociais e Trabalhistas,236157.0,,119914.0,149364.0,84008.0,104992.0,85162.0,25005.0,130857.0,110001.0,329311.0,1711150.0,103042.0,93321.0,131725.0,140725.0,65332.0,256498.0,154283.0,92125.0,52361.0,119996.0,151599.0,77701.0,137382.0,105979.0,86706.0,71997.0,203278.0,111199.0,154478.0,129698.0
2.01.02,Fornecedores,8550.0,,,,0.0,20005.0,0.0,101745.0,0.0,273278.0,289197.0,86261.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.01.03,Obrigações Fiscais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.01.04,Empréstimos e Financiamentos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.01.05,Outras Obrigações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.01.06,Provisões,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02,Passivo Não Circulante,0.0,212038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02.01,Empréstimos e Financiamentos,,212038.0,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,
2.02.02,Outras Obrigações,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,
2.02.03,Tributos Diferidos,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,
2.02.04,Provisões,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,
2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02.06,Lucros e Receitas a Apropriar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.03,Patrimônio Líquido Consolidado,12587871.0,12447034.0,12494601.0,13156097.0,13184496.0,13107343.0,13571173.0,14159735.0,13520136.0,13729393.0,15436494.0,16781181.0,21527471.0,22604121.0,24812271.0,27177407.0,28040991.0,27704774.0,33962835.0,36495719.0,37552337.0,36917942.0,36601097.0,36510703.0,36592073.0,39185039.0,38981845.0,38447704.0,41829329.0,44012858.0,41370189.0,41153208.0
2.03.01,Capital Social Realizado,1005943.0,8474560.0,8726872.0,9349285.0,9373537.0,9363520.0,9697181.0,10045510.0,10169228.0,10294640.0,11144310.0,12066376.0,12392917.0,12796442.0,14692057.0,16370407.0,17211181.0,18806490.0,20153919.0,22291302.0,24436752.0,24641207.0,25192862.0,26002249.0,26481832.0,29104378.0,29394283.0,26665161.0,25009524.0,25663329.0,25692200.0,23462030.0
2.03.02,Reservas de Capital,8346725.0,951662.0,895288.0,849303.0,774930.0,703745.0,633472.0,566519.0,505589.0,442258.0,382741.0,761154.0,1904124.0,1801117.0,1705467.0,1598310.0,1536250.0,1415836.0,1290269.0,2378043.0,2836177.0,2751782.0,59390.0,52336.0,45495.0,39517.0,33483.0,28436.0,23851.0,19627.0,16885.0,14778.0
2.03.03,Reservas de Reavaliação,540446.0,512739.0,519309.0,511927.0,536858.0,540868.0,540759.0,538177.0,712225.0,775701.0,790728.0,788648.0,768781.0,794722.0,761297.0,509239.0,562573.0,575430.0,604954.0,590580.0,593459.0,607184.0,616158.0,636944.0,655403.0,721149.0,740668.0,659708.0,1931958.0,2144140.0,2097626.0,2164336.0
2.03.04,Reservas de Lucros,1103970.0,931985.0,556379.0,557953.0,476479.0,413636.0,557908.0,659614.0,667446.0,693329.0,1503017.0,2459616.0,3401239.0,3369457.0,1681255.0,893688.0,1937649.0,1955166.0,2324208.0,2674170.0,1664092.0,1717850.0,3441421.0,3357047.0,3867869.0,3827802.0,4587779.0,5557044.0,5855399.0,6236300.0,7792639.0,8096860.0
