codigo,nome,categoria,unidade,2018,2019,2020,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,,8.0571,6.5455,6.5044,13.9226,5.2794,6.8272,5.3259,5.3259
P_VPA,P/VPA,Valuation,x,,0.7718,0.4888,0.2928,0.2203,0.3628,0.4328,0.4743,0.4743
DY,Dividend Yield,Valuation,%,,,,,,,88.4465,146.6016,146.6016
PAYOUT,Payout,Valuation,%,,,,,,,603.8414,780.7827,780.7827
ROE,ROE,Rentabilidade,%,8.381,11.6492,7.5429,4.3168,1.643,6.9119,6.5064,9.0362,9.0362
ROA,ROA,Rentabilidade,%,1.2657,2.1104,1.299,0.5516,0.1658,0.6505,0.6062,0.8778,0.8778
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,7.5259,11.0989,7.7021,3.7498,1.0344,3.88,3.1951,4.4662,4.4662
NIM,NIM,Rentabilidade,%,13.1115,17.0276,15.9029,10.697,8.0296,7.2377,12.4895,9.2536,9.2536
INDICE_COBERTURA,Índice de Cobertura,Qualidade Ativos,%,,,,,,,,,
INDICE_EFICIENCIA,Índice de Eficiência,Eficiência,%,76.0059,93.4723,87.7981,102.1842,109.5914,94.6696,97.4135,92.9484,92.9484
LOAN_DEPOSIT,Loan-to-Deposit,Estrutura,%,,,,,,,,,
PL_ATIVOS,PL/Ativos,Estrutura,%,15.1023,20.7901,14.7424,11.1646,9.2645,9.5616,9.0974,9.5302,9.5302
