cd_conta,ds_conta,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4
3.01,Receitas de Intermediação Financeira,254642.0,271862.1590909091,289082.3181818182,306302.4772727273,323522.63636363635,340742.79545454547,357962.9545454546,375183.11363636365,392403.2727272727,409623.4318181818,426843.59090909094,444063.75,461283.9090909091,478504.06818181823,495724.2272727273,512944.38636363635,530164.5454545454,547384.7045454546,564604.8636363636,581825.0227272727,599045.1818181819,616265.3409090909,633485.5,650705.6590909092,667925.8181818182,685145.9772727273,702366.1363636365,719586.2954545454,736806.4545454546,754026.6136363636,771246.7727272727,788466.9318181819,805687.0909090909,822907.25,840127.4090909092,857347.5681818182,874567.7272727273,891787.8863636364,909008.0454545455,926228.2045454546,943448.3636363636,960668.5227272728,977888.6818181819,995108.8409090909,1012329.0,1321156.0,1331646.0,1417082.0,1430272.0,493879.0,1601928.0,2445959.0
3.02,Despesas de Intermediação Financeira,-115168.0,-127498.61363636363,-139829.22727272726,-152159.8409090909,-164490.45454545453,-176821.06818181818,-189151.68181818182,-201482.29545454547,-213812.9090909091,-226143.5227272727,-238474.13636363635,-250804.75,-263135.36363636365,-275465.9772727273,-287796.59090909094,-300127.20454545453,-312457.8181818182,-324788.4318181818,-337119.0454545454,-349449.65909090906,-361780.2727272727,-374110.88636363635,-386441.5,-398772.11363636365,-411102.7272727273,-423433.3409090909,-435763.95454545453,-448094.5681818182,-460425.1818181818,-472755.79545454547,-485086.40909090906,-497417.0227272727,-509747.63636363635,-522078.25,-534408.8636363636,-546739.4772727273,-559070.0909090908,-571400.7045454546,-583731.3181818181,-596061.9318181819,-608392.5454545454,-620723.1590909091,-633053.7727272727,-645384.3863636364,-657715.0,-867817.0,-983519.0,-1040582.0,-1159696.0,-446534.0,-1260755.0,-1761004.0
3.03,Resultado Bruto de Intermediação Financeira,139474.0,144363.54545454544,149253.0909090909,154142.63636363635,159032.18181818182,163921.72727272726,168811.27272727274,173700.81818181818,178590.36363636365,183479.9090909091,188369.45454545456,193259.0,198148.54545454547,203038.0909090909,207927.63636363635,212817.18181818182,217706.7272727273,222596.27272727274,227485.81818181818,232375.36363636365,237264.90909090912,242154.45454545456,247044.0,251933.54545454547,256823.0909090909,261712.63636363635,266602.1818181818,271491.7272727273,276381.2727272727,281270.81818181823,286160.36363636365,291049.9090909091,295939.4545454546,300829.0,305718.54545454547,310608.09090909094,315497.63636363635,320387.1818181818,325276.7272727273,330166.2727272727,335055.81818181823,339945.36363636365,344834.9090909091,349724.4545454546,354614.0,453339.0,348127.0,376500.0,270576.0,47345.0,341173.0,684955.0
3.04,Outras Despesas e Receitas Operacionais,-57018.0,-58987.84090909091,-60957.681818181816,-62927.52272727273,-64897.36363636363,-66867.20454545454,-68837.04545454546,-70806.88636363637,-72776.72727272726,-74746.56818181818,-76716.40909090909,-78686.25,-80656.09090909091,-82625.93181818182,-84595.77272727274,-86565.61363636363,-88535.45454545454,-90505.29545454546,-92475.13636363635,-94444.97727272726,-96414.81818181818,-98384.65909090909,-100354.5,-102324.34090909091,-104294.18181818182,-106264.02272727274,-108233.86363636363,-110203.70454545454,-112173.54545454546,-114143.38636363635,-116113.22727272726,-118083.06818181818,-120052.90909090909,-122022.75,-123992.59090909091,-125962.43181818181,-127932.27272727272,-129902.11363636363,-131871.95454545453,-133841.79545454547,-135811.63636363635,-137781.47727272726,-139751.31818181818,-141721.1590909091,-143691.0,-240898.0,-89371.0,-159786.0,-177529.0,-62553.0,-118620.0,-273200.0
3.05,Resultado antes dos Tributos sobre o Lucro,82456.0,85375.70454545454,88295.40909090909,91215.11363636363,94134.81818181818,97054.52272727274,99974.22727272726,102893.93181818182,105813.63636363637,108733.34090909091,111653.04545454546,114572.75,117492.45454545454,120412.15909090909,123331.86363636365,126251.56818181818,129171.27272727274,132090.97727272726,135010.68181818182,137930.38636363635,140850.0909090909,143769.79545454547,146689.5,149609.20454545453,152528.9090909091,155448.61363636365,158368.31818181818,161288.02272727274,164207.7272727273,167127.43181818182,170047.13636363635,172966.8409090909,175886.54545454547,178806.25,181725.95454545453,184645.6590909091,187565.36363636365,190485.06818181818,193404.77272727274,196324.4772727273,199244.18181818182,202163.88636363635,205083.5909090909,208003.29545454547,210923.0,212441.0,258756.0,216714.0,93047.0,-15208.0,222553.0,411755.0
3.06,Imposto de Renda e Contribuição Social sobre o Lucro,-25776.0,-26039.590909090908,-26303.18181818182,-26566.772727272728,-26830.363636363636,-27093.954545454544,-27357.545454545456,-27621.136363636364,-27884.727272727272,-28148.31818181818,-28411.909090909092,-28675.5,-28939.090909090908,-29202.681818181816,-29466.272727272728,-29729.863636363636,-29993.454545454544,-30257.045454545456,-30520.636363636364,-30784.227272727272,-31047.81818181818,-31311.40909090909,-31575.0,-31838.590909090908,-32102.181818181816,-32365.772727272728,-32629.363636363636,-32892.954545454544,-33156.545454545456,-33420.13636363636,-33683.72727272727,-33947.318181818184,-34210.90909090909,-34474.5,-34738.09090909091,-35001.681818181816,-35265.27272727273,-35528.86363636363,-35792.454545454544,-36056.045454545456,-36319.63636363636,-36583.22727272727,-36846.81818181818,-37110.40909090909,-37374.0,-21276.0,-34556.0,-13449.0,55469.0,48072.0,4119.0,-5442.0
3.07,Lucro ou Prejuízo das Operações Continuadas,56680.0,59336.11363636364,61992.22727272727,64648.34090909091,67304.45454545454,69960.56818181818,72616.68181818182,75272.79545454546,77928.90909090909,80585.02272727274,83241.13636363637,85897.25,88553.36363636365,91209.47727272726,93865.59090909091,96521.70454545454,99177.81818181818,101833.93181818182,104490.04545454546,107146.15909090909,109802.27272727274,112458.38636363637,115114.5,117770.61363636365,120426.72727272728,123082.84090909091,125738.95454545454,128395.06818181819,131051.18181818182,133707.29545454547,136363.4090909091,139019.52272727274,141675.63636363635,144331.75,146987.86363636365,149643.9772727273,152300.0909090909,154956.20454545453,157612.31818181818,160268.43181818182,162924.54545454547,165580.65909090912,168236.77272727274,170892.88636363635,173549.0,191165.0,224200.0,203265.0,148516.0,32864.0,226672.0,406313.0
3.08,Resultado Líquido das Operações Descontinuadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.09,Lucro ou Prejuízo antes das Participações e Contribuições Estatutárias,56680.0,59336.11363636364,61992.22727272727,64648.34090909091,67304.45454545454,69960.56818181818,72616.68181818182,75272.79545454546,77928.90909090909,80585.02272727274,83241.13636363637,85897.25,88553.36363636365,91209.47727272726,93865.59090909091,96521.70454545454,99177.81818181818,101833.93181818182,104490.04545454546,107146.15909090909,109802.27272727274,112458.38636363637,115114.5,117770.61363636365,120426.72727272728,123082.84090909091,125738.95454545454,128395.06818181819,131051.18181818182,133707.29545454547,136363.4090909091,139019.52272727274,141675.63636363635,144331.75,146987.86363636365,149643.9772727273,152300.0909090909,154956.20454545453,157612.31818181818,160268.43181818182,162924.54545454547,165580.65909090912,168236.77272727274,170892.88636363635,173549.0,191165.0,224200.0,203265.0,148516.0,32864.0,226672.0,406313.0
3.10,Participações nos Lucros e Contribuições Estatutárias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2461.0,0.0,0.0,0.0,-13512.0
