cd_conta_padrao,ds_conta_padrao,2015-T4,2016-T4,2017-T4,2018-T4,2019-T4,2020-T4,2021-T4,2022-T1,2022-T2,2022-T3,2022-T4,2023-T1,2023-T2,2023-T3,2023-T4
1,Ativo Total,23739064.0,25485680.0,27182558.0,30115408.0,32645825.0,40239343.0,43342903.0,44378863.0,47616604.0,49630454.0,57252350.0,54143868.0,54898179.0,56672337.0,60510713.0
1.01,Ativo Circulante,46781.0,10292.0,18176.0,29378.0,297187.0,513293.0,731091.0,362712.0,553937.0,506227.0,329879.0,324330.0,371967.0,106930.0,647009.0
1.01.01,Caixa e Equivalentes de Caixa,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371967.0,106930.0,647009.0
1.01.02,Aplicações Financeiras,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.03,Contas a Receber,,,,,,,,,,,,,,,
1.01.04,Estoques,,,,,,,,,,,,,,,
1.01.05,Ativos Biológicos,,,,,,,,,,,,,,,
1.01.06,Tributos a Recuperar,,,,,,,,,,,,,,,
1.01.07,Despesas Antecipadas,,,,,,,,,,,,,,,
1.01.08,Outros Ativos Circulantes,,,,,,,,,,,,,,,
1.02,Ativo Não Circulante,10182383.0,11557681.0,12099354.0,29045549.0,31090913.0,37519282.0,39964176.0,41080890.0,43956134.0,45671323.0,46887005.0,45757143.0,48456619.0,48714777.0,51018649.0
1.02.01,Ativo Realizável a Longo Prazo,9323521.0,10767642.0,11596968.0,5299496.0,3079766.0,3040948.0,18056.0,14423.0,14923.0,14988.0,12556.0,11930.0,9935.0,10145.0,52566.0
1.02.02,Investimentos,858862.0,790039.0,502386.0,371938.0,1897940.0,0.0,7724259.0,9179603.0,8161298.0,6703456.0,5395869.0,8253807.0,8315008.0,8594495.0,8185224.0
1.02.03,Imobilizado,,,,23374115.0,26113207.0,2171380.0,1810201.0,2056382.0,2503309.0,2602450.0,2848730.0,2510126.0,3838534.0,2349652.0,1657284.0
1.02.04,Intangível,,,,,,32306954.0,30411660.0,29830482.0,33276604.0,36350429.0,38629850.0,34981280.0,36293142.0,37760485.0,41123575.0
