codigo,nome,categoria,unidade,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,LTM
VALOR_MERCADO,Valor de Mercado,Valuation,R$ mil,1351050.9,2184971.11,2783490.41,727488.95,1795557.92,3560527.8,1684965.22,3341611.7,1907653.52,1315534.34,559938.79,986007.15,563800.43,1459702.49,1388905.63
P_L,P/L,Valuation,x,21.0261,18.7879,13.0152,4.5167,7.7916,18.0303,8.3713,24.5036,11.5592,25.0659,-2.5206,-35.1593,-485.1983,13.31,12.6644
P_VPA,P/VPA,Valuation,x,6.9931,4.8408,4.4418,0.9607,1.8893,2.3605,1.1458,2.5538,1.3373,0.8992,0.4525,0.8152,0.4665,1.0984,1.0451
EV_EBITDA,EV/EBITDA,Valuation,x,15.75,12.68,10.8467,3.0164,4.2187,7.8486,2.8646,6.6202,2.7293,4.0309,5.7071,3.5732,2.5087,2.697,2.6
EV_EBIT,EV/EBIT,Valuation,x,18.5232,14.4946,12.0112,3.7922,5.8747,11.5753,4.5412,12.3615,5.8034,8.2299,-44.7772,7.4667,4.8441,5.727,5.5209
EV_RECEITA,EV/Receita,Valuation,x,4.9959,4.3595,3.9071,0.8107,1.5504,2.406,0.8478,2.5214,1.4535,1.0378,0.6472,0.8453,0.5841,0.9075,0.8749
DY,Dividend Yield,Valuation,%,1.4283,0.8832,0.6933,2.6525,1.0747,0.6008,1.1773,0.5937,1.0399,1.508,3.5428,2.0119,3.5186,1.359,1.4283
PAYOUT,Payout,Valuation,%,30.0314,16.5929,9.023,11.9809,8.3737,10.8331,9.8558,14.5467,12.0204,37.7983,-8.9299,-70.7376,-1707.2002,18.0885,18.0885
ROE,ROE,Rentabilidade,%,33.2591,36.0855,39.6773,23.2772,26.9903,16.0628,13.5135,9.8144,12.0684,3.6326,-16.4517,-2.2921,-0.0961,8.5763,8.5763
ROA,ROA,Rentabilidade,%,16.9411,19.6671,20.8391,10.3988,11.9182,8.7254,8.1532,5.4672,5.8412,1.6974,-6.8515,-0.8151,-0.0335,3.2339,3.2339
ROIC,ROIC,Rentabilidade,%,19.5901,35.1935,25.316,16.7998,21.7892,18.5383,18.1749,14.5058,15.4671,7.2837,-0.9073,7.7239,8.7507,12.345,12.345
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,31.72,34.3806,36.021,26.8753,36.7499,30.6551,29.5942,38.0871,53.2573,25.7458,11.3396,23.657,23.2852,33.6496,33.6496
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,22.6825,25.4612,30.3324,15.7866,20.4773,16.0316,15.9431,10.6876,13.1978,3.7292,-13.2519,-1.5317,-0.0586,5.0599,5.0599
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,0.7146,-1.2337,-0.1131,0.3632,-0.1228,-1.5806,-1.6452,-0.2557,-0.1352,0.4002,2.7614,1.2968,1.2866,0.6956,0.6956
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.3324,-0.4292,-0.0458,0.1315,-0.0534,-0.3957,-0.418,-0.095,-0.0631,0.0991,0.4242,0.4644,0.4912,0.3818,0.3818
ICJ,ICJ,Endividamento,x,4.161,4.4147,5.5335,2.0314,2.1325,1.9004,2.3227,1.5024,2.3265,1.0725,-0.0763,0.6983,0.7526,1.1093,1.1093
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,47.7345,16.5399,30.818,12.9294,28.4583,9.2756,43.5788,50.5753,27.7113,46.1644,25.0083,28.221,30.3301,35.5077,35.5077
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,0.8598,4.3964,1.8271,1.8372,1.9236,4.287,2.8081,1.5858,2.4065,1.3826,1.3629,1.3322,1.3493,1.2736,1.2736
LIQ_SECA,Liquidez Seca,Liquidez,x,0.8598,4.3964,1.8271,1.8372,1.9236,4.287,2.8081,1.5858,2.4065,1.3826,1.3629,1.3322,1.3493,1.2736,1.2736
LIQ_GERAL,Liquidez Geral,Liquidez,x,0.4417,1.1847,0.7736,0.7367,0.898,1.4133,1.3715,0.6972,0.8114,0.6265,0.5139,0.4837,0.537,0.5899,0.5899
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.7469,0.5686,0.5644,0.5519,0.5575,0.4912,0.5196,0.4986,0.4045,0.4551,0.4942,0.5248,0.5733,0.6454,0.6454
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,47.453,48.7069,79.4735,54.0989,66.3261,72.4291,31.7485,60.8082,81.0482,78.9904,80.4445,85.6422,82.0708,81.5096,81.5096
PME,PME,Eficiência,dias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCG_RECEITA,NCG/Receita,Eficiência,%,3.3874,6.619,8.407,-0.6818,3.2721,7.1251,-4.0458,1.8637,9.2155,7.724,9.0043,9.0888,8.9345,9.3628,9.3628
