cd_conta,ds_conta,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,67883.000,68965.000,73289.000,73148.000,106987.000,113614.000,111604.000,124556.000,154530.000,175618.000,171058.000,203861.000,269498.000,273164.000,241276.000,236323.000,285125.000,289600.000,273255.000,277400.000,308820.000,326240.000,292730.000,303995.000,317249.000,339167.000,286003.000,320067.000,304164.000,332605.000,288910.000,350307.000,308526.000,343020.000,269454.000,329463.000,306724.000,385651.000,324083.000,390900.000,380210.000,464217.000,389661.000,442255.000,424547.000,506049.000,418291.000,482047.000,450714.000,532279.000,474599.000,523762.000,539989.000,589237.000,514451.000
3.02,Custo dos Bens e/ou Serviços Vendidos,-22083.000,-26224.000,-25544.000,-28336.000,-35518.000,-45215.000,-44170.000,-55267.000,-53128.000,-64081.000,-62229.000,-87857.000,-103011.000,-127282.000,-115962.000,-131201.000,-115978.000,-137909.000,-118966.000,-138533.000,-123916.000,-148219.000,-129146.000,-155364.000,-138871.000,-153212.000,-134946.000,-149961.000,-138061.000,-146687.000,-131174.000,-164591.000,-154976.000,-138306.000,-134955.000,-152448.000,-143355.000,-173078.000,-154838.000,-174645.000,-187240.000,-227467.000,-202793.000,-225344.000,-218273.000,-236243.000,-207916.000,-219129.000,-209434.000,-235982.000,-205021.000,-236690.000,-212278.000,-233962.000,-219821.000
3.03,Resultado Bruto,45800.000,42741.000,47745.000,44812.000,71469.000,68399.000,67434.000,69289.000,101402.000,111537.000,108829.000,116004.000,166487.000,145882.000,125314.000,105122.000,169147.000,151691.000,154289.000,138867.000,184904.000,178021.000,163584.000,148631.000,178378.000,185955.000,151057.000,170106.000,166103.000,185918.000,157736.000,185716.000,153550.000,204714.000,134499.000,177015.000,163369.000,212573.000,169245.000,216255.000,192970.000,236750.000,186868.000,216911.000,206274.000,269806.000,210375.000,262918.000,241280.000,296297.000,269578.000,287072.000,327711.000,355275.000,294630.000
3.04,Despesas/Receitas Operacionais,-22593.000,-21105.000,-23707.000,-37288.000,-27690.000,-35092.000,-32840.000,-43591.000,-42966.000,-50908.000,-49668.000,-64881.000,-72214.000,-84677.000,-83416.000,-84400.000,-70141.000,-71522.000,-86914.000,-88422.000,-85701.000,-92937.000,-110686.000,-129781.000,-118009.000,-105540.000,-98929.000,-127333.000,-90625.000,-96948.000,-110485.000,-137145.000,-113328.000,-115388.000,-124770.000,-3098.000,-123076.000,-151298.000,-137073.000,-172529.000,-172402.000,-229390.000,-162454.000,-293481.000,-169617.000,-185203.000,-185803.000,-201469.000,-186950.000,-194255.000,-211546.000,-262547.000,-212675.000,-225785.000,-220217.000
3.04.02,Despesas Gerais e Administrativas,-22249.000,-20365.000,-23086.000,-33406.000,-26191.000,-33497.000,-32935.000,-42492.000,-41423.000,-48672.000,-48393.000,-61829.000,-70168.000,-82385.000,-80011.000,-81162.000,-69941.000,-75672.000,-87350.000,-89109.000,-85059.000,-93432.000,-111059.000,-128014.000,-83200.000,-88453.000,-84112.000,-107536.000,-69396.000,-91464.000,-84571.000,-114400.000,-86167.000,-100971.000,-87612.000,-119009.000,-84070.000,-107456.000,-100220.000,-118853.000,-117620.000,-115822.000,-115130.000,-137881.000,-126217.000,-142740.000,-148962.000,-159471.000,-146925.000,-151331.000,-163223.000,-178980.000,-173741.000,-171286.000,-171918.000
3.04.05,Outras Despesas Operacionais,-344.000,-740.000,-621.000,-3882.000,-1499.000,-1595.000,0.000,3094.000,-1543.000,-2236.000,-1275.000,5054.000,-2046.000,-2292.000,-3405.000,-3238.000,-200.000,4150.000,436.000,687.000,-642.000,0.000,373.000,-1272.000,962.000,0.000,-1060.000,-2864.000,0.000,0.000,-5780.000,10578.000,0.000,0.000,-13239.000,13239.000,-3910.000,-13013.000,-7575.000,-17983.000,-16813.000,-4646.000,-7915.000,-179800.000,-3039.000,-5723.000,-6877.000,-10497.000,-4064.000,-2549.000,-6439.000,-50525.000,-7399.000,-14922.000,-10830.000
3.04.06,Resultado de Equivalência Patrimonial,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-106.000,-125.000,231.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,23207.000,21636.000,24038.000,7524.000,43779.000,33307.000,34594.000,25698.000,58436.000,60629.000,59161.000,51123.000,94273.000,61205.000,41898.000,20722.000,99006.000,80169.000,67375.000,50445.000,99203.000,85084.000,52898.000,18850.000,60369.000,80415.000,52128.000,42773.000,75478.000,88970.000,47251.000,48571.000,40222.000,89326.000,9729.000,173917.000,40293.000,61275.000,32172.000,43726.000,20568.000,7360.000,24414.000,-76570.000,36657.000,84603.000,24572.000,61449.000,54330.000,102042.000,58032.000,24525.000,115036.000,129490.000,74413.000
3.06,Resultado Financeiro,-3276.000,-3486.000,-3418.000,762.000,-3071.000,-3147.000,-7712.000,-1952.000,3613.000,-686.000,1858.000,-3972.000,-8325.000,-10318.000,-15714.000,-11198.000,-11023.000,-14696.000,-17726.000,-17657.000,-17689.000,-21613.000,-5183.000,-9635.000,-721.000,-6256.000,-12943.000,-7154.000,-16601.000,-28178.000,-21750.000,-56831.000,-21787.000,-28754.000,-32768.000,-20326.000,-15274.000,-38187.000,-37373.000,-40334.000,-40535.000,-44399.000,-59797.000,-45952.000,-63218.000,-54445.000,-59443.000,-53835.000,-70617.000,-47853.000,-63874.000,-42954.000,-61845.000,-46692.000,-55218.000
3.06.01,Receitas Financeiras,919.000,795.000,1022.000,6208.000,2657.000,2454.000,2817.000,7308.000,12626.000,9526.000,11629.000,8479.000,8474.000,10117.000,16614.000,26606.000,26697.000,19955.000,18789.000,12725.000,20126.000,17238.000,22263.000,20980.000,22640.000,17544.000,15767.000,18445.000,17928.000,12625.000,13241.000,6087.000,10265.000,5399.000,7675.000,7649.000,10656.000,5238.000,9795.000,8613.000,48321.000,25036.000,26422.000,26973.000,12839.000,20461.000,17604.000,14976.000,16113.000,25616.000,24771.000,25681.000,26376.000,22378.000,28470.000
