codigo,nome,categoria,unidade,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,LTM
VALOR_MERCADO,Valor de Mercado,Valuation,R$ mil,759515519.62,286767705.76,541673964.32,486550467.55,951538534.24,758019337.14,507668659.46,1063051817.62,2178996513.23,3329711962.56,4860136856.07,1987505969.63,3105354.46
P_L,P/L,Valuation,x,6306.5961,2548.27,4224.7306,3271.9679,7200.643,31252.2558,49094.9386,38716.0009,28392.5943,17031.0714,44129.3795,8756.2789,13.6811
P_VPA,P/VPA,Valuation,x,3712.8862,668.214,1252.1813,885.0279,839.0766,684.5205,433.0132,515.0542,1027.5964,1341.4692,875.6847,353.7316,0.5527
EV_EBITDA,EV/EBITDA,Valuation,x,567.7,219.6118,328.0058,247.5662,461.4473,308.0952,192.4909,398.398,628.6388,848.7362,1407.6468,476.34,2.3208
EV_EBIT,EV/EBIT,Valuation,x,702.9364,253.7138,438.0291,337.825,568.043,394.3327,252.6299,558.71,1270.8031,1585.1702,3384.9927,1769.7051,8.6221
EV_RECEITA,EV/Receita,Valuation,x,81.1254,28.366,48.0691,36.5756,59.148,42.5597,28.4428,62.6934,123.4926,176.0327,228.2852,77.003,0.3752
DY,Dividend Yield,Valuation,%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAYOUT,Payout,Valuation,%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROE,ROE,Rentabilidade,%,58.8731,35.5468,29.7778,30.2971,15.6592,2.152,0.9126,1.7543,3.6718,8.507,2.709,4.0371,4.0371
ROA,ROA,Rentabilidade,%,4.0542,3.4624,3.3598,3.193,2.2919,0.3449,0.1347,0.3363,0.8148,1.8881,0.7778,1.5462,1.5462
ROIC,ROIC,Rentabilidade,%,26.6474,19.9682,19.032,18.8009,17.0877,16.2535,12.9333,10.8391,9.5686,9.515,5.8326,3.2795,3.2795
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,14.2902,12.9164,14.655,14.7741,12.8179,13.8138,14.7762,15.7364,19.6444,20.7406,16.2175,16.1655,16.1655
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,3.4532,2.9776,3.0578,3.0043,2.2,0.3597,0.1537,0.4766,1.2861,3.0664,1.4791,2.5063,2.5063
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,1.5898,1.9818,1.8928,1.8208,1.6647,1.9839,2.7088,2.0653,1.6032,1.8369,0.1093,1.579,1.579
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,3.8734,2.2543,2.6888,2.4219,1.1302,1.669,2.2966,0.9072,0.8863,0.9786,0.0238,0.4114,0.4114
ICJ,ICJ,Endividamento,x,1.2151,1.0124,1.0922,1.1501,0.9196,0.7938,0.6691,0.6689,0.7879,0.8982,0.8193,0.6877,0.6877
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,32.9087,28.688,21.7534,9.7181,12.0562,11.3658,15.1594,26.5309,14.6093,15.4427,12.6127,26.0656,26.0656
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.3165,1.4833,1.4995,1.6407,1.5415,1.6121,1.5631,1.8234,2.0843,1.791,2.6115,1.7167,1.7167
LIQ_SECA,Liquidez Seca,Liquidez,x,0.9949,1.1642,1.1153,1.1894,1.099,1.1598,1.0696,1.4496,1.6669,1.4539,2.2705,1.3112,1.3112
LIQ_GERAL,Liquidez Geral,Liquidez,x,0.8492,0.874,0.8218,0.8038,0.8533,0.8185,0.8089,0.9568,0.9489,0.8877,1.1344,1.1222,1.1222
GIRO_ATIVO,Giro do Ativo,Eficiência,x,1.1741,1.0682,1.0229,0.9479,0.9577,0.8732,0.8714,0.619,0.625,0.5698,0.4463,0.5921,0.5921
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,19.7179,30.2567,4.5575,-9.4263,-10.9848,-9.6486,18.1489,15.1499,-7.3488,-29.7372,-18.6315,43.4072,43.4072
PME,PME,Eficiência,dias,79.68,74.6053,85.4347,95.4681,92.2241,96.9101,104.5109,111.9502,108.5451,106.2102,104.7924,121.4529,121.4529
NCG_RECEITA,NCG/Receita,Eficiência,%,8.0938,12.3012,6.1882,1.272,-0.3612,0.1911,8.8674,11.7924,7.3038,2.6247,2.933,18.3634,18.3634
