codigo,nome,categoria,unidade,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,3.531,5.0987,6.4876,7.59,7.59
P_VPA,P/VPA,Valuation,x,,,,,
DY,Dividend Yield,Valuation,%,12.9256,10.4035,11.0161,4.4973,4.4973
PAYOUT,Payout,Valuation,%,45.6396,53.0446,71.4681,34.1347,34.1347
ROE,ROE,Rentabilidade,%,,,,,
ROA,ROA,Rentabilidade,%,1.6486,2.2487,2.2615,2.2368,2.2368
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,6.9734,8.3987,8.6345,8.2382,8.2382
NIM,NIM,Rentabilidade,%,16.6833,19.1302,18.0321,16.4251,16.4251
INDICE_COBERTURA,Índice de Cobertura,Qualidade Ativos,%,,,,4.6115,4.6115
INDICE_EFICIENCIA,Índice de Eficiência,Eficiência,%,86.6369,80.8606,81.6054,82.3242,82.3242
LOAN_DEPOSIT,Loan-to-Deposit,Estrutura,%,95.8398,95.8646,92.418,104.1883,104.1883
PL_ATIVOS,PL/Ativos,Estrutura,%,,,,,
