cd_conta,ds_conta,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,0.0,249110.0,260344.0,531150.0,703476.0,691009.0,804848.0,776606.0,719212.0,658314.0,747829.0,689006.0,744735.0,826254.0,850189.0,843376.0,860752.0,806302.0,786385.0
3.02,Custo dos Bens e/ou Serviços Vendidos,0.0,-166331.0,-179203.0,-322316.0,-333865.0,-367690.0,-420747.0,-412110.0,-442263.0,-472834.0,-499783.0,-501781.0,-475848.0,-501955.0,-564861.0,-530141.0,-540866.0,-553122.0,-552209.0
3.03,Resultado Bruto,0.0,82779.0,81141.0,208834.0,369611.0,323319.0,384101.0,364496.0,276949.0,185480.0,248046.0,187225.0,268887.0,324299.0,285328.0,313235.0,319886.0,253180.0,234176.0
3.04,Despesas/Receitas Operacionais,0.0,-19806.0,-24203.0,-44139.0,-49608.0,-28556.0,-73248.0,-31915.0,-46036.0,-11428.0,-53134.0,-107285.0,-69397.0,-55198.0,-48924.0,-70010.0,-60121.0,-74775.0,-76572.0
3.04.02,Despesas Gerais e Administrativas,0.0,-18188.0,-11315.0,-33341.0,-21788.0,-23913.0,-29803.0,-34873.0,-45840.0,-35741.0,-48862.0,-83622.0,-42618.0,-48331.0,-55612.0,-62154.0,-56502.0,-66443.0,-55195.0
3.04.05,Outras Despesas Operacionais,0.0,0.0,-12888.0,-12416.0,-3016.0,0.0,0.0,777.0,0.0,0.0,0.0,-3818.0,0.0,-6867.0,6688.0,-34635.0,0.0,-8332.0,-21377.0
3.04.05.02,Depreciação e amortização,,,,-25304.0,,,,-2239.0,,,,-3818.0,,,,-34814.0,,,
3.04.06,Resultado de Equivalência Patrimonial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,0.0,62973.0,56938.0,164695.0,344807.0,294763.0,310853.0,307777.0,230913.0,174052.0,194912.0,79940.0,199490.0,269101.0,236404.0,243225.0,259765.0,178405.0,157604.0
3.06,Resultado Financeiro,0.0,63670.0,-21140.0,-93519.0,185855.0,-126853.0,-45488.0,52886.0,6301.0,55392.0,-48395.0,35714.0,-70978.0,-216252.0,-40324.0,-257261.0,48997.0,75421.0,-8980.0
3.06.01,Receitas Financeiras,0.0,5335.0,5228.0,96948.0,298194.0,70708.0,59489.0,-247697.0,58437.0,98614.0,48536.0,-18536.0,22734.0,105071.0,44778.0,117279.0,182280.0,383829.0,121180.0
3.06.02,Despesas Financeiras,0.0,58335.0,-26368.0,-190467.0,-112339.0,-197561.0,-104977.0,300583.0,-52136.0,-43222.0,-96931.0,54250.0,-93712.0,-321323.0,-85102.0,-374540.0,-133283.0,-308408.0,-130160.0
3.07,Resultado Antes dos Tributos sobre o Lucro,0.0,126643.0,35798.0,71176.0,530662.0,167910.0,265365.0,360663.0,237214.0,229444.0,146517.0,115654.0,128512.0,52849.0,196080.0,-14036.0,308762.0,253826.0,148624.0
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,0.0,-32077.0,-12872.0,-11769.0,-128824.0,-36879.0,-53482.0,47976.0,-37701.0,-51803.0,-1420.0,71033.0,-18479.0,83332.0,-37240.0,46480.0,-81233.0,-15687.0,-26687.0
3.09,Resultado Líquido das Operações Continuadas,0.0,94566.0,0.0,82333.0,401838.0,0.0,211883.0,539670.0,199513.0,177641.0,145097.0,186687.0,110033.0,136181.0,158840.0,32444.0,227529.0,238139.0,121937.0
3.10,Resultado Líquido de Operações Descontinuadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.11,Lucro/Prejuízo Consolidado do Período,0.0,94566.0,22926.0,59407.0,401838.0,131031.0,211883.0,408639.0,199513.0,177641.0,145097.0,186687.0,110033.0,136181.0,158840.0,32444.0,227529.0,238139.0,121937.0
3.11.01,Atribuído a Sócios da Empresa Controladora,0.0,94566.0,22926.0,59407.0,0.0,0.0,0.0,1153391.0,0.0,0.0,0.0,708938.0,0.0,0.0,0.0,437498.0,0.0,0.0,0.0
3.11.02,Atribuído a Sócios Não Controladores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.99,Lucro por Ação (Reais/Ação),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4648,0.0,-0.4648,0.0,0.0,0.0
