codigo,nome,categoria,unidade,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,,6.4972,7.2917,16.6343,8.2019,7.1612
P_VPA,P/VPA,Valuation,x,1.9849,1.9666,1.1442,1.056,0.6867,0.5996
EV_EBITDA,EV/EBITDA,Valuation,x,,5.1964,8.186,5.4917,5.4837,5.0098
EV_EBIT,EV/EBIT,Valuation,x,,5.1964,8.186,5.4917,5.4837,5.0098
EV_RECEITA,EV/Receita,Valuation,x,,2.197,1.9774,1.5951,1.3955,1.2749
DY,Dividend Yield,Valuation,%,,2.5811,4.7599,15.2872,17.3925,19.9201
PAYOUT,Payout,Valuation,%,,16.7698,34.7078,156.2796,87.904,87.904
ROE,ROE,Rentabilidade,%,,40.7572,17.0246,9.9963,13.5709,13.5709
ROA,ROA,Rentabilidade,%,,23.3063,10.5699,6.1331,7.9459,7.9459
ROIC,ROIC,Rentabilidade,%,,29.0873,9.1315,12.5918,9.1823,9.1823
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,,42.2791,24.1553,29.0459,25.4488,25.4488
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,,38.7572,25.19,13.4015,18.8075,18.8075
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,,-0.7595,0.582,0.775,1.7486,1.7486
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,-0.1993,-0.2508,0.0876,0.1735,0.3215,0.3215
ICJ,ICJ,Endividamento,x,,1.7586,2.7574,1.0841,0.8865,0.8865
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,34.023,2.1372,15.8112,1.1665,4.1305,4.1305
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,2.0806,1.5327,1.0765,2.143,2.1585,2.1585
LIQ_SECA,Liquidez Seca,Liquidez,x,2.0791,1.5245,1.0696,2.1296,2.1437,2.1437
LIQ_GERAL,Liquidez Geral,Liquidez,x,1.1472,0.8851,0.5942,0.5859,0.4883,0.4883
GIRO_ATIVO,Giro do Ativo,Eficiência,x,,0.4519,0.4121,0.4389,0.4174,0.4174
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,,-33.4601,-0.2002,-10.4327,-16.2613,-16.2613
PME,PME,Eficiência,dias,,2.6866,1.382,1.6961,1.5721,1.5721
NCG_RECEITA,NCG/Receita,Eficiência,%,,-28.7621,-10.056,-6.1114,-2.7112,-2.7112
