cd_conta,ds_conta,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,21797.0,23697.0,31666.0,34407.0,24721.0,31441.0,38131.0,43347.0,28224.0,20816.0,30282.0,41316.0,34063.0,40093.0,47753.0,56189.0,48800.0,54694.0,73964.0,71405.0,64729.0,71258.0,88873.0,91630.0,69112.0,78983.0,90779.0,99592.0,72976.0,84886.0,106973.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-11716.0,-13458.0,-18404.0,-18577.0,-15256.0,-17124.0,-20523.0,-24131.0,-15749.0,-12849.0,-17323.0,-22953.0,-19127.0,-21259.0,-25856.0,-31412.0,-30244.0,-31695.0,-40067.0,-36398.0,-34588.0,-40004.0,-46380.0,-47982.0,-35821.0,-42365.0,-45417.0,-49020.0,-37868.0,-48458.0,-55700.0
3.03,Resultado Bruto,10081.0,10239.0,13262.0,15830.0,9465.0,14317.0,17608.0,19216.0,12475.0,7967.0,12959.0,18363.0,14936.0,18834.0,21897.0,24777.0,18556.0,22999.0,33897.0,35007.0,30141.0,31254.0,42493.0,43648.0,33291.0,36618.0,45362.0,50572.0,35108.0,36428.0,51273.0
3.04,Despesas/Receitas Operacionais,-7819.0,-8828.0,-9573.0,-12343.0,-9185.0,-11580.0,-12948.0,-12834.0,-11480.0,-9224.0,-10721.0,-14209.0,-11998.0,-13922.0,-5416.0,-18872.0,-15648.0,-18717.0,-23684.0,-25960.0,-21345.0,-24327.0,-25446.0,-28465.0,-23397.0,-29264.0,-30364.0,-33265.0,-33009.0,-35289.0,-35047.0
3.04.02,Despesas Gerais e Administrativas,-6312.0,-5730.0,-6489.0,-7073.0,-6665.0,-7323.0,-7709.0,-7819.0,-8248.0,-6184.0,-7134.0,-9018.0,-8794.0,-9264.0,-10568.0,-11460.0,-11912.0,-12706.0,-15138.0,-15692.0,-16656.0,-15043.0,-15711.0,-14786.0,-18230.0,-16993.0,-18605.0,-20893.0,-19663.0,-21546.0,-22199.0
3.04.05,Outras Despesas Operacionais,-175.0,0.0,-176.0,-362.0,-206.0,0.0,-329.0,-571.0,-516.0,0.0,0.0,-2058.0,-705.0,0.0,0.0,-2193.0,-693.0,0.0,0.0,-2392.0,-703.0,0.0,0.0,-2075.0,-441.0,0.0,0.0,-1227.0,-410.0,0.0,0.0
3.04.05.02,Depreciação e amortização,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.04.06,Resultado de Equivalência Patrimonial,18.0,25.0,136.0,8.0,69.0,103.0,198.0,75.0,-22.0,-164.0,124.0,457.0,43.0,153.0,195.0,356.0,211.0,247.0,255.0,399.0,71.0,241.0,216.0,318.0,37.0,-151.0,263.0,393.0,4.0,-542.0,307.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,2262.0,1411.0,3689.0,3487.0,280.0,2737.0,4660.0,6382.0,995.0,-1257.0,2238.0,4154.0,2938.0,4912.0,16481.0,5905.0,2908.0,4282.0,10213.0,9047.0,8796.0,6927.0,17047.0,15183.0,9894.0,7354.0,14998.0,17307.0,2099.0,1139.0,16226.0
3.06,Resultado Financeiro,-697.0,-981.0,-1445.0,-865.0,-1030.0,-1381.0,-623.0,-1328.0,1122.0,-682.0,-940.0,-1521.0,-440.0,-1711.0,-695.0,-1120.0,-1765.0,-1049.0,-1483.0,-1686.0,-1375.0,-1459.0,-1847.0,-2487.0,-2209.0,-701.0,-2268.0,857.0,-1313.0,-3422.0,-2899.0
3.06.01,Receitas Financeiras,544.0,894.0,1234.0,1241.0,878.0,719.0,1542.0,1155.0,3827.0,1752.0,1932.0,1489.0,1611.0,1696.0,2094.0,1668.0,2831.0,3480.0,2844.0,2820.0,3252.0,3747.0,2941.0,2439.0,2255.0,5510.0,4114.0,7958.0,5315.0,3686.0,3236.0
3.06.02,Despesas Financeiras,-1241.0,-1875.0,-2679.0,-2106.0,-1908.0,-2100.0,-2165.0,-2483.0,-2705.0,-2434.0,-2872.0,-3010.0,-2051.0,-3407.0,-2789.0,-2788.0,-4596.0,-4529.0,-4327.0,-4506.0,-4627.0,-5206.0,-4788.0,-4926.0,-4464.0,-6211.0,-6382.0,-7101.0,-6628.0,-7108.0,-6135.0
