codigo,nome,categoria,unidade,2018,2019,2020,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,,,,,,,,,
P_VPA,P/VPA,Valuation,x,,,,,,,,,
EV_EBITDA,EV/EBITDA,Valuation,x,,,,,,,,,
EV_EBIT,EV/EBIT,Valuation,x,,,,,,,,,
EV_RECEITA,EV/Receita,Valuation,x,,,,,,,,,
DY,Dividend Yield,Valuation,%,,,,,,,,,
PAYOUT,Payout,Valuation,%,,17.0767,39.1583,6.2991,26.2188,14.7186,27.7103,25.614,25.614
ROE,ROE,Rentabilidade,%,14.0183,18.195,10.1434,35.2428,25.4728,37.4626,36.4104,27.956,27.956
ROA,ROA,Rentabilidade,%,5.3001,6.8462,3.6819,12.6017,9.0367,12.3658,11.9457,10.2251,10.2251
ROIC,ROIC,Rentabilidade,%,9.4396,10.9815,5.4113,19.8135,15.2103,22.1267,21.2883,13.7664,13.7664
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,12.7493,13.0238,9.4531,20.2052,14.735,16.9715,16.3009,13.2551,13.2551
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,5.1745,5.8341,4.0369,11.163,7.2361,9.1816,9.6385,7.981,7.981
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,2.4376,2.087,2.2647,1.0236,1.0162,1.2177,0.9436,1.308,1.308
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.8419,0.7946,0.5277,0.5766,0.4808,0.8425,0.5126,0.5586,0.5586
ICJ,ICJ,Endividamento,x,1.3731,1.6242,0.5562,2.74,1.4729,2.4532,2.0512,1.3633,1.3633
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,32.7286,37.7583,41.3407,49.0158,44.0824,39.5198,39.6729,38.3133,38.3133
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.7362,1.7238,1.7121,1.5208,1.6259,1.6939,1.8854,1.9519,1.9519
LIQ_SECA,Liquidez Seca,Liquidez,x,1.0676,1.112,1.1925,0.8765,0.9747,1.0529,1.1186,0.8601,0.8601
LIQ_GERAL,Liquidez Geral,Liquidez,x,1.0048,1.0252,1.0644,1.1975,1.2343,1.172,1.2393,1.322,1.322
GIRO_ATIVO,Giro do Ativo,Eficiência,x,1.0243,1.0953,0.8686,1.0082,1.1215,1.2757,1.1354,1.2833,1.2833
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,168.7861,169.4181,154.9082,179.0245,182.351,181.6381,207.5103,210.7617,210.7617
PME,PME,Eficiência,dias,145.0773,133.3749,146.9553,176.1292,164.5652,144.4483,194.7537,221.3165,221.3165
NCG_RECEITA,NCG/Receita,Eficiência,%,30.44,28.8695,24.9092,24.7555,22.6153,24.4077,26.2354,29.4344,29.4344
