cd_conta,ds_conta,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,25349.000,32573.000,27602.000,25482.000,25403.000,35055.000,28658.000,34372.000,33723.000,28133.000,39265.000,37990.000,30299.000,34648.000,36091.000,37623.000,36109.000,39006.000,39819.000,39082.000,44396.000,53704.000,51745.000
3.02,Custo dos Bens e/ou Serviços Vendidos,-3202.000,-3458.000,-2408.000,-2367.000,-2353.000,-3261.000,-3803.000,-3749.000,-2961.000,-3305.000,-3805.000,-4742.000,-4596.000,-5645.000,-4474.000,-4977.000,-7321.000,-7720.000,-7226.000,-4959.000,-9471.000,-9381.000,-8314.000
3.03,Resultado Bruto,22147.000,29115.000,25194.000,23115.000,23050.000,31794.000,24855.000,30623.000,30762.000,24828.000,35460.000,33248.000,25703.000,29003.000,31617.000,32646.000,28788.000,31286.000,32593.000,34123.000,34925.000,44323.000,43431.000
3.04,Despesas/Receitas Operacionais,-31728.000,-30408.000,-32234.000,-21685.000,-34877.000,-44136.000,-47608.000,-57056.000,-54816.000,-52122.000,-57266.000,-64908.000,-48902.000,-46119.000,-44764.000,-37677.000,-36887.000,-32610.000,-33152.000,-31185.000,-31151.000,-35392.000,-35864.000
3.04.02,Despesas Gerais e Administrativas,-22738.000,-21569.000,-21265.000,-13893.000,-23975.000,-30186.000,-30480.000,-39210.000,-40052.000,-41887.000,-46591.000,-55990.000,-40259.000,-38225.000,-37722.000,-30422.000,-32833.000,-31739.000,-33818.000,-28388.000,-31633.000,-36785.000,-31508.000
3.04.05,Outras Despesas Operacionais,-35.000,0.000,-77.000,-36478.000,0.000,0.000,-11.000,-59815.000,0.000,0.000,-585.000,-44007.000,0.000,0.000,97.000,-30931.000,0.000,0.000,5506.000,-12562.000,0.000,0.000,-376.000
3.04.06,Resultado de Equivalência Patrimonial,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,-9581.000,-1293.000,-7040.000,1430.000,-11827.000,-12342.000,-22753.000,-26433.000,-24054.000,-27294.000,-21806.000,-31660.000,-23199.000,-17116.000,-13147.000,-5031.000,-8099.000,-1324.000,-559.000,2938.000,3774.000,8931.000,7567.000
3.06,Resultado Financeiro,-17247.000,-7757.000,-22428.000,1359.000,-9957.000,993.000,-951.000,2391.000,8356.000,-1445.000,2180.000,1312.000,8432.000,-2262.000,-4701.000,-3341.000,-2016.000,-4801.000,934.000,-3558.000,-2418.000,-3742.000,-8016.000
3.06.01,Receitas Financeiras,1358.000,489.000,864.000,909.000,458.000,7305.000,3554.000,6578.000,11759.000,8365.000,8500.000,8888.000,18277.000,5563.000,4324.000,3578.000,3861.000,1932.000,5786.000,2997.000,2629.000,3424.000,500.000
3.06.02,Despesas Financeiras,-18605.000,-8246.000,-23292.000,450.000,-10415.000,-6312.000,-4505.000,-4187.000,-3403.000,-9810.000,-6320.000,-7576.000,-9845.000,-7825.000,-9025.000,-6919.000,-5877.000,-6733.000,-4852.000,-6555.000,-5047.000,-7166.000,-8516.000
3.07,Resultado Antes dos Tributos sobre o Lucro,-26828.000,-9050.000,-29468.000,2789.000,-21784.000,-11349.000,-23704.000,-24042.000,-15698.000,-28739.000,-19626.000,-30348.000,-14767.000,-19378.000,-17848.000,-8372.000,-10115.000,-6125.000,375.000,-620.000,1356.000,5189.000,-449.000
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-461.000,-476.000,-1164.000,421.000,-283.000,-428.000,-369.000,-293.000,-992.000,555.000,-186.000,-161.000,-762.000,760.000,-812.000,676.000,-40.000,40.000,-126.000,124.000,-2301.000,-3225.000,-2897.000
3.09,Resultado Líquido das Operações Continuadas,-27289.000,-9526.000,-30632.000,3210.000,-22067.000,-11777.000,-24073.000,-24335.000,-16690.000,-28184.000,-19812.000,-30509.000,-15529.000,-18618.000,-18660.000,-7696.000,-10155.000,-6085.000,249.000,-496.000,-945.000,1964.000,-3346.000
3.10,Resultado Líquido de Operações Descontinuadas,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.11,Lucro/Prejuízo Consolidado do Período,-27289.000,-9526.000,-30632.000,3210.000,-22067.000,-11777.000,-24073.000,-24335.000,-16690.000,-28184.000,-19812.000,-30509.000,-15529.000,-18618.000,-18660.000,-7696.000,-10155.000,-6085.000,249.000,-496.000,-945.000,1964.000,-3346.000
3.11.01,Atribuído a Sócios da Empresa Controladora,-26992.000,-9382.000,-30391.000,3351.000,-22067.000,-11777.000,-24073.000,-24335.000,-16690.000,0.000,0.000,16690.000,-15529.000,0.000,0.000,-44974.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.11.02,Atribuído a Sócios Não Controladores,-297.000,-144.000,-241.000,-141.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.99,Lucro por Ação (Reais/Ação),-2.048,-0.715,-2.299,-46.130,-0.230,-0.090,-0.184,-0.300,-0.130,-0.210,-0.150,1.190,-0.120,-0.140,-0.140,-4.170,-0.770,-0.460,0.020,-0.030,-0.070,0.147,-0.260
