cd_conta,conta,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,199766.000,184130.000,402446.000,401944.000,406605.000,365773.000,348665.000,421808.000,394106.000,359388.000,317522.000,299375.000,282312.000,242554.000,216612.000,213812.000,194574.000,188488.000,222039.000,223847.000
2.01,Passivo Circulante,336369.000,315823.000,299914.000,314010.000,333619.000,313469.000,326579.000,341700.000,362734.000,326544.000,310405.000,332652.000,338319.000,292197.000,275167.000,273425.000,285332.000,285668.000,286541.000,271341.000
2.01.01,Obrigações Sociais e Trabalhistas,9377.000,13422.000,17065.000,16686.000,14252.000,13717.000,14409.000,22143.000,24900.000,19745.000,17500.000,23132.000,11166.000,14243.000,16522.000,21356.000,15135.000,18583.000,24076.000,24225.000
2.01.02,Fornecedores,31785.000,31090.000,29486.000,41270.000,46883.000,43869.000,37746.000,40142.000,48792.000,39014.000,36022.000,34968.000,43349.000,34516.000,30182.000,26406.000,34649.000,44779.000,43202.000,44515.000
2.01.03,Obrigações Fiscais,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.01.04,Empréstimos e Financiamentos,50576.000,26788.000,28751.000,23738.000,20291.000,26278.000,47226.000,49482.000,58887.000,56467.000,53252.000,70037.000,81335.000,48323.000,40796.000,41880.000,44942.000,32181.000,38293.000,22211.000
2.01.05,Outras Obrigações,244631.000,244523.000,224612.000,232316.000,252193.000,229605.000,227198.000,229933.000,230155.000,211318.000,203631.000,204515.000,202469.000,195115.000,187667.000,183783.000,190606.000,190125.000,180970.000,180390.000
2.01.06,Provisões,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02,Passivo Não Circulante,231113.000,257380.000,140010.000,139825.000,150763.000,148963.000,148995.000,215238.000,200803.000,217804.000,210695.000,188961.000,173927.000,190446.000,187619.000,186312.000,155663.000,150186.000,180900.000,201254.000
2.02.01,Empréstimos e Financiamentos,77106.000,99234.000,3754.000,2782.000,13264.000,11890.000,10444.000,60185.000,44082.000,53067.000,52275.000,35074.000,19870.000,42985.000,37698.000,40894.000,24521.000,25385.000,59918.000,92044.000
2.02.02,Outras Obrigações,153406.000,157765.000,136110.000,136909.000,137371.000,136408.000,138191.000,152503.000,153972.000,162055.000,155763.000,151343.000,151417.000,144724.000,149086.000,144775.000,130436.000,124079.000,119581.000,107694.000
2.02.03,Tributos Diferidos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02.04,Provisões,601.000,381.000,146.000,134.000,128.000,665.000,360.000,2550.000,2749.000,2682.000,2657.000,2544.000,2640.000,2737.000,835.000,643.000,706.000,722.000,1401.000,1516.000
2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02.06,Lucros e Receitas a Apropriar,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.03,Patrimônio Líquido Consolidado,-367716.000,-389073.000,-37478.000,-51891.000,-77777.000,-96659.000,-126909.000,-135130.000,-169431.000,-184960.000,-203578.000,-222238.000,-229934.000,-240089.000,-246174.000,-245925.000,-246421.000,-247366.000,-245402.000,-248748.000
2.03.01,Capital Social Realizado,3.000,3.000,181132.000,185962.000,185962.000,185962.000,185962.000,187240.000,187240.000,187240.000,187240.000,187240.000,187240.000,187240.000,187240.000,187240.000,187240.000,187240.000,187240.000,187240.000
