codigo,nome,categoria,unidade,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,-150.9624,15.1762,-1.7287,-2.379,-33.4001,-20.4634
P_VPA,P/VPA,Valuation,x,-45.1028,-10.0553,-0.455,-0.1595,-3.7361,-2.289
EV_EBITDA,EV/EBITDA,Valuation,x,-56.1312,-19.6486,-3.7601,3.673,14.136,9.0542
EV_EBIT,EV/EBIT,Valuation,x,-44.2698,-15.3047,-1.8869,-11.361,43.1405,27.6318
EV_RECEITA,EV/Receita,Valuation,x,26.2974,11.5314,0.796,0.5196,5.2999,3.3946
DY,Dividend Yield,Valuation,%,,,,,,
PAYOUT,Payout,Valuation,%,,,,,,
ROE,ROE,Rentabilidade,%,-105.7536,-77.0161,-30.2996,-6.9221,-2.5281,-2.5281
ROA,ROA,Rentabilidade,%,20.229,23.7776,17.8892,6.9144,2.8575,2.8575
ROIC,ROIC,Rentabilidade,%,14.31,25.7199,17.2197,2.2602,-8.6642,-8.6642
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,-46.8499,-58.6884,-21.1689,14.1466,37.4923,37.4923
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,66.6073,68.431,43.6338,10.7047,3.3097,3.3097
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,4.5035,1.2191,-0.1956,1.8692,1.0157,1.0157
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,3.3499,0.5875,-0.025,-0.1653,-0.2892,-0.2892
ICJ,ICJ,Endividamento,x,-2.8858,-3.8664,-1.7401,-0.2933,0.8507,0.8507
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,60.4709,57.1891,80.3666,64.6992,19.4398,19.4398
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.0224,0.6931,0.4162,0.2399,0.3522,0.3522
LIQ_SECA,Liquidez Seca,Liquidez,x,1.0224,0.6931,0.4162,0.2399,0.3522,0.3522
LIQ_GERAL,Liquidez Geral,Liquidez,x,0.7072,0.4596,0.3065,0.1872,0.2584,0.2584
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.3037,0.353,0.4912,0.7916,0.844,0.844
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,-1181.4255,-1095.1691,-706.3787,-395.7099,-420.4434,-420.4434
PME,PME,Eficiência,dias,0.0,0.0,0.0,0.0,0.0,0.0
NCG_RECEITA,NCG/Receita,Eficiência,%,-215.6922,-183.2501,-152.6356,-130.2982,-103.6728,-103.6728
