cd_conta,ds_conta,2018T2,2018T3,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,57620.0,68293.0,87896.0,78930.0,65473.0,66895.0,59676.0,69396.0,59715.0,62984.0,72965.0,87183.0,115198.0,111204.0,121820.0,130312.0,123208.0,116801.0,109189.0,120618.0,130708.0,134964.0,128901.0,138376.0,150325.0,146636.0,152175.0,140230.0,140216.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-43615.0,-52499.0,-70306.0,-61636.0,-49181.0,-53389.0,-46259.0,-49217.0,-44661.0,-47914.0,-54701.0,-68444.0,-84562.0,-86228.0,-88824.0,-99935.0,-97028.0,-94795.0,-82651.0,-91325.0,-101790.0,-102002.0,-90659.0,-100950.0,-101243.0,-104027.0,-110310.0,-116994.0,-114858.0
3.03,Resultado Bruto,14005.0,15794.0,17590.0,17294.0,16292.0,13506.0,13417.0,20179.0,15054.0,15070.0,18264.0,18739.0,30636.0,24976.0,32996.0,30377.0,26180.0,22006.0,26538.0,29293.0,28918.0,32962.0,38242.0,37426.0,49082.0,42609.0,41865.0,23236.0,25358.0
3.04,Despesas/Receitas Operacionais,-9524.0,-10984.0,-8446.0,-10550.0,-7838.0,-10774.0,-8052.0,-10427.0,-6570.0,-6656.0,-10836.0,-11835.0,-15267.0,-10184.0,-14741.0,-13827.0,-13782.0,-10624.0,-13182.0,-16126.0,-15405.0,-17974.0,-17252.0,-18196.0,-17546.0,-13288.0,-625.0,-20282.0,-17083.0
3.04.02,Despesas Gerais e Administrativas,-4230.0,-4629.0,-4736.0,-5754.0,-5429.0,-4782.0,-5895.0,-5441.0,-6130.0,-6448.0,-6743.0,-7414.0,-8092.0,-9743.0,-8814.0,-9676.0,-9250.0,-9206.0,-9161.0,-9991.0,-10537.0,-13007.0,-11775.0,-14268.0,-11812.0,-13313.0,-13580.0,-13676.0,-10706.0
3.04.05,Outras Despesas Operacionais,-811.0,-1031.0,-660.0,-1231.0,-871.0,-1428.0,-5048.0,-2059.0,-955.0,-394.0,-1212.0,-470.0,-715.0,-1335.0,-688.0,-1953.0,-1160.0,-4301.0,-775.0,-1599.0,-1377.0,-3904.0,-413.0,-648.0,-835.0,-2665.0,-2716.0,-1484.0,-1163.0
3.04.05.02,Depreciação e amortização,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.04.06,Resultado de Equivalência Patrimonial,0.0,-309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,4481.0,4810.0,9144.0,6744.0,8454.0,2732.0,5365.0,9752.0,8484.0,8414.0,7428.0,6904.0,15369.0,14792.0,18255.0,16550.0,12398.0,11382.0,13356.0,13167.0,13513.0,14988.0,20990.0,19230.0,31536.0,29321.0,41240.0,2954.0,8275.0
3.06,Resultado Financeiro,-1856.0,-1021.0,-2698.0,-1930.0,-1925.0,-1069.0,-2821.0,-4309.0,7461.0,-1877.0,282.0,-1141.0,-1282.0,-1234.0,-5301.0,-2368.0,-4256.0,-3413.0,-2622.0,-5007.0,-2994.0,10232.0,-4019.0,-4769.0,-4248.0,-6557.0,4012.0,1734.0,12006.0
3.06.01,Receitas Financeiras,1077.0,1659.0,987.0,970.0,1120.0,1982.0,1153.0,793.0,11333.0,1074.0,2439.0,973.0,1411.0,1287.0,1630.0,2282.0,1549.0,1801.0,1482.0,1765.0,2926.0,15435.0,720.0,2209.0,1559.0,692.0,8606.0,5896.0,16523.0
3.06.02,Despesas Financeiras,-2933.0,-2680.0,-3685.0,-2900.0,-3045.0,-3051.0,-3974.0,-5102.0,-3872.0,-2951.0,-2157.0,-2114.0,-2693.0,-2521.0,-6931.0,-4650.0,-5805.0,-5214.0,-4104.0,-6772.0,-5920.0,-5203.0,-4739.0,-6978.0,-5807.0,-7249.0,-4594.0,-4162.0,-4517.0
3.07,Resultado Antes dos Tributos sobre o Lucro,2625.0,3789.0,6446.0,4814.0,6529.0,1663.0,2544.0,5443.0,15945.0,6537.0,7710.0,5763.0,14087.0,13558.0,12954.0,14182.0,8142.0,7969.0,10734.0,8160.0,10519.0,25220.0,16971.0,14461.0,27288.0,22764.0,45252.0,4688.0,20281.0
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-90.0,-243.0,-696.0,-70.0,-1881.0,-46.0,-2181.0,-1622.0,-5212.0,-3788.0,-1965.0,-242.0,-1806.0,-792.0,-2126.0,-1520.0,-1198.0,-1401.0,-2288.0,-1209.0,-1124.0,-699.0,-3573.0,0.0,-7348.0,-4022.0,-3646.0,-107.0,-18724.0
3.09,Resultado Líquido das Operações Continuadas,2535.0,3546.0,5750.0,4744.0,4648.0,1709.0,4725.0,3821.0,10733.0,5963.0,5745.0,5521.0,12281.0,12766.0,10828.0,12662.0,6944.0,6568.0,8446.0,9369.0,9395.0,22103.0,13398.0,14461.0,19940.0,18742.0,41606.0,4581.0,39005.0
3.10,Resultado Líquido de Operações Descontinuadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.11,Lucro/Prejuízo Consolidado do Período,2535.0,3546.0,5750.0,4744.0,4648.0,1709.0,4725.0,3821.0,10733.0,5963.0,5745.0,5521.0,12281.0,12766.0,10828.0,12662.0,6944.0,6568.0,8446.0,9369.0,9395.0,22103.0,13398.0,14461.0,19940.0,18742.0,41606.0,4581.0,39005.0
3.11.01,Atribuído a Sócios da Empresa Controladora,2535.0,3546.0,5750.0,4744.0,4648.0,1709.0,4725.0,3821.0,10733.0,5963.0,5745.0,5521.0,12281.0,-23547.0,10828.0,0.0,0.0,-10828.0,8446.0,9369.0,0.0,-17815.0,0.0,12521.0,0.0,-12521.0,0.0,4581.0,39005.0
3.11.02,Atribuído a Sócios Não Controladores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
