cd_conta,ds_conta,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,1492926.0,1538259.0,1658909.0,1925161.0,2081602.0,2224923.0,2426556.0,2485602.0,2527625.0,2610027.0,2628719.0,2864783.0,3072030.0,3492908.0,4112743.0,4096688.0,4104087.0,4298372.0,4462324.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-1247648.0,-1272806.0,-1376617.0,-1602986.0,-1775248.0,-1869889.0,-2013880.0,-2034432.0,-2102575.0,-2157348.0,-2176256.0,-2357607.0,-2563617.0,-2948535.0,-3500022.0,-3525842.0,-3493833.0,-3689258.0,-3804200.0
3.03,Resultado Bruto,245278.0,265453.0,282292.0,322175.0,306354.0,355034.0,412676.0,451170.0,425050.0,452679.0,452463.0,507176.0,508413.0,544373.0,612721.0,570846.0,610254.0,609114.0,658124.0
3.04,Despesas/Receitas Operacionais,-133140.0,-132268.0,-123751.0,-116677.0,-136585.0,-170052.0,-169894.0,-117637.0,-166887.0,-201766.0,-193354.0,-137129.0,-244289.0,-274716.0,-281258.0,-157354.0,-291088.0,-292194.0,-299123.0
3.04.02,Despesas Gerais e Administrativas,-115004.0,-111949.0,-116869.0,-210092.0,-123351.0,-141729.0,-140180.0,-224990.0,-151730.0,-169644.0,-174616.0,-337780.0,-210359.0,-292426.0,-237123.0,-351139.0,-253491.0,-261081.0,-256775.0
3.04.05,Outras Despesas Operacionais,-11474.0,-8305.0,-6604.0,-32094.0,-7614.0,-10099.0,-1186.0,-7175.0,-20067.0,-5536.0,-11856.0,-18998.0,-10285.0,-8244.0,-19697.0,-34671.0,-32827.0,-40755.0,-19965.0
3.04.05.02,Depreciação e amortização,,,,,,,,,,,,,,,,,,,
3.04.06,Resultado de Equivalência Patrimonial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,112138.0,133185.0,158541.0,205498.0,169769.0,184982.0,242782.0,333533.0,258163.0,250913.0,259109.0,370047.0,264124.0,269657.0,331463.0,413492.0,319166.0,316920.0,359001.0
3.06,Resultado Financeiro,-20320.0,-16099.0,-13640.0,10165.0,-30154.0,-43469.0,-57164.0,-26606.0,-73554.0,-66562.0,-59325.0,-23065.0,-55384.0,-79838.0,-116361.0,-72629.0,-113523.0,-134915.0,-147502.0
3.06.01,Receitas Financeiras,73740.0,46284.0,20527.0,10658.0,75385.0,58946.0,53948.0,80326.0,96266.0,113459.0,101642.0,136615.0,67777.0,166653.0,106078.0,235397.0,181031.0,157978.0,180656.0
3.06.02,Despesas Financeiras,-94060.0,-62383.0,-34167.0,-493.0,-105539.0,-102415.0,-111112.0,-106932.0,-169820.0,-180021.0,-160967.0,-159680.0,-123161.0,-246491.0,-222439.0,-308026.0,-294554.0,-292893.0,-328158.0
3.07,Resultado Antes dos Tributos sobre o Lucro,91818.0,117086.0,144901.0,215663.0,139615.0,141513.0,185618.0,306927.0,184609.0,184351.0,199784.0,346982.0,208740.0,189819.0,215102.0,340863.0,205643.0,182005.0,211499.0
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-15451.0,-36249.0,-45585.0,-72435.0,-46227.0,-39606.0,-66755.0,-104053.0,-63426.0,-54489.0,-56246.0,-95218.0,-69300.0,-49537.0,-67154.0,-102099.0,-57507.0,-57757.0,-54375.0
3.09,Resultado Líquido das Operações Continuadas,76367.0,80837.0,99316.0,143228.0,93388.0,101907.0,118863.0,202874.0,121183.0,129862.0,143538.0,251764.0,139440.0,140282.0,147948.0,238764.0,148136.0,124248.0,157124.0
3.10,Resultado Líquido de Operações Descontinuadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.11,Lucro/Prejuízo Consolidado do Período,76367.0,80837.0,99316.0,143228.0,93388.0,101907.0,118863.0,202874.0,121183.0,129862.0,143538.0,251764.0,139440.0,140282.0,147948.0,238764.0,148136.0,124248.0,157124.0
3.11.01,Atribuído a Sócios da Empresa Controladora,76367.0,0.0,99298.0,224010.0,93364.0,101825.0,118708.0,202786.0,120860.0,128727.0,141828.0,251095.0,137667.0,138214.0,145752.0,236193.0,145997.0,121699.0,154260.0
3.11.02,Atribuído a Sócios Não Controladores,0.0,80837.0,18.0,-80782.0,24.0,82.0,155.0,88.0,323.0,1135.0,1710.0,669.0,1773.0,2068.0,2196.0,2571.0,2139.0,2549.0,2864.0
3.99,Lucro por Ação (Reais/Ação),0.21,0.09,0.14829728,0.32,0.14,0.15,0.18,0.3,0.18,0.19,0.21,0.38,0.2,0.21,0.22,0.35,0.22,0.18,0.23
