codigo,nome,categoria,unidade,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,17.1939,12.8701,16.6979,12.3265,17.0816,17.8571
P_VPA,P/VPA,Valuation,x,4.0275,2.5696,3.6201,2.344,2.8646,2.9947
EV_EBITDA,EV/EBITDA,Valuation,x,15.2156,7.7951,10.1842,8.1036,9.4387,9.8001
EV_EBIT,EV/EBIT,Valuation,x,15.2156,7.7951,10.1842,8.1036,9.4387,9.8001
EV_RECEITA,EV/Receita,Valuation,x,1.4016,0.7873,1.0904,0.7014,0.7838,0.8139
DY,Dividend Yield,Valuation,%,1.4179,,1.6034,2.6087,1.9343,1.8503
PAYOUT,Payout,Valuation,%,31.3789,,26.8361,32.0266,32.4496,32.4496
ROE,ROE,Rentabilidade,%,18.1984,21.5931,23.1643,20.5733,18.1592,18.1592
ROA,ROA,Rentabilidade,%,6.0541,6.6289,6.7981,5.4649,4.6329,4.6329
ROIC,ROIC,Rentabilidade,%,15.3413,19.2706,19.9671,14.8818,15.4999,15.4999
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,9.2115,10.0998,10.7066,8.6551,8.3046,8.3046
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,6.0428,5.6085,6.0797,4.5107,3.9399,3.9399
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,0.6974,0.6407,0.6801,1.7054,1.4797,1.4797
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.1935,0.2301,0.259,0.6248,0.5326,0.5326
ICJ,ICJ,Endividamento,x,3.1887,2.1856,1.6976,1.4206,1.1511,1.1511
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,14.8742,9.9757,15.7904,8.1729,15.6651,15.6651
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,2.2656,2.6511,2.2342,2.3918,2.1256,2.1256
LIQ_SECA,Liquidez Seca,Liquidez,x,2.261,2.6449,2.2292,2.3568,2.0843,2.0843
LIQ_GERAL,Liquidez Geral,Liquidez,x,0.958,0.9628,0.9326,0.8817,0.9361,0.9361
GIRO_ATIVO,Giro do Ativo,Eficiência,x,1.0019,1.0247,1.0611,1.0281,1.1802,1.1802
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,69.2418,70.8312,76.6625,74.7197,76.9797,76.9797
PME,PME,Eficiência,dias,0.4529,0.5637,0.5016,3.1741,3.6549,3.6549
NCG_RECEITA,NCG/Receita,Eficiência,%,8.8557,9.4047,11.7296,12.1855,11.7889,11.7889
