cd_conta,ds_conta,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,1912038.000,1942458.500,1972879.000,2070346.000,2490171.000,2655679.000,2620371.000,2836705.000,2879489.000,2865557.000,2882500.000,3138831.000,3271304.000,3349190.000,3370706.000,3693371.000,3853222.000
3.02,Custo dos Bens e/ou Serviços Vendidos,-1307448.000,-1327568.000,-1347688.000,-1374026.000,-1710945.000,-1805641.000,-1802952.000,-1906101.000,-1975647.000,-1972183.000,-1978947.000,-2115639.000,-2239106.000,-2282017.000,-2329656.000,-2473802.000,-2615062.000
3.03,Resultado Bruto,604590.000,614890.500,625191.000,696320.000,779226.000,850038.000,817419.000,930604.000,903842.000,893374.000,903553.000,1023192.000,1032198.000,1067173.000,1041050.000,1219569.000,1238160.000
3.04,Despesas/Receitas Operacionais,-525026.000,-535784.000,-546542.000,-569647.000,-556734.000,-641017.000,-780375.000,-811787.000,-785292.000,-754329.000,-817769.000,-856807.000,-858955.000,-918313.000,-900346.000,-990007.000,-987159.000
3.04.02,Despesas Gerais e Administrativas,-74565.000,-73696.000,-72827.000,-81195.000,-170327.000,2930.000,-94490.000,-78285.000,-74445.000,-78634.000,-90555.000,-94231.000,-90849.000,-110547.000,-94749.000,-119168.000,-107538.000
3.04.05,Outras Despesas Operacionais,-394.000,-233.000,-72.000,213.000,0.000,-968.000,-614.000,-269.000,-641.000,-631.000,-1030.000,-232.000,-785.000,-472.000,-316.000,-434.000,-1055.000
3.04.06,Resultado de Equivalência Patrimonial,921.000,880.000,839.000,1293.000,1344.000,1668.000,1795.000,1805.000,1568.000,1485.000,1778.000,1493.000,1322.000,1914.000,2860.000,2383.000,1065.000
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,79564.000,79106.500,78649.000,126673.000,222492.000,209021.000,37044.000,118817.000,118550.000,139045.000,85784.000,166385.000,173243.000,148860.000,140704.000,229562.000,251001.000
3.06,Resultado Financeiro,-51058.000,-62929.500,-74801.000,-80291.000,-106764.000,-145757.000,-174733.000,-178813.000,-176657.000,-164993.000,-157286.000,-141357.000,-132944.000,-140294.000,-155946.000,-184713.000,-175723.000
3.06.01,Receitas Financeiras,16112.000,18349.500,20587.000,18118.000,22082.000,22620.000,14735.000,39203.000,13565.000,26666.000,13429.000,58415.000,49906.000,64326.000,36170.000,72909.000,56154.000
3.06.02,Despesas Financeiras,-67170.000,-81279.000,-95388.000,-98409.000,-128846.000,-168377.000,-189468.000,-218016.000,-190222.000,-191659.000,-170715.000,-199772.000,-182850.000,-204620.000,-192116.000,-257622.000,-231877.000
3.07,Resultado Antes dos Tributos sobre o Lucro,28506.000,16177.000,3848.000,46382.000,115728.000,63264.000,-137689.000,-59996.000,-58107.000,-25948.000,-71502.000,25028.000,40299.000,8566.000,-15242.000,44849.000,75278.000
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,1373.000,10479.500,19586.000,7171.000,-31273.000,38343.000,74752.000,22701.000,34308.000,152714.000,34529.000,7503.000,671.000,58054.000,20337.000,5494.000,704.000
3.09,Resultado Líquido das Operações Continuadas,29879.000,26656.500,23434.000,53553.000,84455.000,101607.000,-62937.000,-37295.000,-23799.000,126766.000,-36973.000,32531.000,40970.000,66620.000,5095.000,50343.000,75982.000
3.10,Resultado Líquido de Operações Descontinuadas,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.11,Lucro/Prejuízo Consolidado do Período,29879.000,26656.500,23434.000,53553.000,84455.000,101607.000,-62937.000,-37295.000,-23799.000,126766.000,-36973.000,32531.000,40970.000,66620.000,5095.000,50343.000,75982.000
3.11.01,Atribuído a Sócios da Empresa Controladora,0.000,11717.000,23434.000,0.000,-305.000,240535.000,-62842.000,0.000,-23659.000,86720.000,-97.000,-83.000,40898.000,62381.000,4969.000,50233.000,75831.000
3.11.02,Atribuído a Sócios Não Controladores,0.000,0.000,0.000,0.000,84760.000,-85375.000,-95.000,0.000,-140.000,2751.000,-36876.000,32614.000,72.000,4239.000,126.000,110.000,151.000
3.99,Lucro por Ação (Reais/Ação),0.070,0.035,0.051,0.115,0.190,-0.190,-0.108,-0.064,-0.050,0.060,-0.070,0.060,0.070,0.120,0.010,0.090,0.120
